Orthogroup	fly	bombus
OG0001223	tr|Q9VD29|Q9VD29_DROME	XP_012237215.1, XP_012237214.1, XP_012237216.1
OG0001224	tr|A0A0B4KHK1|A0A0B4KHK1_DROME	XP_003484754.1, XP_012240363.1
OG0001225	sp|P61209|ARF1_DROME	XP_003491745.1
OG0001226	tr|Q9VET2|Q9VET2_DROME	XP_003488148.1
OG0001227	tr|A1Z9F8|A1Z9F8_DROME, sp|Q95028|LDH_DROME	XP_003487042.1, XP_003487041.1
OG0001271	sp|P11420|DA_DROME	XP_033180517.1
OG0001273	tr|Q9W430|Q9W430_DROME, sp|P83548|VNNL3_DROME, sp|Q8IRR1|VNNL2_DROME, sp|Q9NFP1|VNNL1_DROME	XP_033178893.1, XP_033178891.1, XP_003492548.1, XP_033178892.1
OG0001274	tr|Q7K4Y0|Q7K4Y0_DROME, tr|Q9VG68|Q9VG68_DROME, tr|Q9VTD4|Q9VTD4_DROME	XP_024226060.1, XP_012245518.1, XP_012245517.1, XP_003492439.1
OG0001274	tr|Q9VFX5|Q9VFX5_DROME	XP_003492441.1, XP_033178788.1, XP_012245520.1, XP_033178789.1
OG0001275	tr|E1JIM6|E1JIM6_DROME	XP_033178725.1
OG0001276	sp|P05031|DDC_DROME	XP_003491885.1
OG0001276	sp|P18486|DHAPP_DROME	XP_003491883.1
OG0001276	sp|Q05733|DCHS_DROME	XP_033178569.1, XP_024225765.1, XP_012245142.1, XP_012245143.1, XP_033178568.1, XP_033178570.1
OG0001276	tr|A1Z6N2|A1Z6N2_DROME, tr|A1Z6N4|A1Z6N4_DROME	XP_003489487.1
OG0001277	tr|Q9W3C9|Q9W3C9_DROME	XP_012243374.1, XP_012243372.1, XP_033177689.1
OG0001278	tr|Q24253|Q24253_DROME	XP_033177497.1, XP_033177495.1, XP_033177496.1, XP_012242863.1, XP_012242865.1
OG0001279	sp|Q9VJJ7|TRPG_DROME	XP_024224359.1, XP_024224361.1, XP_033177367.1, XP_003490671.1, XP_024224360.1, XP_033177366.1, XP_033177364.1, XP_033177365.1, XP_033177363.1
OG0001279	sp|P19334|TRP_DROME	XP_033176610.1, XP_024223421.1
OG0001280	tr|A0A0B4LF16|A0A0B4LF16_DROME, tr|A1ZAR2|A1ZAR2_DROME	XP_033176602.1, XP_033176605.1, XP_012241100.1, XP_033176603.1, XP_012241098.1, XP_012241097.1, XP_012241101.1, XP_024223419.1, XP_003489535.1, XP_012241099.1
OG0001281	tr|A0A0B4K6Y7|A0A0B4K6Y7_DROME	XP_003488729.2, XP_033176102.1
OG0001282	tr|Q7KTC0|Q7KTC0_DROME	XP_033176053.1, XP_033176055.1, XP_033176052.1, XP_033176050.1, XP_033176051.1, XP_033176054.1, XP_033176056.1
OG0001283	sp|Q9VVT2|INDY1_DROME, tr|E1JIQ7|E1JIQ7_DROME, sp|Q9VDQ0|INDY2_DROME, tr|Q7KTF1|Q7KTF1_DROME	XP_012236833.1, XP_024220974.1, XP_003486784.1, XP_012236834.1, XP_024220973.1, XP_033174855.1
OG0001284	tr|A0A0B4KEI4|A0A0B4KEI4_DROME	XP_024228274.1, XP_024228272.1, XP_012249618.1, XP_024228368.2, XP_024228367.1
OG0001285	tr|Q9VVL0|Q9VVL0_DROME	XP_024227908.1, XP_012248953.1
OG0001286	sp|Q8I0G5|COPG_DROME	XP_024227067.1, XP_003493763.1
OG0001287	tr|Q2PDT4|Q2PDT4_DROME	XP_012246047.1, XP_024226344.1, XP_012246045.1, XP_012246042.1
OG0001288	sp|P08736|EF1A1_DROME, sp|P05303|EF1A2_DROME	XP_003492701.1, XP_024226287.1
OG0001289	tr|A0A0C4DHC8|A0A0C4DHC8_DROME	XP_012245361.1, XP_012245362.1, XP_024225935.1, XP_024225936.1, XP_012245356.1, XP_012245358.1, XP_012245357.1, XP_012245359.1
OG0001290	tr|Q9VDT9|Q9VDT9_DROME	XP_024225525.1
OG0001291	tr|Q9VJ03|Q9VJ03_DROME, tr|Q960D4|Q960D4_DROME	XP_012241733.1, XP_012241730.1, XP_012241732.1, XP_024223782.1, XP_012241734.1, XP_012241729.1
OG0001293	sp|P40808|DCOR2_DROME, sp|P40807|DCOR1_DROME	XP_024220784.1, XP_024220783.1, XP_024220785.1
OG0001294	tr|E1JHR0|E1JHR0_DROME	XP_003485825.1, XP_024228356.1
OG0001295	tr|Q9VDR6|Q9VDR6_DROME	XP_003485409.1, XP_024227749.1
OG0001296	sp|P46150|MOEH_DROME	XP_012249648.1
OG0001297	sp|P20153|USP_DROME	XP_003484462.1, XP_012242341.1, XP_012242231.1, XP_012242391.1, XP_012242296.1, XP_012242508.1, XP_024226023.1, XP_012242458.1, XP_003484463.1
OG0001298	sp|Q9VMJ7|KDM5_DROME	XP_003489772.1, XP_012241415.1, XP_012241416.1
OG0001299	tr|Q9VJ14|Q9VJ14_DROME	XP_003489284.1, XP_012240780.1
OG0001300	tr|Q9VXN5|Q9VXN5_DROME	XP_012238233.1, XP_003487708.1
OG0001301	tr|Q9VD62|Q9VD62_DROME, tr|Q9VD61|Q9VD61_DROME, tr|Q8IMY4|Q8IMY4_DROME, tr|Q7JQR3|Q7JQR3_DROME	XP_012249278.1
OG0001303	tr|Q9VVV7|Q9VVV7_DROME	XP_003488264.1
OG0001304	tr|A0A1W5PXH3|A0A1W5PXH3_DROME	XP_003488191.1
OG0001305	sp|Q9V3I8|OGG1_DROME	XP_003485455.1
OG0001343	tr|Q8MMD0|Q8MMD0_DROME	XP_012248685.1, XP_012248684.1, XP_024227779.1, XP_033180308.1
OG0001344	tr|Q8IQJ5|Q8IQJ5_DROME	XP_012244361.1, XP_003491643.1
OG0001344	sp|Q9W0K4|BAB2_DROME, sp|Q9W0K7|BAB1_DROME	XP_024226705.1
OG0001344	sp|Q24206|BRC4_DROME	XP_033180299.1, XP_033180301.1, XP_012248633.1, XP_033180297.1, XP_012248634.1, XP_024227639.1, XP_033180298.1, XP_033180302.1, XP_033180300.1
OG0001344	tr|Q9W458|Q9W458_DROME	XP_024220761.1, XP_033174712.1, XP_003486604.1
OG0001344	sp|Q24174|ABRU_DROME	XP_012239686.1, XP_003488648.1
OG0001344	tr|A0A0B4KFC4|A0A0B4KFC4_DROME, tr|Q9VSL1|Q9VSL1_DROME, tr|Q9VJJ6|Q9VJJ6_DROME	XP_003485801.3
OG0001347	tr|Q0KI05|Q0KI05_DROME	XP_033180162.1
OG0001347	tr|A0A0B4KHJ4|A0A0B4KHJ4_DROME	XP_024222926.2
OG0001347	tr|Q5LJN5|Q5LJN5_DROME	XP_033180098.1
OG0001348	sp|Q86LG1|PPK28_DROME, tr|Q0KHW3|Q0KHW3_DROME, tr|Q7KTW2|Q7KTW2_DROME, tr|Q9W250|Q9W250_DROME	XP_003487446.1, XP_012237817.1, XP_012237818.1
OG0001348	tr|Q8IMV2|Q8IMV2_DROME, tr|Q9V9Y5|Q9V9Y5_DROME, tr|Q9VZN1|Q9VZN1_DROME, tr|Q9VL88|Q9VL88_DROME	XP_033179581.1, XP_033179584.1, XP_033179583.1, XP_003493499.1
OG0001348	tr|A8JV41|A8JV41_DROME	XP_012240062.1
OG0001348	tr|A1Z6S4|A1Z6S4_DROME, tr|Q86LH1|Q86LH1_DROME, tr|Q8MLR6|Q8MLR6_DROME, tr|Q9W2B5|Q9W2B5_DROME	XP_012242038.1
OG0001348	sp|Q9VL84|PPK11_DROME, tr|Q86LG7|Q86LG7_DROME	XP_024224189.1
OG0001348	tr|A0A0B4K691|A0A0B4K691_DROME, tr|Q9VS73|Q9VS73_DROME, tr|Q7KT94|Q7KT94_DROME	XP_033175895.1, XP_012239254.1
OG0001349	sp|P82147|L2EFL_DROME	XP_003492810.1, XP_003492811.1, XP_033179086.1, XP_024226364.1, XP_003492017.1, XP_033174564.1, XP_033174568.1
OG0001350	tr|Q9W0D9|Q9W0D9_DROME, tr|Q7K4C7|Q7K4C7_DROME	XP_033179031.1, XP_012245941.1, XP_033179032.1, XP_012245938.1, XP_012245935.1, XP_012245937.1, XP_012245936.1, XP_012245934.1, XP_033179030.1
OG0001352	tr|Q9VCN7|Q9VCN7_DROME	XP_033177799.1, XP_012243591.2, XP_033177800.1, XP_003491241.1, XP_033177801.1
OG0001353	sp|Q9VCR3|COW_DROME	XP_033177794.1
OG0001354	tr|M9PBV2|M9PBV2_DROME	XP_033177116.1, XP_003490259.1, XP_012242128.1
OG0001355	tr|B7Z126|B7Z126_DROME	XP_012250213.1, XP_012250207.1, XP_024220243.1, XP_012250211.1, XP_012250210.1, XP_024220244.1, XP_012250212.1, XP_012250209.1, XP_012250206.1, XP_012250202.1, XP_012250204.1, XP_003486186.1, XP_012250203.1, XP_033174406.1
OG0001356	tr|Q9V3K9|Q9V3K9_DROME	XP_024228037.1, XP_024228036.1, XP_024228035.1, XP_033180561.1, XP_033180560.1, XP_012249028.1, XP_012249054.1
OG0001357	sp|P49283|MVL_DROME	XP_012244541.1, XP_003485198.1, XP_012244560.1, XP_033178404.1, XP_012244551.3, XP_012244522.1
OG0001358	sp|Q9W0S9|DIP2_DROME	XP_033174713.1, XP_012237159.1, XP_012237169.1, XP_012237137.1, XP_012237141.3, XP_012237149.3
OG0001359	tr|Q8SZT1|Q8SZT1_DROME	XP_024226514.1, XP_024226511.1, XP_024226510.1, XP_024226512.1, XP_012246382.1, XP_024226513.1, XP_012246374.1, XP_012246373.1, XP_012246375.1
OG0001360	tr|Q0E9E0|Q0E9E0_DROME	XP_024226163.1, XP_024226159.1, XP_024226161.1
OG0001361	tr|A8DZ19|A8DZ19_DROME	XP_024226126.1
OG0001362	sp|Q7KVH9|TFP8L_DROME	XP_024224754.1, XP_024224753.1, XP_024224755.1
OG0001363	sp|O44783|SPY_DROME	XP_024224628.1
OG0001364	tr|A1Z8S6|A1Z8S6_DROME	XP_012243097.1, XP_003490946.1, XP_012243098.1, XP_003490945.1, XP_024224613.1
OG0001366	tr|Q9W0R2|Q9W0R2_DROME, tr|Q9VKS7|Q9VKS7_DROME	XP_012237951.1, XP_024221734.1
OG0001368	tr|E1JHQ6|E1JHQ6_DROME	XP_012236755.2
OG0001369	tr|Q9VFT4|Q9VFT4_DROME	XP_024228283.1, XP_003484531.1
OG0001370	tr|O96692|O96692_DROME	XP_012247307.1, XP_012247308.1, XP_012247309.1
OG0001372	tr|A0A0B4KG50|A0A0B4KG50_DROME	XP_012246041.1, XP_012246040.1
OG0001373	sp|P16376|7UP2_DROME	XP_003491138.2
OG0001374	tr|Q9VK28|Q9VK28_DROME	XP_003490679.1, XP_012242665.1
OG0001375	sp|P45975|SUV39_DROME	XP_012241060.1, XP_003489528.1, XP_012241061.1
OG0001376	sp|Q9VCX4|RRF2M_DROME	XP_012239895.1
OG0001377	tr|Q9VNE0|Q9VNE0_DROME	XP_012239827.1
OG0001378	sp|P08645|RAP1_DROME	XP_012238945.1, XP_003488045.1, XP_012238943.1, XP_012238944.1
OG0001379	tr|Q9VT29|Q9VT29_DROME	XP_003487705.1, XP_012238296.1
OG0001381	sp|Q9VRP9|BRE1_DROME	XP_003486466.1, XP_012236316.1
OG0001382	sp|P82890|PPAC1_DROME, sp|P82891|PPAC2_DROME, tr|Q8ING6|Q8ING6_DROME, tr|Q9VE30|Q9VE30_DROME	XP_003485963.2, XP_012249848.1
OG0001384	tr|Q9VHX0|Q9VHX0_DROME	XP_012249401.1
OG0001385	sp|Q8T8R1|CNBP_DROME	XP_012248156.1, XP_012248152.1, XP_003485390.1
OG0001386	sp|Q9VT70|NDE1_DROME	XP_012243973.1
OG0001387	sp|P15007|ENO_DROME	XP_003493255.1
OG0001388	sp|Q9W133|ADCK_DROME	XP_003491345.1
OG0001389	tr|Q7KNQ9|Q7KNQ9_DROME	XP_003488814.1
OG0001390	sp|Q24318|TFDP_DROME	XP_003487998.1
OG0001391	sp|Q9VZS3|ETIF1_DROME	XP_003486256.1
OG0001432	tr|Q9VGU6|Q9VGU6_DROME	XP_033180163.1, XP_003494372.1
OG0001433	tr|A0A0B4KH14|A0A0B4KH14_DROME	XP_033180136.1, XP_024227562.1, XP_003494278.1
OG0001434	tr|Q9VUV4|Q9VUV4_DROME	XP_033179729.1, XP_033179730.1, XP_033179731.1
OG0001435	sp|O46037|VINC_DROME	XP_024227041.1, XP_024227040.1, XP_033179685.1, XP_024227039.1, XP_033179683.1, XP_033179682.1, XP_033179680.1, XP_033179681.1, XP_033179684.1, XP_024227036.1, XP_033179674.1, XP_012247312.1, XP_024227033.1, XP_033179675.1, XP_024227032.1, XP_012247311.2, XP_033179676.1, XP_024227034.1, XP_024227037.1, XP_024227031.1, XP_033179679.1, XP_033179678.1, XP_033179677.1
OG0001437	tr|Q8SXG7|Q8SXG7_DROME	XP_003491536.1, XP_033178039.1, XP_012244045.1, XP_012244047.1, XP_012244044.1, XP_012244048.1
OG0001438	sp|Q9VH14|TIMP_DROME	XP_012243222.1, XP_033177627.1, XP_003490972.3
OG0001439	tr|A0A0B4KG70|A0A0B4KG70_DROME	XP_024223087.1, XP_024223085.1, XP_033176376.1, XP_003489189.1, XP_024223086.1
OG0001440	sp|A1Z7A6|ASAP_DROME	XP_003488320.1, XP_033175926.1, XP_033175933.1, XP_033175928.1, XP_033175930.1, XP_033175932.1, XP_033175927.1, XP_012239375.1, XP_033175931.1, XP_024222356.1, XP_024222354.1, XP_024222353.1, XP_033175929.1, XP_012239372.1, XP_012239373.1
OG0001441	tr|A0A0B4KF06|A0A0B4KF06_DROME	XP_012238565.1, XP_033175632.1
OG0001441	tr|Q9VSR7|Q9VSR7_DROME	XP_012238511.1
OG0001442	tr|Q7KT16|Q7KT16_DROME	XP_033175104.1, XP_012237565.1, XP_033175103.1, XP_024221356.1, XP_012237563.1, XP_012237564.1
OG0001443	sp|Q9W3W8|RL17_DROME	XP_033174330.1, XP_003486076.1
OG0001444	tr|M9PHI0|M9PHI0_DROME	XP_024226146.1, XP_003492540.1, XP_012245687.1
OG0001445	sp|Q9VHH7|ADAL_DROME	XP_024224315.1, XP_024224314.1
OG0001446	sp|P25992|YEMA_DROME	XP_024224311.1, XP_012242753.1
OG0001447	sp|Q4LBB9|OCTB2_DROME	XP_012239249.1, XP_003488300.1
OG0001447	sp|Q4LBB6|OCTB3_DROME	XP_024223779.1, XP_012241728.1
OG0001447	sp|Q9VCZ3|OCTB1_DROME	XP_003489997.1
OG0001448	sp|Q9VXX8|RL371_DROME, sp|Q9W1U6|RL372_DROME	XP_024223254.1, XP_003489329.1
OG0001449	sp|O61734|CYCL_DROME	XP_024221888.1
OG0001450	sp|P42124|EZ_DROME	XP_003485776.1, XP_024228318.1, XP_024228319.1, XP_024228320.1
OG0001451	sp|P91621|SIF1_DROME	XP_012249703.1, XP_012249704.1, XP_012249700.1, XP_003485773.1, XP_012249701.1, XP_012249697.1, XP_012249699.1, XP_012249696.1, XP_024228290.1, XP_012249702.1
OG0001453	sp|Q9VXN2|SUN_DROME, tr|Q9VH24|Q9VH24_DROME	XP_012245498.1, XP_003492422.1
OG0001454	sp|P50882|RL9_DROME	XP_012244330.1, XP_003491650.1
OG0001455	tr|A8JQY7|A8JQY7_DROME, sp|Q9VVT9|NIJB_DROME	XP_003491655.1, XP_012244319.1
OG0001457	sp|P84040|H4_DROME	XP_003489854.1, XP_003492168.1, XP_003489847.1, XP_012239517.1
OG0001458	sp|P33244|FTZF1_DROME	XP_012238262.1
OG0001459	sp|Q8MR37|KLFL_DROME	XP_003487047.1, XP_012237306.1
OG0001460	tr|Q9VWY7|Q9VWY7_DROME	XP_012250228.1, XP_003486169.1
OG0001461	tr|Q9VT66|Q9VT66_DROME, sp|Q9VV43|TPPP_DROME	XP_012239062.1, XP_012239065.1
OG0001462	sp|P08879|NDKA_DROME	XP_012237430.1
OG0001463	tr|Q9VUB8|Q9VUB8_DROME	XP_003492109.1
OG0001464	tr|Q9VVJ5|Q9VVJ5_DROME	XP_003490680.1
OG0001465	sp|Q24040|BGB_DROME, sp|Q24039|BRO_DROME	XP_003488213.1
OG0001466	tr|Q9VZG7|Q9VZG7_DROME, tr|Q9VZE9|Q9VZE9_DROME, tr|Q9VP18|Q9VP18_DROME	XP_003486908.1
OG0001468	sp|P50887|RL22_DROME	XP_003484948.1
OG0001469	sp|P40304|PSB1_DROME	XP_003484732.1
OG0001523	tr|Q9VWR1|Q9VWR1_DROME, sp|P45594|CADF_DROME	XP_033180385.1
OG0001524	sp|P10351|XDH_DROME	XP_024227837.1, XP_012248817.1, XP_024227836.1, XP_024227835.1, XP_033180354.1
OG0001525	sp|P40809|RG84C_DROME, tr|A1Z9I5|A1Z9I5_DROME	XP_033179356.1, XP_003493212.1
OG0001526	tr|Q9VEX7|Q9VEX7_DROME	XP_033179014.1, XP_012245933.1, XP_003492696.1
OG0001527	tr|Q8IPH8|Q8IPH8_DROME, sp|Q9V3Z6|MYO7A_DROME	XP_033177900.1, XP_012243813.1, XP_003491332.1, XP_012243815.1
OG0001528	sp|Q9NII1|ADAR_DROME	XP_033177353.1, XP_003490582.1, XP_012242535.1, XP_033177354.1
OG0001529	tr|A0A0B4LGH8|A0A0B4LGH8_DROME	XP_003488302.1, XP_033175897.1
OG0001530	tr|Q9VG84|Q9VG84_DROME	XP_033175791.1, XP_033175790.1, XP_024222260.1
OG0001531	sp|Q9W145|STRT1_DROME	XP_012238738.1, XP_033175649.1, XP_024222061.1
OG0001532	sp|Q9VPC0|KP58_DROME	XP_012238656.1, XP_003487816.1, XP_012238655.1, XP_012238658.1, XP_033175551.1, XP_012238657.1, XP_024221934.1
OG0001533	sp|Q8IRI6|GTR1_DROME	XP_012236547.1, XP_024220809.1, XP_024220805.1, XP_024220810.1, XP_024220807.1, XP_024220808.1, XP_024220806.1, XP_033174737.1, XP_024220802.1, XP_012236535.1, XP_033174739.1, XP_033174736.1, XP_033174735.1, XP_033174738.1, XP_012236549.1, XP_024220803.1, XP_024220801.1, XP_012236539.1, XP_012236541.1, XP_024220804.1
OG0001534	sp|A1Z6E0|GUS_DROME	XP_033174637.1
OG0001535	tr|Q7KSF5|Q7KSF5_DROME	XP_033174572.1, XP_033174574.1, XP_033174573.1
OG0001536	sp|Q9VHB6|MTX1_DROME	XP_012239984.1, XP_033175679.1, XP_012240007.1, XP_012239980.1, XP_012239994.1, XP_033175671.1, XP_033175678.1, XP_012240003.1
OG0001537	sp|Q9XZL8|SRA_DROME	XP_024226919.1
OG0001538	tr|Q9VCE7|Q9VCE7_DROME	XP_012246351.2, XP_012246350.2, XP_012246353.2
OG0001539	sp|Q94901|LARK_DROME	XP_024224841.1
OG0001540	sp|P13709|FSH_DROME	XP_024224561.1, XP_003490841.1, XP_024224557.1, XP_024224560.1, XP_024224559.1
OG0001541	sp|Q24151|STAT_DROME	XP_003486926.1, XP_024221086.1, XP_024221087.1
OG0001542	tr|Q8SXC2|Q8SXC2_DROME	XP_012250234.1, XP_024220292.1
OG0001543	sp|Q9V4S8|CSN7_DROME	XP_012250107.1, XP_012250106.1, XP_003486113.2, XP_024220241.1, XP_024220242.1
OG0001544	sp|Q9W0C1|NSYB_DROME	XP_012241799.1, XP_024224138.1, XP_012242226.1, XP_024224129.1, XP_012242220.1
OG0001545	sp|P29774|ETS3_DROME	XP_024221655.1, XP_024221657.1
OG0001546	tr|Q9VFV9|Q9VFV9_DROME	XP_012248230.1
OG0001547	sp|P08646|RAS1_DROME	XP_012247124.1, XP_012247125.1
OG0001548	sp|P08144|AMYA_DROME, sp|P81641|AMYB_DROME, sp|O18408|AMYR_DROME	XP_003494475.1
OG0001549	sp|P54631|SCW_DROME, sp|P27091|60A_DROME	XP_003494016.1
OG0001550	tr|A1Z893|A1Z893_DROME, tr|A1Z892|A1Z892_DROME, tr|Q7JX87|Q7JX87_DROME	XP_003486265.1
OG0001550	tr|Q9VQI7|Q9VQI7_DROME	XP_003493744.1
OG0001551	tr|Q0KHU4|Q0KHU4_DROME, sp|P40792|RAC1_DROME	XP_003493322.1
OG0001552	tr|Q9VJ10|Q9VJ10_DROME, tr|A1Z6N5|A1Z6N5_DROME	XP_012246874.1, XP_012246873.1
OG0001553	tr|Q8SXR7|Q8SXR7_DROME	XP_012239738.1, XP_012239739.1
OG0001553	tr|Q7KVJ6|Q7KVJ6_DROME, tr|E1JHE4|E1JHE4_DROME	XP_012238082.1
OG0001554	sp|Q9VWA1|CLC_DROME	XP_003490369.1, XP_012242195.1
OG0001555	tr|Q9VZP0|Q9VZP0_DROME	XP_012241501.1
OG0001556	tr|Q9VUN2|Q9VUN2_DROME, tr|Q8SXP8|Q8SXP8_DROME	XP_012240812.1, XP_003489432.1, XP_012240813.1
OG0001557	tr|M9PF20|M9PF20_DROME	XP_003488997.1, XP_012240283.1
OG0001558	sp|O96539|ATE1_DROME	XP_003488276.1, XP_012239215.1
OG0001561	sp|Q9VNA5|PSB4_DROME	XP_003484937.2
OG0001562	tr|Q9W3V3|Q9W3V3_DROME	XP_003492419.1
OG0001563	tr|Q9VBN5|Q9VBN5_DROME	XP_003491547.1
OG0001564	sp|Q7K4V4|AKTP1_DROME, sp|A1ZBR5|AKTP2_DROME	XP_003491335.1
OG0001565	tr|Q7JVG2|Q7JVG2_DROME	XP_003490130.1
OG0001567	tr|Q9VMS1|Q9VMS1_DROME, tr|X2JD93|X2JD93_DROME	XP_003486618.1
OG0001568	sp|Q9V3P0|PRDX1_DROME	XP_003484863.1
OG0001621	sp|P32866|GPRK2_DROME	XP_024227570.1, XP_024227569.1, XP_033180139.1, XP_033180141.1, XP_033180138.1, XP_033180137.1
OG0001622	sp|P83094|STIM_DROME	XP_012247381.1, XP_024227061.1, XP_012247378.1, XP_003493776.1, XP_012247375.1, XP_033179691.1
OG0001623	tr|Q9W2G8|Q9W2G8_DROME, tr|Q9W2G9|Q9W2G9_DROME, sp|Q7KML2|ACOX1_DROME, tr|Q9W3U0|Q9W3U0_DROME	XP_003493616.1, XP_033179687.1, XP_033179686.1
OG0001624	tr|Q9VRD9|Q9VRD9_DROME	XP_012247019.1, XP_033179536.1, XP_012247021.1, XP_012247023.1, XP_024226845.1
OG0001625	sp|P25153|UBCD6_DROME	XP_033178675.1, XP_012245302.1, XP_033178676.1, XP_033178677.1, XP_012245304.1
OG0001626	tr|Q8IQV1|Q8IQV1_DROME	XP_033174753.1, XP_012249787.1, XP_003484399.1, XP_033174721.1, XP_033174777.1, XP_012249901.1, XP_033174691.1, XP_033177108.1, XP_003490253.1
OG0001627	sp|O61231|RL10_DROME	XP_033176086.1, XP_033176087.1
OG0001629	tr|Q9W1G4|Q9W1G4_DROME	XP_033175512.1, XP_024221851.1, XP_024221850.1, XP_024221849.1, XP_033175511.1
OG0001630	sp|P02833|ANTP_DROME	XP_012237883.1, XP_024221622.1, XP_012237884.1, XP_003487458.1, XP_024221623.1, XP_033175322.1, XP_024221624.1
OG0001631	sp|P22700|ATC1_DROME	XP_012236863.1, XP_033174863.1, XP_033174864.1
OG0001632	sp|Q9V4L4|KBRAS_DROME	XP_033174828.1, XP_024220934.1, XP_033174829.1, XP_033174830.1
OG0001633	sp|Q27869|PIMT_DROME	XP_033174827.1, XP_012236619.1, XP_012236620.1, XP_012236618.2, XP_024220930.1, XP_003486755.1
OG0001635	tr|Q8IP19|Q8IP19_DROME	XP_033174744.1, XP_012236749.1, XP_033174742.1, XP_033174743.1
OG0001636	sp|Q02926|RB97D_DROME, sp|P07909|ROA1_DROME, sp|P48810|RB87F_DROME	XP_033174424.1, XP_012250279.1, XP_003486296.1, XP_012250282.1
OG0001637	sp|Q9W0P2|REV1_DROME	XP_024227635.1, XP_003494404.1
OG0001638	tr|M9PB71|M9PB71_DROME	XP_024226996.1, XP_012240759.1, XP_003484920.1, XP_012240768.1, XP_024223308.1
OG0001639	tr|Q6NP91|Q6NP91_DROME	XP_024226266.1, XP_012245830.1, XP_003492657.1
OG0001641	tr|Q9VJP1|Q9VJP1_DROME, tr|Q9VRF6|Q9VRF6_DROME, sp|Q9VNA0|TI17A_DROME, tr|Q7PLT4|Q7PLT4_DROME	XP_024225387.1, XP_003491766.1, XP_012244461.1
OG0001642	sp|P19109|DDX17_DROME, tr|Q9W3M7|Q9W3M7_DROME, sp|Q9W3Y5|Y4443_DROME	XP_012249315.1, XP_012249314.1
OG0001642	tr|Q8MZI3|Q8MZI3_DROME	XP_024223516.1, XP_003489670.1, XP_012241236.1, XP_003489671.1, XP_003493914.1, XP_012247736.1
OG0001643	tr|Q7K3P0|Q7K3P0_DROME	XP_024222692.1, XP_003488713.1
OG0001644	sp|Q9VIE6|MCM10_DROME	XP_024222470.1, XP_012239500.1
OG0001645	sp|Q23972|SMG_DROME	XP_024222361.1, XP_012239299.1
OG0001646	sp|Q02427|RBP1_DROME, tr|M9MS48|M9MS48_DROME	XP_012237983.1, XP_003487573.2, XP_024221652.1, XP_012237982.1
OG0001647	tr|M9PB92|M9PB92_DROME	XP_024221509.1, XP_012237803.1, XP_012237800.1, XP_024221508.1, XP_012237798.1, XP_012237802.1, XP_012237801.1, XP_012237804.1
OG0001648	sp|Q9U6B8|CRCM1_DROME	XP_024220692.1
OG0001649	sp|Q9VUC6|FRL_DROME	XP_024220246.1
OG0001650	sp|P16568|BICD_DROME	XP_024227430.1, XP_003485391.1, XP_012248104.1
OG0001651	sp|P15215|LAMC1_DROME	XP_012248702.1, XP_012248703.1, XP_012248704.1
OG0001652	sp|Q9VEX9|SAP18_DROME	XP_012247259.1, XP_003493613.1
OG0001653	sp|O61735|CLOCK_DROME	XP_012246973.1, XP_012246974.1, XP_012246975.1
OG0001654	tr|Q9W396|Q9W396_DROME	XP_003493697.1
OG0001656	tr|A1Z6Z7|A1Z6Z7_DROME	XP_012244875.1, XP_012244872.1, XP_012244871.1, XP_012244873.1
OG0001657	sp|Q24154|RL29_DROME	XP_012243090.1, XP_003490930.1
OG0001658	tr|M9PGH7|M9PGH7_DROME	XP_003490814.1, XP_012243080.1, XP_012243078.1
OG0001659	tr|Q9VYI1|Q9VYI1_DROME	XP_012242647.1, XP_003490646.1
OG0001660	sp|Q03372|HMSH_DROME	XP_003489916.1, XP_003489824.2
OG0001662	sp|Q9VS50|ECO_DROME	XP_012240230.1
OG0001663	tr|Q9VL16|Q9VL16_DROME	XP_012239340.1, XP_003488408.1, XP_012239341.1
OG0001664	tr|Q9VM59|Q9VM59_DROME	XP_012237377.1, XP_012237374.1, XP_003487039.1
OG0001665	tr|Q9W2E9|Q9W2E9_DROME	XP_012249726.1, XP_012249725.1, XP_012249724.1
OG0001666	tr|Q9VJ12|Q9VJ12_DROME	XP_012249462.1, XP_012249461.1, XP_003485643.1
OG0001667	tr|X2JC00|X2JC00_DROME	XP_012246530.1, XP_012246522.1
OG0001668	tr|Q9V3Y5|Q9V3Y5_DROME	XP_003485252.1, XP_012245883.1
OG0001669	tr|Q9VXA3|Q9VXA3_DROME	XP_003492839.1
OG0001670	sp|P35122|UCHL_DROME	XP_003492576.1
OG0001671	sp|P04657|CYC1_DROME, sp|P84029|CYC2_DROME	XP_003490153.1
OG0001672	sp|Q9VWQ2|S6KL_DROME, sp|P12370|KAPC1_DROME	XP_003490038.1
OG0001673	tr|Q9VQD7|Q9VQD7_DROME	XP_003489949.1
OG0001674	sp|Q9W422|JOSL_DROME	XP_003488690.1
OG0001675	tr|Q8T8W6|Q8T8W6_DROME, tr|Q9VGB6|Q9VGB6_DROME, tr|Q9VAN7|Q9VAN7_DROME	XP_003487441.1
OG0001748	sp|Q7PLK0|AGO3_DROME	XP_033179376.1, XP_012246676.1, XP_012246677.1, XP_012246678.1
OG0001748	sp|O76922|AUB_DROME, sp|Q9VKM1|PIWI_DROME	XP_033177921.1
OG0001749	tr|Q7KIS4|Q7KIS4_DROME	XP_012245838.1, XP_012245837.1, XP_012245842.1, XP_012245840.1, XP_012245841.1, XP_033178983.1, XP_024226267.1
