Orthogroup	mouse	finch
OG0001815	NP_001365916.1, XP_006501883.1	XP_030135179.1
OG0001815	BAE34992.1, CAA45713.1, sp|P27870.1|VAV_MOUSE, AAY21062.1, BAE30725.1, BAE30926.1, BAE30209.1, NP_001157287.1, pdb|1F5X|A, pdb|2VRW|B, BAE30341.1, BAE30345.1, BAE31855.1, BAE31208.1, BAE29525.1, NP_035821.3, BAE31309.1, EDL38258.1, BAE32424.1, BAC40436.1, CAJ18529.1, NP_001157288.1, AAH20487.1, pdb|1K1Z|A, pdb|1GCQ|C, pdb|1GCP|A, pdb|1GCP|B, pdb|1GCP|D, pdb|1GCP|C	XP_030135180.1, XP_041567622.1
OG0001816	BAC65762.3, XP_006515087.1, AAI71950.1, AAI38263.1, XP_006515090.1, EDL01361.1, AAD19748.1, BAE43269.1, BAC31264.1, NP_001185898.1, BAE37499.1, XP_006515089.1, BAC27381.1, XP_006515086.1, XP_030102487.1, NP_001185897.1, XP_006515088.1, EDL01362.1, XP_036013169.1, AAD19747.1, sp|Q9Z0R6.2|ITSN2_MOUSE, NP_035495.2	XP_032603626.2, XP_032603628.2, XP_032603627.2, XP_032603622.2, XP_032603621.2, XP_041570928.1, XP_041570929.1, XP_041570926.1, XP_032603623.2, XP_032603619.2, XP_041570927.1, XP_032603629.2
OG0001817	EDL04012.1, AAA37548.1, AAI06155.1, NP_112447.2, BAE39143.1, AAH94009.1, BAE26646.1, EDL04013.1, BAE26585.1, BAE27557.1, BAE40915.1, AAA37551.1, BAE40418.1, BAE39072.1, BAE38980.1, BAE39006.1, AAA37550.1, BAE26499.1, EDL04014.1, BAE40434.1, BAE40567.1, BAE39268.1, sp|P11679.4|K2C8_MOUSE, BAE39172.1, BAE39382.1, BAA14375.1, CAA31278.1, BAE27630.1, BAE40723.1, BAE41308.1, BAC36888.1, BAE39554.1, BAE40401.1	XP_030115098.3
OG0001818	XP_036011187.1, XP_036011188.1, XP_011240904.1, XP_011240905.1, XP_030100476.1, XP_011240903.1, XP_030100475.1, BAE32437.1, BAE38074.1, NP_001344314.1, BAE38398.1, NP_082141.1, BAB22398.1, XP_006510673.1, sp|Q9DCF1.1|TMM25_MOUSE, EDL25620.1, NP_001344313.1, AAH60057.1, AAH60243.1, EDL25617.1, EDL25618.1, XP_030100473.1, NP_001344312.1, XP_030100469.1, XP_030100471.1, XP_030100472.1, NP_001344315.1, XP_036011186.1, BAC41190.1, EDL25619.1, XP_030100474.1, XP_036011185.1	XP_041576815.1, XP_041576816.1
OG0001819	BAB29087.2, XP_036013103.1	XP_012428347.1
OG0001819	sp|Q60961.1|LAP4A_MOUSE, AAB04938.1, NP_032666.3, BAC39207.1, BAC40672.1, BAC35897.1, EDK98414.1, BAE38311.1, AAH89021.1, AAH86667.1	ACH45214.1, XP_012428346.1, ACH45212.1, ACH45215.1, ACH45213.1
OG0001819	EDL20448.1, BAC37691.1, AAK69596.1, ACB45498.1, BAC36721.1, BAC38630.1, NP_277056.1, EDL08855.1, BAC37072.1, AAH19120.1, sp|Q91XQ6.1|LAP4B_MOUSE	XP_002198806.5
OG0001820	BAC65841.1, XP_006533466.1, sp|Q8BQP8.1|RFIP4_MOUSE, BAC32850.1, XP_036012612.1, EDL15611.1, NP_780752.1, XP_036012610.1, XP_006533467.1, XP_030101895.1	XP_030143455.1, XP_030143451.1, XP_030143452.1, XP_030143453.1, XP_030143449.3, XP_030143448.1, XP_030143450.1
OG0001820	XP_011244664.1, XP_036016358.1, XP_036016359.1, XP_036016360.1, sp|Q8CHD8.2|RFIP3_MOUSE, NP_001156340.1, NP_001156341.1, BAC41441.1, EDL22483.1, EDL22484.1, NP_694780.1, AAH23364.1	XP_030140786.3, XP_030140790.3, XP_030140788.3, XP_030140787.3, XP_030140785.3
OG0001822	XP_006517399.1, XP_036014026.1, NP_001364026.1, EDL41275.1, sp|Q641K1.2|CBPC1_MOUSE, NP_075817.2, EDL41276.1, BAC25137.1, AAH48468.1, BAE21306.1, NP_001041473.1, EDL41278.1, BAE41530.1, NP_001271147.1, XP_011242859.1, NP_001271150.1, AAH82335.1, XP_006517401.1, XP_006517400.1, AAG37102.1, XP_006517403.1, XP_036014028.1, XP_036014027.1, XP_011242858.1, XP_006517402.1, XP_006517405.1, XP_036014030.1, EDL41277.1, NP_001271148.1, XP_030103240.1, XP_036014031.1	XP_030114720.1, XP_030114718.1, XP_030114719.1
OG0001823	AAI04350.1, AAI04349.1, EDL21856.1, CAC49976.1, CAB75546.1, sp|Q9JJY9.1|IL22_MOUSE, NP_058667.1, XP_006513928.1, CAL60106.1, CAP40187.1, CAH61625.1, CBM42924.1, CAH61630.1, CAB0000173.1, CAB0000174.1, NP_473420.2, sp|Q9JJY8.2|IL22B_MOUSE, CAC19436.1, CAB75547.1, AAI16236.1, CAC19435.1, pdb|6WEO|Z, pdb|6WEO|Q, pdb|6WEO|W, pdb|6WEO|T, pdb|6WEO|8, pdb|6WEO|J, pdb|6WEO|G, pdb|6WEO|N, pdb|6WEO|5, pdb|6WEO|2, pdb|6WEO|D, pdb|6WEO|L	XP_004176141.1
OG0001824	pdb|7R86|B, pdb|7R86|A, pdb|5O0O|G, pdb|5O0O|B, pdb|5O0O|C, pdb|5O0O|H, pdb|5O0O|D, pdb|5O0K|B, pdb|5O0L|B, pdb|5O0M|B, pdb|5O0K|A, pdb|5O0M|A, pdb|5O0L|A, pdb|5O0O|A, pdb|5O0N|A, pdb|5O0O|F, pdb|5O0O|E, pdb|5O0Q|D, pdb|5O0R|A, pdb|5O0Q|B, pdb|5O0Q|A, pdb|5O0Q|C, pdb|5O0P|A, AAG53611.1, CBL54389.1, CAC59982.1, AAH58381.1, AAH52317.2, EDK97502.1, sp|Q99PI8.1|RTN4R_MOUSE, NP_075358.1, pdb|5O0R|B, pdb|5O0P|B	XP_002187885.1
OG0001851	AAA91202.1, BAA09700.1, prf||2205234A, AAB84099.1, BAA11013.1, NP_035507.2, sp|Q61079.1|SIM2_MOUSE, EDL03751.1, AAB19098.1, XP_006523029.1, XP_006523031.1, XP_006523030.1, AAX63383.1, XP_017172386.1	XP_030140206.3
OG0001851	XP_006512695.1, XP_006512690.1, BAA28270.1, EDL05055.1, XP_006512694.1, XP_006512693.1, AAC05481.1, sp|Q61045.3|SIM1_MOUSE, NP_035506.2, BAA11467.1, XP_006512689.1, AAA91201.1	XP_002196673.1
OG0001852	NP_001345430.1, NP_001345435.1, NP_001345433.1, NP_001239271.1, NP_001345431.1, XP_006513511.1, XP_030100846.1, NP_001239270.1, XP_030100844.1, sp|P46096.1|SYT1_MOUSE, NP_033332.1, BAE37652.1, CAP07395.1, XP_006513510.1, AAH42519.1, CBZ98840.1, EDL21707.1, BAA07040.1, BAC37395.1, NP_001345432.1, XP_030100845.1	XP_030145246.1, XP_030145251.1, XP_030145228.3, XP_030145221.3, ABB82603.1, NP_001041725.1, XP_030145236.3, XP_030145241.3
OG0001853	XP_030100909.1, XP_006513645.1, XP_006513643.1, XP_006513644.1, NP_035719.1, AAC79687.1, BAE32206.1, NP_001157552.1, XP_006513646.1, BAA36500.1, NP_001157553.1, BAA76390.2, sp|Q9R1X4.3|TIM_MOUSE, AAC80010.1, NP_001129554.1, AAH82770.1, AAH58641.1, AAH64788.1, AAH52884.1	XP_030115157.3, XP_030115156.3, XP_030115154.3, XP_030115155.3
OG0001855	pdb|5NZS|Z, NP_062791.1, pdb|5A1Y|F, pdb|5NZV|Z, pdb|5NZV|L, pdb|5A1V|W, pdb|5NZS|L, pdb|5A1Y|N, pdb|5A1W|F, pdb|5A1Y|W, pdb|5NZR|Z, pdb|5NZU|L, EDL03927.1, sp|P61924.1|COPZ1_MOUSE, pdb|5NZT|L, pdb|5A1U|F, pdb|5A1X|N, pdb|5NZT|Z, pdb|5NZU|Z, pdb|5A1X|F, pdb|5NZR|L, pdb|5NZV|U, pdb|5A1V|N, pdb|5A1V|F, pdb|5NZV|S	XP_041567485.1
OG0001856	EDL31345.1, AAH64459.1, BAC34065.1, EDL31344.1, XP_006528841.1, NP_780638.1	XP_030128693.3
OG0001856	BAE43079.1, NP_808383.3, BAC29094.1, EDL00489.1, AAP92150.1, sp|Q6WVG3.1|KCD12_MOUSE, BAD32538.1, AAI16649.1, AAI16648.1, BAC40037.1	XP_004175118.2
OG0001856	BAC30262.2, BAC38532.1, EDL10049.1, EDL10048.1, EDL10050.1, BAB24283.1, NP_001357969.1, NP_080411.1, NP_001357968.1, NP_001357970.1, sp|Q5DTY9.2|KCD16_MOUSE, BAD90438.1	XP_041574877.1
OG0001858	AAQ57661.1, NP_766388.2, sp|Q6V4S5.1|SDK2_MOUSE, XP_006533316.1, XP_006533318.1, EDL34427.1, BAE36324.1, BAC98189.1, XP_006533317.1	XP_030143152.3, XP_030143151.3, XP_030143153.3, XP_030143154.3
OG0001858	sp|Q3UH53.1|SDK1_MOUSE, BAE28004.1, NP_808547.3, XP_006504775.1, BAE28630.1, BAC28986.1, BAC28069.1, BAE25688.1, AAQ57662.1, AAI38454.1, EDL19102.1, AAH60237.1	XP_030140491.3, XP_041575015.1
OG0001859	NP_001157894.1, AAH29179.1, BAE31657.1, EDL09410.1, NP_001157892.1, NP_001157893.1, AAH08231.1, BAB26173.1, BAE31779.1, XP_006526582.1, NP_080137.2, EDL09409.1, AAH43686.1, BAB31391.1, XP_017173459.1, XP_006526583.1, sp|Q80XM9.1|S66A2_MOUSE, NP_001157896.1, NP_001157895.1, BAB30976.1, BAC33061.1, XP_006526585.1, XP_030106435.1, BAB31886.1	XP_030121472.1, XP_030121471.1, XP_041570546.1, XP_041570548.1, XP_041570549.1, XP_041570547.1
OG0001860	XP_006516266.1, EDL18660.1, AAH26761.1, EDL18661.1, EDL18659.1, BAE22969.1, NP_081425.2, BAE26406.1, sp|Q9D5R2.1|WDR20_MOUSE, BAB29671.1, NP_081890.1, EDL36643.1, AAH50778.1, BAB29747.2, XP_006516268.1, XP_036013498.1, NP_001351201.1, XP_030102761.1, XP_006516270.1, XP_011242472.1, NP_001351202.1	XP_032604773.1
OG0001860	XP_006516267.1	XP_030130866.1, XP_041572244.1, XP_030130864.1, XP_030130865.1, XP_030130867.1
OG0001861	NP_001318073.1, NP_001318074.1	XP_041572858.1, XP_030132274.1, XP_030132293.1, XP_041572861.1, XP_041572860.1, XP_030132277.1
OG0001861	NP_001318076.1, NP_001318067.1, NP_001318075.1, XP_006526923.1, XP_006526924.1, XP_017173599.1, NP_001318070.1	XP_030132278.1
OG0001861	XP_030101633.1	XP_030139984.3, XP_030139988.1, XP_030139985.3, XP_030139986.3, XP_030139987.3
OG0001862	XP_011238578.1, XP_011238579.1, XP_006502313.1, NP_001297465.2, sp|Q8CHG7.2|RPGF2_MOUSE, AAH67056.1, NP_001093094.2, BAC41412.1, XP_030108729.1, XP_036019282.1, EDL15466.1, XP_006502315.1	XP_030127295.2, XP_012428884.4, XP_030127293.3, XP_012428882.4, XP_030127294.3, XP_012428883.4, XP_030127297.3, XP_030127296.3, XP_002199010.3, XP_030127298.3
OG0001863	EDL38511.1, BAC32521.1, EDL38508.1, sp|Q8BL97.1|SRSF7_MOUSE, EDL38504.1, NP_666195.1, BAE23499.1, BAE40291.1, EDL38502.1, AAH25529.1, EDL38503.1, EDL38509.1, NP_001347364.1, EDL38510.1, NP_001182416.1, NP_001391035.1, EDL38506.1, AAH14857.1, NP_001182415.1, NP_001182414.1, BAC38650.1, EDL38513.1, AAH27391.1, EDL38507.1, BAC28058.1, EDL38512.1, EDL38505.1	ACH44314.1, NP_001232123.1, XP_012427645.1, XP_002199213.1
OG0001864	EDL18205.1, EDL18203.1, XP_036008611.1, BAE22959.1, XP_017177487.1, XP_006508555.1, AAB36518.1, NP_032460.2, sp|P97414.3|KCNQ1_MOUSE, AAH45142.2, BAE32460.1, AAH55304.1, AAP93874.1, XP_006508551.2, XP_006508552.2, XP_011240284.2, XP_006508553.3, XP_006508554.3, BAC15571.1, EDL18204.1	XP_030129781.1, XP_030129782.1, XP_002198073.2
OG0001864	CAA05246.1	XP_041569815.1
OG0001865	XP_006507253.1, AAH99935.1, NP_852072.2, XP_006507252.1, sp|Q8BMF3.2|MAON_MOUSE	XP_030124825.3, XP_030124830.3
OG0001865	AAH11081.1, AAH94028.1, EDL26503.1, EDL26502.1, AAH80660.1	XP_030123382.1
OG0001865	AAH04709.1, BAC31216.1, BAC34483.1, BAC34467.1, BAE42281.1, BAE33701.1, sp|Q99KE1.1|MAOM_MOUSE, NP_663469.1	XP_002199649.1
OG0001866	NP_001389972.1, NP_082640.2, EDL29520.1, XP_030104578.1, sp|Q3UEB3.2|PUF60_MOUSE, BAE28998.1, NP_001365913.1, NP_001343558.1, NP_001389973.1, NP_001389974.1	XP_041570084.1
OG0001866	NP_001389975.1, AAH10601.1, NP_001158072.1, EDL29523.1, EDL29521.1, BAE30474.1, NP_598452.2, BAE40622.1, EDL29522.1, NP_001365914.1, NP_001365915.1	XP_041570085.1
OG0001867	BAE33214.1, NP_001192321.1, EDL40148.1, BAC27201.1, sp|Q8C0J2.1|A16L1_MOUSE, NP_084122.2, EDL40146.1, BAC55091.1, AAH49122.1, EDL40145.1, NP_001192320.1, BAL42358.1, EDL40144.1, BAC55092.1, BAE37254.1, BAB23866.1, EDL40147.1, BAD21370.1, BAC55090.1, BAE41546.1	XP_030136595.1, XP_012431022.1, XP_012431026.1, XP_030136596.1, XP_012431023.1, XP_012431024.1, XP_012431025.1, XP_030136597.1
OG0001868	NP_001349052.1, EDL13917.1, XP_017177308.1, BAC40735.1, BAD32302.1, AAO17166.1, BAB22644.1, NP_001349051.1, XP_006505264.1, XP_006505265.1, EDL13916.1, NP_083680.2, XP_036008281.1, sp|Q9D4H9.1|PHF14_MOUSE, BAB30282.1, XP_006505261.1, AAH40236.1, XP_011239387.1, XP_006505260.1, XP_006505259.1, XP_030111516.1, NP_001161854.1	XP_030120588.3, XP_030120586.3, XP_030120587.3, XP_030120589.3
OG0001869	BAC38139.1, EDL34666.1, EDL34664.1, EDL34665.1, sp|Q8VCF1.1|CANT1_MOUSE, NP_001020788.1, XP_030102267.1, NP_001254520.1, NP_083778.2, XP_030102268.1, XP_030102269.1, BAC33968.1, NP_001020789.1, AAH20003.1, XP_006534469.1, BAB24655.1, XP_006534472.1, XP_006534467.1, XP_006534470.1, XP_006534468.1, EDL34663.1, NP_001254521.1, XP_006534471.1, XP_006534473.1, BAC39351.1, BAB31014.1, EDL34667.1	XP_030142959.1, XP_030142958.1, XP_030142957.3
OG0001870	BAC25264.1, BAC32935.1, XP_030104614.1, NP_001276367.1, NP_001276369.1, AAH92275.1, NP_001276368.1, EDL04185.1, BAC33009.1, XP_017172232.1, XP_030104615.1, AAH03301.1, EDL04184.1, AAH83325.1, XP_036015461.1, XP_036015462.1, NP_001276366.1, XP_030104613.1, BAE39517.1, EDL04186.1, sp|Q8BQR4.1|KANL2_MOUSE, NP_598475.2, AAI25634.1, BAC32821.1, NP_001346756.1, AAI25632.1	XP_030115276.3, XP_030115277.3, XP_030115275.3
OG0001871	XP_006499120.1, sp|O09044.1|SNP23_MOUSE, AAH70456.1, BAA20345.1, NP_001171264.1, BAB31577.1, AAB53597.1, NP_033248.1, BAF91555.1, EDL28001.1, AAF23503.1, EDL28004.1, EDL28002.1, BAB30686.1, XP_006499119.1, NP_001171263.1, XP_006499117.1, EDL28005.1, AAB62932.1	XP_030131367.1, XP_030131366.1
OG0001872	pdb|4QPL|C, pdb|4QPL|A, pdb|2RSF|A, pdb|1UJR|A, EDL04841.1, NP_001103666.1, BAE41005.1, EDL04839.1, NP_001103668.1, sp|Q9CZW6.2|RN146_MOUSE, NP_080794.2, AAH50795.1, EDL04838.1, NP_001271208.1, BAB22689.1, EDL04840.1, BAB28015.2, NP_001103667.1, BAE31587.1, BAE31549.1	XP_030123704.1, XP_012428211.1, XP_030123706.1, XP_030123710.1, XP_030123708.1, XP_030123709.1, XP_030123711.1, XP_030123705.1, XP_030123707.1, XP_030123703.1
OG0001873	AAC52853.1, BAC35576.1, CAA84293.1, ADI96103.1, prf||2205332A, CAA60031.1, pdb|1U2C|A, pdb|5N30|A, pdb|4WIQ|A, pdb|5N4H|A, NP_001263421.1, AAH07150.1, NP_001263410.1, NP_001263414.1, AAA99779.2, NP_001263415.1, EDL21272.1, XP_030099901.1, NP_034147.1, BAC30105.1, XP_030099900.1, sp|Q62165.4|DAG1_MOUSE, XP_006511699.1, NP_001263411.1, NP_001263422.1, BAC29332.1	XP_030139392.1, XP_030139393.1, XP_030139391.1
OG0001874	AAH96572.1	NP_001232566.1, XP_041570415.1, ACH43958.1
OG0001874	BAE27174.1, AAI38300.1, AAH86905.1, AAH94410.1, AAH86935.1, EDL29058.1, BAE40797.1, AAH89582.1, NP_001395918.1, EDL05813.1, pdb|7CPV|LT, BAB25679.1, AAH90256.1, AAH86904.1, AAH96404.1, AAI06117.1, NP_001395917.1, EDL07492.1, AAI38301.1, EDL05816.1, pdb|7CPU|LT, EDL29396.1, BAB31230.1, NP_062621.2	ACH43959.1
OG0001875	NP_694720.2, XP_011247208.1, XP_030101665.1, NP_001390820.1, XP_030101664.1, NP_001390824.1, NP_001390822.1, EDL26609.1, EDL26613.1, EDL26612.1, NP_001390825.1, NP_001390817.1, sp|Q5SRX1.1|TM1L2_MOUSE, AAL77033.1, AAI27267.1, NP_001034181.1, AAH62947.2, BAC31458.1, NP_001346739.1, NP_001034182.1, BAC35813.1, BAE38537.1, EDL26608.1, EDL26611.1, XP_017169940.1, XP_036012447.1	NP_001257897.1, XP_012432997.1, XP_012433002.1
OG0001876	EDL25885.1, AAH53385.1, AAH52716.1, XP_036010639.1, NP_035508.2, NP_001344683.1, XP_030100010.1, EDL25883.1, sp|Q60520.3|SIN3A_MOUSE, NP_001103821.1, XP_036010641.1, XP_036010640.1, BAD90217.1, XP_011240988.1, XP_011240986.1, XP_006510953.1, XP_006510955.1, XP_006510956.1, XP_011240985.1, NP_001103820.1, XP_006510954.1, XP_011240987.1, AAB01610.1, AAA69773.2, AAA69772.2, AAA89119.1	XP_030137495.3, XP_030137496.3, XP_030137494.3
OG0001877	BAC25473.1, NP_001396935.1, NP_001396937.1, NP_001396936.1, EDL08585.1, NP_001396929.1, NP_001396930.1, NP_001396927.1, NP_001396928.1, NP_001366369.1, sp|Q80ZI6.1|LRSM1_MOUSE, NP_001396931.1, AAH49146.1, NP_955006.1, NP_001366368.1, NP_001396934.1, NP_001396932.1, NP_001366370.1, XP_006498030.1, XP_006498028.1, NP_001396926.1, XP_006498029.1, XP_006498026.1, NP_001396925.1, XP_036016776.1, NP_001366372.1, XP_006498031.1, NP_001366371.1, NP_001396933.1	XP_030142761.3, XP_030142760.3
OG0001878	BAC41150.1, BAC32896.1, AAH57302.1, XP_036021044.1, NP_001103372.1, XP_006530412.1, XP_030110398.1, XP_030110399.1, XP_030110400.1, XP_036021045.1, XP_006530413.1, BAE28697.1, EDL19796.1, XP_006530411.1, NP_766586.2, XP_006530409.1, XP_006530410.1, XP_006530408.1, XP_006530407.1, EDL19795.1, XP_017176390.1, XP_030110397.1, sp|Q3UF64.2|RNFT2_MOUSE	XP_041575359.1, XP_041575358.1, XP_041575360.1, XP_030141706.3, XP_030141701.3
OG0001879	sp|Q91X46.1|ARHG3_MOUSE, NP_001276616.1, EDL24727.1, AAH05517.1, SPT35714.1, AAH12262.1, pdb|2Z0Q|A, XP_006519643.1, AAH07153.1, NP_001276617.1, NP_082147.1, BAB23401.1, BAC26652.1, NP_001276615.1, XP_006519638.1, XP_006519637.1, XP_006519642.1, XP_006519639.1	XP_030138955.3
OG0001879	XP_030103192.1, BAE24183.1, CAA08973.1, BAC40466.1, BAC38417.1, AAH04699.1, NP_001040624.1, sp|Q9Z206.2|ARHG8_MOUSE, EDL32233.1, NP_062645.2, AAC71772.1	XP_004175620.4, XP_030145681.3
OG0001880	pdb|1IWE|B, NP_031447.1, pdb|1MEZ|A, pdb|1MF1|A, pdb|1LNY|A, pdb|1LNY|B, pdb|1MF0|A, pdb|1LOO|A, sp|P28650.2|PURA1_MOUSE, prf||2122208A, AAA82870.1, EDL18590.1, BAE27520.1, BAE29924.1, pdb|1IWE|A, pdb|1LON|A, pdb|2DGN|A, pdb|1J4B|A	XP_030130958.1
OG0001880	BAE41682.1, BAB23635.1, BAB26805.1, BAC25730.1, BAE28543.1, AAI39418.1, EDL13189.1, NP_031448.2, AAI39405.1, sp|P46664.2|PURA2_MOUSE	XP_041571223.1, XP_012427874.1
OG0001881	EDL04855.1, AAF20174.1, AAF37298.1, AAF14546.1, AAI05652.1, sp|Q9QUS4.1|HEY2_MOUSE, AAI05653.1, BAC55066.1, CAL48812.1, CAB71346.1, BAE34310.1, BAC27428.1, AAI03576.1, NP_038932.1, AAI03577.1	XP_004174267.3
OG0001881	EDL05197.1, AAD51750.1, AAF14545.1, BAE24283.1, AAF37299.1, CAB51321.1, CAL48811.1, AAH86635.1, AAD38966.1, sp|Q9WV93.1|HEY1_MOUSE, BAB27432.1, XP_006530116.1, BAA95073.1, NP_034553.2	XP_030122216.1
OG0001882	EDL16117.1, ABU95014.1, XP_006534361.1, BAB28039.1, XP_006534362.1	XP_041577475.1, XP_041577476.1
OG0001882	sp|Q9CZV8.3|FXL20_MOUSE, BAE26066.1, NP_082425.1	XP_041577474.1
OG0001882	XP_036011200.1, XP_006512358.1, XP_036011199.1, BAE37357.1, AAI45999.1, BAC32036.1, AAI45666.1, BAC41033.1, BAE24574.1, EDL08941.1, BAC30203.1, AAH96582.1, NP_848739.1, BAC32477.1, sp|Q8BH16.1|FBXL2_MOUSE	XP_030121136.1
OG0001883	pdb|7RWB|S, pdb|2JKR|I, pdb|7RW8|S, pdb|6QH5|S, pdb|7RWA|S, pdb|7RWC|S, pdb|4UQI|S, pdb|2JKT|S, pdb|6QH6|S, pdb|7OG1|SSS, pdb|7RWA|s, EDL42084.1, pdb|6YAE|S, pdb|7Z5C|S, NP_941015.2, pdb|2JKT|I, sp|P62743.1|AP2S1_MOUSE, pdb|6YAF|S, pdb|2JKR|S, pdb|7RWB|s, pdb|2XA7|S, pdb|6YAH|S, pdb|2VGL|S, pdb|7RW9|S, pdb|7OHO|SSS	XP_041568471.1, XP_041568470.1, XP_041568473.1, XP_041568472.1
OG0001884	EDL14788.1, AAD54617.1, sp|Q9R0E2.1|PLOD1_MOUSE, AAH06599.1, AAK20117.1, BAE20730.1, BAE34174.1, BAE29100.1, NP_035252.1	XP_030145143.3
OG0001884	AAD53987.1, EDL20922.1, AAH21352.1, NP_036091.2, XP_036010914.1, NP_001136388.1, BAE34000.1, EDL20923.1, sp|Q9R0B9.2|PLOD2_MOUSE	XP_030135812.3, XP_030135814.3
OG0001885	BAE35770.1, NP_001032843.1, AAK81838.1, BAC65242.1, XP_036012114.1, XP_006532032.1, AAH06620.1, EDL34721.1, AAH16411.1, NP_570932.2, AAK68153.1, BAC65241.1, BAE26755.1, XP_006532031.1, XP_006532030.1, EDL34723.1, XP_006532029.1, EDL34722.1, sp|Q8BKX1.2|BAIP2_MOUSE, NP_001032844.2, BAC33764.1	XP_030143267.1, XP_030143264.1, XP_030143259.1, XP_041575842.1, XP_041575843.1, XP_030143261.1, XP_030143265.1, XP_041575845.1, XP_041575844.1, XP_030143263.1
OG0001886	CBU88929.1, pdb|7LS2|D3, sp|Q9CQR2.1|RS21_MOUSE, EDL07322.1, NP_001342445.1, NP_001342449.1, NP_001342446.1, BAB25304.1, pdb|7CPU|SV, CBU83213.1, CBU83605.1, EDL07323.1, pdb|7LS1|D3, EDL07321.1, CBU93680.1, NP_001342447.1, BAB28274.1, NP_001342450.1, AAH27563.1, BAB25301.1, NP_079863.1, AAH86912.1, pdb|7CPV|SV, CBU85170.1, BAB27081.1	ACH44137.1, XP_030144189.1, ACH44135.1, ACH44136.1, NP_001232673.1, ACH44138.1
OG0001887	EDK97713.1, NP_001186106.1, sp|P58281.1|OPA1_MOUSE, BAC26331.1, AAI45960.1, BAE26544.1, NP_001390111.1, AAI38666.1, NP_598513.1, BAB59000.1, BAC65593.1, NP_001390100.1, BAC34224.1, BAC30002.1, EDL01269.1, BAC32021.1, BAC35561.1, NP_001390101.1, NP_001390099.1, XP_006522718.2, XP_006522719.2	XP_030135720.1, XP_030135717.1, XP_030135718.1, XP_030135719.1, XP_030135722.1
OG0001888	NP_542130.1, XP_030102368.1, XP_011242109.1, XP_006515011.1, EDL36974.1, BAC30058.1, sp|Q925F3.1|R144A_MOUSE, NP_001075446.1, XP_036013048.1, AAH30187.1, EDL36973.1, BAD32182.1, XP_006515007.1, BAE21715.1, EDL36975.1, XP_006515012.1, AAK51468.1	XP_030125945.1, XP_030125944.1
OG0001888	EDL41041.1, NP_001164114.1, BAC30754.1, NP_666154.3, EDL41042.1, BAC35173.1, sp|Q8BKD6.2|R144B_MOUSE, BAC35416.1	XP_030121417.3, XP_041570542.1, XP_002188668.4, XP_030121419.3
OG0001889	NP_001392295.1, NP_001392292.1, BAC33982.1, NP_001392290.1, sp|Q8C7M3.2|TRIM9_MOUSE, NP_001392291.1, XP_036013585.1, NP_001273317.1, XP_017170752.1, NP_001392293.1, NP_001392294.1	XP_030129064.2, XP_030129065.2, XP_030129066.2
OG0001889	NP_001392298.1, BAC25854.1, NP_001103672.1, NP_001392297.1, XP_006516465.1, XP_017170754.1, XP_036013586.1	XP_030129067.2
OG0001890	EDL24311.1, AAH34506.1, NP_001347047.1, pdb|7CPV|ST, BAC25836.1, EDL24309.1, pdb|7CPU|ST, NP_075622.1, pdb|7LS2|B3, sp|Q9CZX8.3|RS19_MOUSE, NP_001347054.1, EDL10040.1, NP_001347048.1, NP_001347044.2, BAB28898.1, EDL24310.1, BAB31370.1, pdb|7LS1|B3, EDL18652.1, AAH86938.1, AAF65683.1, NP_001347045.1, AAH86775.1, EDL28408.1	ACH44205.1, ACH44204.1, ACH44203.1, ACH44202.1, XP_041568291.1, NP_001232620.1
OG0001891	EDL12944.1, AAH21840.1, sp|Q91VB2.1|KCC1G_MOUSE, NP_659066.1, XP_011237234.1, AAL28101.1, AAP29965.1, EDL12943.1, XP_030108815.1	XP_030117302.3
OG0001891	BAC40950.1	XP_030138729.1, XP_030138728.1
OG0001891	BAE28053.1, NP_001277304.1, XP_006497533.1, BAE28027.1, sp|Q8BW96.2|KCC1D_MOUSE, EDL07966.1, NP_796317.2, XP_006497532.1, BAC34975.1, BAE32584.1, BAC35295.1, BAE42022.1, AAI41415.1, AAI41414.1	XP_012424286.4, XP_012424287.4, XP_002192041.4
OG0001892	XP_011236709.1, NP_081947.2, sp|Q925E1.2|SNTG1_MOUSE, AAK53399.1, XP_017167809.1, XP_036009556.1, XP_036009553.1, XP_006495635.1, NP_001277322.1, BAC37809.1, NP_001277319.1, BAC38825.1, XP_036009551.1, XP_017167810.1, XP_036009554.1, XP_036009555.1, BAC30104.1, XP_036009559.1, XP_036009557.1, BAB30501.1, EDL14272.1, NP_001277321.1, EDL14271.1, EDL14273.1, EDL14274.1	XP_030122044.3, XP_012427416.3, XP_030122045.3, XP_041569832.1, XP_030122046.3
OG0001893	NP_780657.1, AAH58539.1, BAC33976.1, BAE23998.1, EDL04867.1, sp|Q8BG92.1|CLVS2_MOUSE, BAC35529.1, EDL04869.1, BAE40806.1, BAC30312.1	XP_002188703.1
OG0001893	BAC39166.1, EDL05674.1, EDL05677.1, XP_030109711.1, NP_083216.1, NP_001342112.1, AAH62923.1, sp|Q9D4C9.1|CLVS1_MOUSE, EDL05675.1, BAB30342.1, BAE22811.1, XP_006538385.1, AAI00557.1, XP_011248428.1, XP_006538384.1	XP_030122117.1
