Orthogroup	bombus	fly
OG0003734	XP_003490598.1, XP_012242531.1	tr|Q9VB73|Q9VB73_DROME
OG0003735	XP_012242500.1	tr|Q9VD64|Q9VD64_DROME
OG0003736	XP_012242032.1	sp|P13008|RS26_DROME
OG0003737	XP_012241991.1	sp|O77051|E2F2_DROME
OG0003738	XP_012240808.1	tr|Q9VI05|Q9VI05_DROME, sp|Q9VWG0|SHAWN_DROME, tr|Q8IQW4|Q8IQW4_DROME
OG0003739	XP_003489298.1, XP_012240806.1	tr|Q9VH66|Q9VH66_DROME
OG0003740	XP_012240536.1	sp|Q9W328|LST8_DROME
OG0003741	XP_003488502.1, XP_012239491.1	sp|Q9VZS5|RL28_DROME
OG0003745	XP_012237581.1, XP_012237580.1, XP_003487256.1, XP_012237582.1	tr|A0A4P7VA97|A0A4P7VA97_DROME
OG0003746	XP_012237579.1	sp|Q9W0M1|CE290_DROME
OG0003747	XP_012237348.1, XP_012237347.1, XP_012237344.1, XP_012237345.1	sp|P08111|L2GL_DROME
OG0003748	XP_012237314.1	sp|Q9W0H3|LDAH_DROME
OG0003749	XP_012236782.1, XP_012236783.1, XP_003486766.1	tr|Q9Y114|Q9Y114_DROME
OG0003750	XP_012236348.1	sp|P35600|RFC1_DROME
OG0003751	XP_012236231.1	sp|Q9VVW5|DUSK3_DROME
OG0003752	XP_012236134.1	tr|Q8T0R3|Q8T0R3_DROME, tr|Q9W172|Q9W172_DROME, sp|Q9VWH4|IDH3A_DROME
OG0003754	XP_012249263.1, XP_012249264.1, XP_012249265.1, XP_012249262.1	tr|Q9V3C8|Q9V3C8_DROME
OG0003755	XP_012249246.1, XP_012249247.1, XP_012249248.1, XP_012249250.1	sp|Q9Y091|FL2D_DROME
OG0003756	XP_012247068.1	sp|Q8MLL3|COQ10_DROME
OG0003759	XP_012237902.1	sp|X2JAU8|NWK_DROME
OG0003760	XP_003493289.1	tr|Q9Y162|Q9Y162_DROME
OG0003761	XP_003493273.1	sp|Q9VEK6|SUR8_DROME
OG0003763	XP_003492402.1	tr|Q0E938|Q0E938_DROME
OG0003764	XP_003492330.1	tr|Q9VEA2|Q9VEA2_DROME
OG0003765	XP_003491888.1	tr|Q9VY42|Q9VY42_DROME
OG0003766	XP_003491654.1	tr|Q0KI93|Q0KI93_DROME, tr|Q9VAT0|Q9VAT0_DROME
OG0003767	XP_003491524.1	sp|Q9VKV5|CD2B2_DROME
OG0003768	XP_003491475.1	sp|A1Z6L1|TO402_DROME, sp|Q9U4L6|TO401_DROME
OG0003769	XP_003491423.1	sp|Q9XZT6|DNK_DROME
OG0003770	XP_003491304.1	sp|P54359|SEPT2_DROME, tr|Q7KLG8|Q7KLG8_DROME
OG0003771	XP_003491021.1	tr|Q9VQZ5|Q9VQZ5_DROME
OG0003772	XP_003490890.1	sp|Q9V998|UBL5_DROME
OG0003773	XP_003490591.1	tr|Q9VDI3|Q9VDI3_DROME
OG0003775	XP_003490347.1	sp|Q9VQ79|AIFM1_DROME
OG0003776	XP_003489899.1	tr|Q9VW37|Q9VW37_DROME
OG0003777	XP_003489320.1	tr|Q9W1D1|Q9W1D1_DROME
OG0003778	XP_003488951.1	tr|Q9VR00|Q9VR00_DROME
OG0003779	XP_003488743.1	sp|Q03334|RS13_DROME
OG0003780	XP_003488435.1	tr|Q9VH94|Q9VH94_DROME
OG0003781	XP_003488234.1	tr|Q9VV76|Q9VV76_DROME
OG0003782	XP_003488035.1	sp|Q9U9Q4|EIF3H_DROME
OG0003783	XP_003487834.1	sp|Q23983|SNAP_DROME
OG0003784	XP_003487577.1, XP_003487576.1	sp|Q9VA91|RS7_DROME
OG0003785	XP_003487357.1	sp|Q9VY86|TM2D2_DROME
OG0003786	XP_003486667.1, XP_003486668.1	tr|Q7JWD6|Q7JWD6_DROME
OG0003789	XP_003485759.1	tr|Q7JUN9|Q7JUN9_DROME
OG0003790	XP_003485657.1	sp|O18640|GBLP_DROME
OG0003791	XP_003485610.1	tr|Q7KMS3|Q7KMS3_DROME
OG0003792	XP_003485475.1	tr|Q9VVF0|Q9VVF0_DROME, tr|Q9VX36|Q9VX36_DROME
OG0003793	XP_003484722.1	sp|Q9VNA4|Y1161_DROME
OG0003794	XP_003484430.1	tr|Q9VNF9|Q9VNF9_DROME, tr|Q9VFQ4|Q9VFQ4_DROME
OG0003943	XP_033180429.1, XP_003494735.1	sp|Q9V3X4|BSCL2_DROME
OG0003944	XP_033180247.1, XP_003494399.1, XP_033180248.1	tr|Q9VTC1|Q9VTC1_DROME
OG0003945	XP_033180120.1, XP_003491230.3, XP_024227553.1, XP_024227551.1, XP_024227552.1, XP_003492681.1	tr|Q7JYK2|Q7JYK2_DROME, tr|Q7K1C2|Q7K1C2_DROME, tr|A1Z739|A1Z739_DROME
OG0003946	XP_033180110.1	tr|Q8IP62|Q8IP62_DROME
OG0003947	XP_012247714.1, XP_024227256.1, XP_033179841.1, XP_024227258.1, XP_024227257.1, XP_012247711.1, XP_012247710.1, XP_024227255.1, XP_012247712.1, XP_012247713.1, XP_033179842.1	tr|Q7KWG9|Q7KWG9_DROME
OG0003948	XP_033179564.1	sp|A1Z9A2|U587_DROME
OG0003950	XP_003493366.2, XP_033179454.1	sp|Q9VUB4|NPRL3_DROME
OG0003953	XP_012246448.1, XP_012246447.1, XP_003493052.1, XP_033179222.1	sp|Q24314|VPS18_DROME
OG0003956	XP_003492211.1, XP_012245202.1, XP_033178627.1, XP_033178626.1, XP_003492212.1, XP_012245199.1, XP_012245200.1, XP_012245201.1, XP_012245198.1	tr|A0A0B4KHZ4|A0A0B4KHZ4_DROME
OG0003957	XP_012245124.1, XP_012245123.1, XP_033178567.1	tr|Q9VIZ1|Q9VIZ1_DROME
OG0003958	XP_033178232.1	tr|Q7K0D3|Q7K0D3_DROME
OG0003959	XP_033176824.1	sp|P84051|H2A_DROME
OG0003959	XP_003489852.1	tr|Q4AB57|Q4AB57_DROME
OG0003961	XP_033178107.1	tr|A0A0B4KF34|A0A0B4KF34_DROME
OG0003963	XP_012243001.1, XP_024224544.1, XP_012243000.1, XP_024224550.1, XP_012243006.1, XP_033177508.1, XP_033177509.1, XP_033177511.1, XP_033177510.1, XP_024224548.1, XP_024224547.1, XP_033177507.1, XP_024224541.1, XP_024224539.1, XP_024224540.1, XP_012243004.1, XP_024224543.1, XP_012243002.1, XP_024224542.1, XP_024224546.1, XP_024224545.1	sp|Q8T498|GAP2_DROME
OG0003964	XP_012242707.1, XP_012242708.1, XP_024224338.1, XP_003490637.1, XP_012242705.1, XP_003490638.1, XP_012242695.2, XP_033177418.1, XP_033177416.1, XP_033177417.1, XP_012242698.2, XP_003490640.2, XP_012242696.2, XP_012242703.2, XP_012242699.2, XP_012242704.2, XP_024224337.2, XP_024224335.2, XP_033177421.1, XP_033177419.1, XP_012242702.2, XP_033177420.1	sp|P36188|TNNI_DROME
OG0003965	XP_003490122.1, XP_033176996.1, XP_033176995.1, XP_003490121.1	tr|A0A0B4KG11|A0A0B4KG11_DROME
OG0003966	XP_033176967.1, XP_003490115.2, XP_033176966.1	tr|Q9W3G0|Q9W3G0_DROME
OG0003967	XP_033176816.1, XP_012241638.1, XP_003489867.1, XP_033176817.1, XP_012241639.1	sp|Q9TVM2|XPO1_DROME
OG0003968	XP_012240736.1, XP_024223264.1, XP_033176517.1, XP_012240735.1	tr|A1Z6J2|A1Z6J2_DROME
OG0003969	XP_024223113.1, XP_024223118.1, XP_033176385.1, XP_024223119.1	sp|P40797|PNUT_DROME
OG0003970	XP_033176345.1, XP_033176348.1, XP_033176346.1, XP_033176347.1, XP_033176349.1	tr|Q8SX47|Q8SX47_DROME, tr|Q8INZ8|Q8INZ8_DROME, tr|Q8IGQ3|Q8IGQ3_DROME, tr|Q9VJG8|Q9VJG8_DROME
OG0003971	XP_003489107.1, XP_012240367.1, XP_033176344.1	tr|Q9VJG5|Q9VJG5_DROME
OG0003972	XP_033176292.1, XP_033176291.1, XP_003489019.1	tr|Q9W3Q0|Q9W3Q0_DROME
OG0003973	XP_033176268.1, XP_003488957.1	tr|Q9VUG1|Q9VUG1_DROME
OG0003975	XP_033176130.1, XP_024222742.1, XP_033176129.1	tr|Q9VCH8|Q9VCH8_DROME
OG0003976	XP_033175989.1	sp|Q9V3G1|RL8_DROME
OG0003977	XP_033175889.1, XP_033175888.1	sp|Q9VHF2|PTER_DROME
OG0003978	XP_033175816.1, XP_012239172.1	tr|Q9VND0|Q9VND0_DROME, sp|P49847|TAF6_DROME
OG0003979	XP_012238881.1, XP_033175773.1, XP_012238882.1, XP_012238880.1, XP_033175775.1, XP_033175774.1	tr|Q9VMM2|Q9VMM2_DROME, tr|A2RVG6|A2RVG6_DROME
OG0003980	XP_033175725.1, XP_033175719.1, XP_012239021.1, XP_033175720.1, XP_033175722.1, XP_033175721.1, XP_033175723.1	tr|A1ZBH7|A1ZBH7_DROME
OG0003981	XP_033175535.1, XP_003487797.1, XP_024221901.1	sp|Q9VCC3|RT24_DROME
OG0003982	XP_033175454.1, XP_003487616.1, XP_012238167.1, XP_024221771.1	sp|Q4V622|CCH2R_DROME, sp|A1ZAX0|CCH1R_DROME
OG0003983	XP_003487569.2, XP_024221639.1, XP_024221640.1, XP_033175415.1, XP_033175414.1, XP_033175416.1	sp|A1Z8X3|RTTN_DROME
OG0003985	XP_003487101.1, XP_033175072.1	tr|Q8IN95|Q8IN95_DROME
OG0003986	XP_024221000.1, XP_012236826.1, XP_012236824.1, XP_033174848.1, XP_024221001.1	sp|O46080|SMG9_DROME
OG0003987	XP_033174772.1, XP_003486663.1	tr|Q9VQ67|Q9VQ67_DROME
OG0003988	XP_033174687.1, XP_033174686.1	tr|Q9W281|Q9W281_DROME
OG0003990	XP_012250245.1, XP_033174404.1	sp|P15348|TOP2_DROME
OG0003991	XP_033174346.1, XP_003486177.1, XP_012250123.1, XP_012250120.1, XP_012250121.1, XP_033174347.1, XP_012250124.1	sp|Q24009|BICC_DROME
OG0003993	XP_003485129.1, XP_033177944.1, XP_033177939.1	sp|Q9I7K6|NASP_DROME
OG0003994	XP_003484873.1, XP_033176643.1, XP_003484874.1, XP_033176648.1, XP_033176654.1, XP_012241068.1	sp|P22468|GDL_DROME
OG0003995	XP_012249683.1, XP_033180814.1, XP_024228404.1	sp|P40320|METK_DROME
OG0003996	XP_024227790.1, XP_003494590.2	tr|Q9VF86|Q9VF86_DROME
OG0003997	XP_024227783.1, XP_012248715.1, XP_012248716.1, XP_012248717.2, XP_003494549.2, XP_012248714.1, XP_012248713.1	tr|A8JUX7|A8JUX7_DROME
OG0003998	XP_012248511.1, XP_024227637.1, XP_024227638.1	sp|Q9W0Y2|YS11_DROME, sp|Q9W0Y1|TINA1_DROME
OG0003999	XP_024227435.1, XP_003494087.1	tr|A0AQH0|A0AQH0_DROME
OG0004000	XP_012247493.1, XP_024227113.1	tr|Q8MT18|Q8MT18_DROME, tr|A1ZAD2|A1ZAD2_DROME
OG0004001	XP_024226991.1	tr|A4V362|A4V362_DROME
OG0004003	XP_024226799.1, XP_003493327.1	tr|Q7K0A0|Q7K0A0_DROME
OG0004004	XP_003492934.1, XP_024226442.1	tr|H8F4T3|H8F4T3_DROME, tr|Q76NR6|Q76NR6_DROME
OG0004005	XP_024225742.1, XP_003492114.1	tr|Q9W2P5|Q9W2P5_DROME
OG0004006	XP_003490910.1, XP_024224563.1, XP_003490911.1	tr|A8JNN5|A8JNN5_DROME
OG0004007	XP_024224525.1	tr|Q9VA43|Q9VA43_DROME
OG0004008	XP_024223736.1, XP_003489874.1	sp|Q24185|HOOK_DROME
OG0004009	XP_024222151.1, XP_012239037.1, XP_012239035.1, XP_012239036.1, XP_012239033.1, XP_012239034.1, XP_012239032.1	sp|O15945|ARNT_DROME
OG0004010	XP_024221976.1, XP_003487968.1	tr|Q9VG64|Q9VG64_DROME
OG0004011	XP_024221701.1, XP_003487585.1	sp|Q9VC61|CRERF_DROME
OG0004012	XP_024221555.1	sp|P49963|SRP19_DROME
OG0004013	XP_024221389.1, XP_003487220.1, XP_024221390.1, XP_012237510.1	tr|Q7K0Q2|Q7K0Q2_DROME
OG0004014	XP_024220698.1, XP_003486514.1	tr|Q9VTW3|Q9VTW3_DROME, tr|Q9VTW5|Q9VTW5_DROME
OG0004015	XP_024220426.1, XP_003486270.1	sp|Q9VMC9|KFA_DROME
OG0004016	XP_012250480.1, XP_012250481.1, XP_024220387.1, XP_003486254.2	sp|Q9VHN5|UNC50_DROME
OG0004017	XP_012245771.1, XP_024226480.1	sp|P11046|LAMB1_DROME
OG0004018	XP_024226390.1, XP_012246035.1	tr|Q8SXF0|Q8SXF0_DROME
OG0004019	XP_012239706.1, XP_024222295.1	tr|Q9VTF5|Q9VTF5_DROME
OG0004020	XP_024228361.1	tr|Q8MSQ4|Q8MSQ4_DROME
OG0004021	XP_003494712.2	sp|Q24439|ATPO_DROME
OG0004022	XP_012248382.1, XP_012248383.1	tr|A1Z9S8|A1Z9S8_DROME
OG0004023	XP_012248116.1	sp|Q9VE04|RM55_DROME
OG0004025	XP_012247183.1	tr|A0A4D6K881|A0A4D6K881_DROME
OG0004026	XP_012247158.1, XP_012247159.1	tr|Q5U0V4|Q5U0V4_DROME, tr|Q9VFP0|Q9VFP0_DROME
OG0004027	XP_003494910.1	tr|Q9VV75|Q9VV75_DROME
OG0004028	XP_003494112.1	sp|P08570|RLA1_DROME
OG0004029	XP_003493658.1	sp|P43332|SNRPA_DROME
OG0004030	XP_003493513.1, XP_003493512.1	tr|Q9VHN7|Q9VHN7_DROME, tr|Q9VVP4|Q9VVP4_DROME
OG0004031	XP_012246562.1, XP_003493126.1	tr|Q9VB06|Q9VB06_DROME
OG0004032	XP_003492975.1, XP_012246311.1	sp|Q0KHU5|PCAT_DROME
OG0004034	XP_012246172.1, XP_003492840.1	tr|Q9VGV8|Q9VGV8_DROME
OG0004035	XP_012245764.1, XP_012245762.1, XP_003492582.1, XP_012245763.1	sp|Q24311|CUL1_DROME, tr|Q9VU33|Q9VU33_DROME
OG0004036	XP_012245500.1, XP_003492426.1, XP_012245499.1	sp|Q9W3C7|PPT1_DROME
OG0004038	XP_012245195.1	tr|A0A0B4KH68|A0A0B4KH68_DROME
OG0004039	XP_012245099.1	sp|O76924|ARI2_DROME
OG0004040	XP_012244755.1	tr|Q9VFF3|Q9VFF3_DROME
OG0004041	XP_012244481.1	sp|Q9W4N2|CMTR1_DROME
OG0004042	XP_012243612.1	sp|Q9VSE2|HELQ_DROME
OG0004043	XP_012243571.1	tr|Q9VH64|Q9VH64_DROME
OG0004044	XP_003490645.1, XP_012242733.1	tr|A1Z935|A1Z935_DROME
OG0004045	XP_012242011.1, XP_003490165.1, XP_012242010.1	tr|Q9VNF5|Q9VNF5_DROME
OG0004047	XP_012241204.1, XP_012241205.1, XP_012241206.1	tr|Q9VIP1|Q9VIP1_DROME
OG0004048	XP_012240977.1	tr|Q7K105|Q7K105_DROME
OG0004049	XP_012240284.1	tr|Q9VRL0|Q9VRL0_DROME, tr|Q9VAM8|Q9VAM8_DROME
OG0004050	XP_012240087.1, XP_012240086.1, XP_012240085.1	tr|Q9W4K0|Q9W4K0_DROME, tr|Q9W2A6|Q9W2A6_DROME
OG0004051	XP_012239842.1	tr|Q9VFL0|Q9VFL0_DROME
OG0004052	XP_003488359.1, XP_012239394.1	sp|Q9VS59|AKIRN_DROME, tr|F3YD83|F3YD83_DROME
OG0004053	XP_012239116.1, XP_003488222.1	tr|Q9VJI7|Q9VJI7_DROME
OG0004054	XP_012238587.1	tr|Q9Y0Y5|Q9Y0Y5_DROME
OG0004055	XP_012238538.1, XP_003487850.1	sp|P51592|HYD_DROME
OG0004058	XP_012237586.1, XP_003487269.1, XP_012237587.1	tr|O96689|O96689_DROME
OG0004059	XP_012237181.1, XP_003487031.1, XP_012237182.1, XP_012237180.1, XP_012237184.1	sp|Q9NFU0|FMR1_DROME
OG0004063	XP_012250324.1	sp|Q8MSW4|METL5_DROME
OG0004064	XP_012249898.1, XP_012249900.1, XP_012249899.1	sp|A1Z6J5|TBCE_DROME
OG0004065	XP_012249576.1, XP_012249575.1, XP_003485719.1	sp|Q8MVS5|GLT35_DROME
OG0004066	XP_012249393.1, XP_012249391.1, XP_012249392.1, XP_012249394.1, XP_012249397.1, XP_012249395.1, XP_012249398.1	tr|Q9VJ30|Q9VJ30_DROME
OG0004067	XP_003485464.1, XP_012249123.1	sp|P53997|SET_DROME
OG0004068	XP_012248137.1, XP_003485408.1	tr|Q9W1V8|Q9W1V8_DROME
OG0004069	XP_012246485.1, XP_003485296.1	tr|Q7KN75|Q7KN75_DROME
OG0004070	XP_012245931.1, XP_003485271.1	tr|Q9VYY8|Q9VYY8_DROME, tr|Q9VZW0|Q9VZW0_DROME
OG0004071	XP_012241102.1, XP_003484884.1, XP_012241110.1	tr|Q8IQI5|Q8IQI5_DROME
OG0004072	XP_003484810.2	tr|Q9VM58|Q9VM58_DROME
OG0004073	XP_012236752.1, XP_012236729.1, XP_012236745.1, XP_012236736.1, XP_003484661.1	tr|Q8IQG9|Q8IQG9_DROME
OG0004074	XP_003484402.2	tr|Q9VUR2|Q9VUR2_DROME
OG0004075	XP_003492844.1	tr|Q9VKF0|Q9VKF0_DROME
OG0004076	XP_003492307.1	tr|M9PH26|M9PH26_DROME
OG0004077	XP_003492112.1, XP_003492113.1	sp|Q9V3U0|HMLL_DROME, sp|Q9V3S9|BGM_DROME
OG0004078	XP_003492075.1	tr|Q4V6M1|Q4V6M1_DROME
OG0004079	XP_003491987.1	sp|Q9VC56|PUF_DROME
OG0004080	XP_003491902.1	sp|P50535|MSL1_DROME
OG0004081	XP_003491900.1	sp|O76454|PHS_DROME
OG0004082	XP_003491350.1	sp|Q9VVR6|SGF11_DROME
OG0004083	XP_003491204.1	tr|Q9VEM2|Q9VEM2_DROME
OG0004084	XP_003490962.1	tr|A1Z6G9|A1Z6G9_DROME
OG0004085	XP_003490802.1	tr|Q9Y095|Q9Y095_DROME
OG0004086	XP_003490750.1	tr|Q7KJ69|Q7KJ69_DROME, tr|O77430|O77430_DROME
OG0004087	XP_003490459.1	tr|Q9VTI3|Q9VTI3_DROME, tr|Q8T4I0|Q8T4I0_DROME, tr|Q9VW84|Q9VW84_DROME, tr|Q9VW82|Q9VW82_DROME
OG0004088	XP_003490145.1	sp|P46222|RL11_DROME
OG0004089	XP_003489837.1	tr|Q9VFF0|Q9VFF0_DROME
OG0004090	XP_003489200.1	sp|Q9VM71|XRN2_DROME
OG0004091	XP_003489017.1	sp|Q9XZJ4|PSA6_DROME
OG0004094	XP_003488516.1	tr|Q0E981|Q0E981_DROME
OG0004095	XP_003487808.1	tr|Q8T8U1|Q8T8U1_DROME, sp|Q9VQE5|PSB2_DROME, tr|Q9VJJ0|Q9VJJ0_DROME
OG0004096	XP_003487528.1	tr|M9PHS8|M9PHS8_DROME, tr|Q7K161|Q7K161_DROME
OG0004097	XP_003486954.1	sp|P54367|KC1A_DROME, tr|Q7JWT4|Q7JWT4_DROME, tr|Q9VYN5|Q9VYN5_DROME, tr|Q9VJC2|Q9VJC2_DROME
OG0004098	XP_003486924.1	tr|Q9V395|Q9V395_DROME
OG0004099	XP_003485604.1	tr|Q9VSC3|Q9VSC3_DROME
OG0004100	XP_003485400.1	sp|Q9VD92|ARCH_DROME
OG0004102	XP_003484939.1	tr|A0A0B4KFP2|A0A0B4KFP2_DROME
OG0004103	XP_003484835.1	sp|Q9VDG2|RLIP_DROME
OG0004104	XP_003484468.1	sp|P40796|LA_DROME
OG0004105	XP_003484405.1	sp|P91931|DCAM_DROME
OG0004259	XP_033179363.1, XP_033180525.1, XP_012247000.1	tr|O62531|O62531_DROME
OG0004260	XP_012249109.1, XP_012249111.1, XP_012249112.1, XP_033180445.1	sp|P49869|HR38_DROME
OG0004261	XP_012249015.1, XP_033180439.1	tr|Q9V9X7|Q9V9X7_DROME
OG0004262	XP_024227748.1, XP_033180283.1, XP_012248484.1, XP_003494445.1	tr|Q9W0X9|Q9W0X9_DROME
OG0004263	XP_003494360.1, XP_033180174.1	tr|Q9VR28|Q9VR28_DROME
OG0004263	XP_012248437.1, XP_012248436.1	tr|Q9VIG6|Q9VIG6_DROME
OG0004264	XP_024227554.1, XP_012248321.2, XP_024227556.1, XP_033180135.1	sp|P22817|IDE_DROME
OG0004265	XP_024227456.1, XP_024227454.1, XP_024227455.1, XP_003494126.1, XP_033180035.1, XP_033180036.1, XP_024227459.1, XP_024227458.1, XP_024227457.1	sp|Q868T3|CCAPR_DROME
OG0004266	XP_033179875.1, XP_003493982.1	tr|Q7PL76|Q7PL76_DROME
OG0004267	XP_012247642.1, XP_033179812.1, XP_024227231.1, XP_024227230.1	tr|A1Z707|A1Z707_DROME, tr|Q7KTA9|Q7KTA9_DROME, tr|Q7K569|Q7K569_DROME
OG0004269	XP_033179510.1, XP_033179509.1	sp|Q9VCU9|DCR1_DROME
OG0004270	XP_033179070.1, XP_012246056.1	tr|Q8SXQ8|Q8SXQ8_DROME, tr|Q9W0J9|Q9W0J9_DROME
OG0004271	XP_003492758.1, XP_033179062.1, XP_033179063.1, XP_012246059.1	sp|Q8I0P1|SPAST_DROME
OG0004272	XP_024226043.1, XP_003492431.1, XP_033178776.1	tr|Q9VZ05|Q9VZ05_DROME
OG0004273	XP_033178726.1, XP_003492378.1, XP_033178728.1, XP_033178727.1	tr|Q9VFG7|Q9VFG7_DROME
OG0004274	XP_003492243.1, XP_033178636.1	tr|Q9VEQ0|Q9VEQ0_DROME, tr|Q9VPT2|Q9VPT2_DROME
OG0004275	XP_012245101.1, XP_012245100.1, XP_033178481.1	sp|P25171|RCC1_DROME
OG0004276	XP_003491843.1, XP_012244614.1, XP_033178334.1, XP_024225502.1, XP_024225503.1	tr|Q9W4A0|Q9W4A0_DROME
OG0004277	XP_033178099.1, XP_003491588.2, XP_003491707.1	tr|Q9W3N1|Q9W3N1_DROME
OG0004278	XP_012243325.2, XP_012243326.1	tr|Q9VA69|Q9VA69_DROME
OG0004279	XP_033177554.1, XP_012243026.1, XP_012243030.1, XP_003490804.1, XP_033177553.1, XP_033177552.1	tr|Q9V3Q9|Q9V3Q9_DROME
OG0004280	XP_033177540.1, XP_024224575.1, XP_024224577.1, XP_024224576.1, XP_024224573.1, XP_024224574.1, XP_024224578.1	sp|P40427|EXD_DROME
OG0004281	XP_033177212.1, XP_012242201.1	sp|Q9XZ63|ARMET_DROME
OG0004282	XP_024223855.1, XP_033176930.1, XP_033176929.1, XP_033176928.1	tr|Q7KTF8|Q7KTF8_DROME
OG0004282	XP_024228479.1, XP_012250021.1, XP_003486044.1	tr|A0A499GGQ3|A0A499GGQ3_DROME, tr|E1JJR2|E1JJR2_DROME
OG0004283	XP_024223766.1, XP_033176891.1, XP_033176890.1, XP_012241683.2	sp|Q9W351|AAAS_DROME, tr|Q9VL33|Q9VL33_DROME
OG0004284	XP_033176493.1, XP_012240828.1	tr|M9PHZ1|M9PHZ1_DROME
OG0004285	XP_024223035.1, XP_024223036.1, XP_033176332.1	sp|Q9W485|INT6_DROME
OG0004286	XP_012240229.1, XP_033176271.1	sp|Q9XTL9|PYG_DROME
OG0004287	XP_033176262.1, XP_012240221.2, XP_024222883.1	tr|Q8SZX1|Q8SZX1_DROME, sp|Q27237|TID_DROME
OG0004289	XP_033175403.1	tr|Q86BR8|Q86BR8_DROME
OG0004291	XP_033174986.1, XP_033174985.1	sp|Q9VXE0|RUXG_DROME
OG0004292	XP_033174969.1, XP_003487021.1, XP_012237049.1	tr|Q8MR82|Q8MR82_DROME, tr|Q9W2S1|Q9W2S1_DROME
OG0004293	XP_033174633.1, XP_024220635.1, XP_012236282.1	sp|Q9VYB7|TPST_DROME
OG0004294	XP_003486245.1, XP_033174533.1	tr|Q7K2L1|Q7K2L1_DROME
OG0004295	XP_012250132.1, XP_012250131.1, XP_012250129.1, XP_033174352.1, XP_033174353.1	tr|Q7KMQ6|Q7KMQ6_DROME
OG0004296	XP_012250031.1, XP_012250033.1, XP_012250034.1, XP_024220204.1, XP_012250032.1, XP_012250030.1, XP_024220203.1, XP_012250029.1, XP_033174312.1, XP_012250036.1	tr|M9NGP0|M9NGP0_DROME
OG0004297	XP_003486034.1, XP_033174302.1	tr|Q8T4D4|Q8T4D4_DROME
OG0004298	XP_033174251.1, XP_033174252.1, XP_024228430.1, XP_012249880.1, XP_012249879.1, XP_033174253.1, XP_012249884.1, XP_012249885.1, XP_033174254.1	sp|P49071|MAPK2_DROME
OG0004299	XP_033180723.1, XP_033180722.1, XP_012249585.1, XP_012249584.1, XP_003485727.1	tr|A1Z7L8|A1Z7L8_DROME
OG0004300	XP_024227890.2	tr|A8DYR8|A8DYR8_DROME
OG0004301	XP_033177065.1, XP_003485006.1, XP_024223738.1, XP_012241576.1	sp|Q9VSF2|MED24_DROME
OG0004302	XP_033176456.1	tr|Q9V3N5|Q9V3N5_DROME
OG0004303	XP_024227922.1	tr|Q86B94|Q86B94_DROME
OG0004304	XP_024227614.1, XP_003494361.1	tr|Q9VLS0|Q9VLS0_DROME
OG0004305	XP_024227444.1, XP_024227443.1	tr|Q9VB20|Q9VB20_DROME
OG0004306	XP_024227411.1	tr|E1JIY8|E1JIY8_DROME
OG0004307	XP_012247878.1, XP_024227374.1	tr|A8JV07|A8JV07_DROME
OG0004308	XP_024226570.1	tr|B7Z0I2|B7Z0I2_DROME
OG0004311	XP_003491484.2	tr|Q7K110|Q7K110_DROME
OG0004312	XP_024224983.1, XP_024224982.1, XP_012243840.1	sp|A1Z8E9|BBS4_DROME
OG0004313	XP_012245329.1, XP_003492316.1, XP_024224678.1	tr|Q9W4J8|Q9W4J8_DROME
OG0004314	XP_024224556.1, XP_003490836.1	tr|Q9W4X8|Q9W4X8_DROME
OG0004315	XP_024224515.1	sp|P11346|KRAF1_DROME
OG0004316	XP_012242509.1, XP_024224252.1	sp|Q9VJG0|XPP_DROME
OG0004317	XP_024224073.1, XP_012242143.2, XP_024224071.1	tr|Q9W173|Q9W173_DROME, sp|O46084|PGAM5_DROME
OG0004318	XP_003487058.2	tr|Q8I936|Q8I936_DROME, tr|Q9VRQ9|Q9VRQ9_DROME, tr|Q9VTH7|Q9VTH7_DROME, tr|Q86PD7|Q86PD7_DROME
OG0004320	XP_003486587.1, XP_012236413.1, XP_012236411.1, XP_012236410.1, XP_024220727.1	tr|Q7K4M9|Q7K4M9_DROME
OG0004321	XP_024220328.1, XP_003486331.1, XP_003486330.1	tr|Q8IMT8|Q8IMT8_DROME
OG0004322	XP_024228305.1, XP_003485756.1, XP_012249750.1	sp|Q8MV48|GALT7_DROME
OG0004323	XP_024224881.1, XP_003485046.2, XP_024224886.1	tr|Q9W1H1|Q9W1H1_DROME
OG0004324	XP_012238464.1, XP_012238479.1, XP_024221168.1, XP_003484721.1	tr|Q7K0X9|Q7K0X9_DROME
OG0004325	XP_012248709.1	tr|Q9VH25|Q9VH25_DROME, tr|Q9U6R9|Q9U6R9_DROME
OG0004326	XP_012248381.1, XP_012248380.1	tr|Q0KI33|Q0KI33_DROME
OG0004327	XP_012247970.1, XP_012247969.1, XP_003494052.1, XP_012247968.1	sp|P50245|SAHH3_DROME, sp|Q9VZX9|SAHH2_DROME
OG0004328	XP_012247448.1	tr|Q9VCX7|Q9VCX7_DROME
OG0004329	XP_012246913.1	tr|Q9VP84|Q9VP84_DROME
OG0004330	XP_003494949.1	sp|Q9VBX2|MOC2B_DROME
OG0004332	XP_003494726.1	tr|B7YZN8|B7YZN8_DROME
OG0004333	XP_003494648.1	tr|Q9VYL5|Q9VYL5_DROME
OG0004334	XP_003494384.1	sp|P05990|PYR1_DROME
OG0004335	XP_003493852.1	tr|Q9VD55|Q9VD55_DROME
OG0004336	XP_003493654.1	sp|Q9VHT4|FUCT1_DROME
