Orthogroup	bombus	mouse
OG0001223	XP_012237215.1, XP_012237214.1, XP_012237216.1	NP_001393259.1, XP_006513464.1, NP_001345416.1, NP_001393262.1, EDL32133.1, NP_001345417.1, NP_001393260.1, EDL32135.1, NP_001393261.1, NP_001393263.1, EDL32136.1, NP_033146.1, NP_001393264.1, NP_001393258.1, NP_001393265.1, BAE40135.1, EDL32132.1, AAA16323.1, sp|P36536.1|SAR1A_MOUSE, BAE34922.1, EDL32131.1, AAH05549.1, BAE34224.1, BAB28905.1, BAB22015.1, EDL33644.1, AAH85178.1, BAE29948.1, BAB26755.1, AAH82550.1, NP_079811.1, sp|Q9CQC9.1|SAR1B_MOUSE
OG0001224	XP_003484754.1, XP_012240363.1	XP_006526678.1, XP_011245429.1, XP_030106581.1, XP_030106580.1, XP_030106582.1, NP_598776.1, AAH34261.1, BAE31012.1, NP_001258277.1, BAE38644.1, BAC30975.1, BAE35617.1, NP_001258278.1, BAE40519.1, NP_001350283.1, XP_006514496.1, NP_001347056.1, XP_036017299.1, NP_001347051.1, NP_033901.1, AAD04181.1, AAL40929.1, AAD41025.1, AAH03989.1, EDL41951.1, AAD17755.1, AAD08701.1
OG0001225	XP_003491746.1	BAA13492.1, sp|P61205.2|ARF3_MOUSE, BAE32945.1, AAH24935.1, NP_001342439.1, EDL04169.1, NP_031504.1, AAH14778.1, BAE40054.1
OG0001225	XP_003491745.1	AAH31986.1, BAE34874.1, BAE40532.1, BAE29300.1, BAE30620.1, NP_001123880.1, BAE41895.1, sp|P84078.2|ARF1_MOUSE, BAE39276.1, NP_031502.1, BAE39935.1, BAE30877.1, BAE30718.1, EDL07665.1, BAE39610.1, BAE31253.1, BAE28566.1, BAE30215.1, BAE30217.1, BAE40945.1, BAE31745.1, BAE29778.1, BAA13490.1, CAI84566.1, BAE39179.1
OG0001226	XP_003488148.1	EDL13405.1, NP_031945.1, CAA28242.1, AAH26552.1, EDL13404.1, sp|P05208.1|CEL2A_MOUSE, EDL13401.1, CAA28244.1, EDL13403.1, NP_080695.1, sp|Q9CQ52.1|CEL3B_MOUSE, EDL29918.1, NP_001119790.1, BAB26734.1, BAB26092.1, AAH61066.1, BAB25932.1, AAH56210.1, sp|Q91X79.1|CELA1_MOUSE, EDL04074.1, BAB25008.1, AAH11218.1, NP_291090.2, EDL13400.1, AAI03716.1, EDL13406.1, EDL13408.1, AAI15517.1, AAI15518.1, EDL13407.1, sp|Q3SYP2.1|CTRC_MOUSE, NP_001029047.1, EDL13410.1
OG0001227	XP_003487042.1, XP_003487041.1	CAA36185.1, BAB21970.1, EDL10644.1, AAH46755.1, BAE20732.1, BAB31697.1, sp|P16125.2|LDHB_MOUSE, NP_032518.1, BAE41760.1, BAE29347.1, AAH94428.1, NP_034829.1, sp|P06151.3|LDHA_MOUSE, BAE40733.1, XP_030098036.1, AAH94019.1, AAH05509.1, BAE40283.1, BAE26915.1, CAA68410.1, CAA26360.1, BAE39819.1, BAC41000.1, EDL22946.1, AAA21466.1
OG0001271	XP_033180517.1	EDL26235.1, CAA46052.1, XP_006511059.1, NP_035674.2, sp|Q61286.2|HTF4_MOUSE, XP_006511057.1, XP_006511058.1, XP_006511060.1, NP_001240791.1, XP_006511062.1, XP_006511061.1, XP_017168759.1, XP_030100072.1, XP_006511063.1, NP_001240792.1, BAE22510.1, BAE21953.1, XP_030100073.1, XP_036010710.1, XP_030100074.1, XP_006511065.1, AAH37097.1, EDL26234.1, NP_001240794.1, NP_001240793.1, BAB29255.1, prf||2106212A, BAA06218.1
OG0001272	XP_003493194.1, XP_003493195.1, XP_033179333.1	AAK59381.1, BAE31743.1, BAE39781.1, BAE38462.1, BAE30338.1, BAE37600.1, NP_001070660.1, AAH79642.1, NP_001364439.1, NP_001317973.1, NP_001317974.1, NP_001317972.1, AAH04657.1, EDL08144.1, BAE39631.1, NP_666106.1, BAE39430.1, AAL16036.1, EDL08143.1, NP_031406.2, BAE30044.1, BAE30917.1, BAE31015.1, NP_001070661.1, XP_006497682.1
OG0001273	XP_033178893.1, XP_033178891.1, XP_003492548.1, XP_033178892.1	EDL04771.1, BAE39515.1, BAE28911.1, XP_006512781.1, BAB22347.1, BAE26806.1, sp|Q9Z0K8.3|VNN1_MOUSE, NP_035834.2, AAH19203.1, CAA10567.1, CAB59323.1, EDL04770.1, NP_036109.3, sp|Q9QZ25.3|VNN3_MOUSE, AAI11522.1, EDL24816.1, NP_001361146.1, XP_036014494.1, sp|Q8CIF4.2|BTD_MOUSE, BAE22509.1, EDL24817.1, BAB24086.1, AAH24051.2, NP_079571.1
OG0001274	XP_024226060.1, XP_012245518.1, XP_012245517.1, XP_003492439.1, XP_003492441.1, XP_033178788.1, XP_012245520.1, XP_033178789.1	BAC37366.1, EDL41927.1, BAE22909.1, AAK13256.1, sp|Q99PL7.1|SCD3_MOUSE, AAI18034.1, NP_077770.1, AAI18046.1, sp|P13516.2|ACOD1_MOUSE, NP_033153.2, BAE25137.1, AAH07474.1, EDL41930.1, BAE28345.1, AAH55453.1, AAM34747.1, CAJ18379.1, CAJ18540.1, pdb|6WF2|A, pdb|4YMK|D, pdb|6WF2|B, pdb|4YMK|A, AAA40103.1, AAM34744.1
OG0001275	XP_033178725.1	AAT75228.1, AAT75227.1, AAT75229.1, AAT75231.1, AAT75230.1, pdb|4M4X|B, pdb|4M4X|A, pdb|5V0L|B, BAA07469.1, prf||2105366A, AAL89728.1, AAA02896.1, NP_038492.1, BAE32140.1, AAL89733.1, sp|Q8R4S5.1|AHR_MUSMM, AAL89735.1, AAL89732.1, AAK13443.1, BAE33231.1, AAT75235.1, AAT75237.1, AAT75234.1, AAT75236.1, AAT75232.1, AAT75233.1, NP_001300956.1, EDL36863.1, AAL89730.1, sp|Q8R4S6.1|AHR_MUSMC, AAL89726.1, AAL89731.1, sp|P30561.3|AHR_MOUSE, AAL89727.1, AAL89725.1
OG0001276	XP_003491885.1	NP_001177377.1, XP_006514551.1, BAE28750.1, NP_057881.1, AAC25566.1, XP_036012174.1, XP_006514550.1, sp|O88533.1|DDC_MOUSE
OG0001276	XP_033178569.1, XP_024225765.1, XP_012245142.1, XP_012245143.1, XP_033178568.1, XP_033178570.1	XP_006498847.1, prf||1702230A, CAA40685.1, sp|P23738.2|DCHS_MOUSE, EDL28158.1, BAC40415.1, AAC95389.1, BAE21666.1, NP_032256.3, AAH52833.1, BAE31724.1, BAE29356.1
OG0001276	XP_003489487.1	BAA92494.1
OG0001277	XP_012243374.1, XP_012243372.1, XP_033177689.1	XP_036015598.1, BAE41708.1, NP_001361705.1, XP_030104757.1, XP_006521718.1, XP_036015597.1, XP_036015596.1, XP_036015595.1, XP_006521715.1, XP_006521716.1, NP_001186967.1, EDK97810.1, XP_036015599.1, EDK97812.1, AAH57307.1, EDK97813.1, BAC65503.1, sp|Q80U62.2|RUBIC_MOUSE, AAH60601.1, XP_030104756.1, BAE41507.1, BAE41645.1, BAC31257.1, BAE42541.1, AAH67390.1, NP_766203.1, BAC26925.1
OG0001278	XP_033177497.1, XP_033177495.1, XP_033177496.1, XP_012242863.1, XP_012242865.1	EDL40509.1, XP_030101349.1, BAE34952.1, NP_031480.2, NP_001229973.1, XP_030101348.1, sp|O35643.2|AP1B1_MOUSE, BAE23661.1, XP_006534321.1, XP_017170261.1, AAH46772.1, NP_001030931.1, XP_036012889.1, sp|Q9DBG3.1|AP2B1_MOUSE, BAB23711.1, NP_082191.1
OG0001279	XP_024224359.1, XP_024224361.1, XP_033177367.1, XP_003490671.1, XP_024224360.1, XP_033177366.1, XP_033177364.1, XP_033177365.1, XP_033177363.1, XP_033176610.1, XP_024223421.1	pdb|6AEI|C, pdb|6AEI|D, EDL35256.1, NP_058680.1, AAC05179.1, XP_006501359.1, BAC37973.1, AAF01469.1, AAI31916.1, AAD10167.1, AAI20730.1, sp|Q9QUQ5.1|TRPC4_MOUSE, EDL35253.1, AAD10168.1, NP_001240611.1, AAC05178.1, XP_017175023.1, pdb|6JZO|B, pdb|5Z96|A, pdb|5Z96|C, pdb|6JZO|D, pdb|6JZO|A, pdb|5Z96|D, pdb|5Z96|B, pdb|6JZO|C
OG0001280	XP_033176602.1, XP_033176605.1, XP_012241100.1, XP_033176603.1, XP_012241098.1, XP_012241097.1, XP_012241101.1, XP_024223419.1, XP_003489535.1, XP_012241099.1	XP_011245808.1, XP_011245807.1, XP_036017666.1, XP_036017665.1, BAC26317.1, sp|Q8BGJ0.1|ZDH15_MOUSE, BAE35757.1, NP_780567.1, BAC37081.1, BAC28087.1, EDL14080.1, BAC27068.1, sp|P59267.1|ZDHC2_MOUSE, NP_848482.1, XP_006509548.1, CBY79707.1, AAI27157.1, AAI17762.1, EDL35493.1, XP_036010172.1, NP_001344178.1
OG0001281	XP_003488729.2, XP_033176102.1	BAA03274.1, sp|P39447.2|ZO1_MOUSE, NP_033412.2, EDL07245.1, XP_036008784.1, XP_030098216.1, XP_006540847.1, XP_006540842.1, XP_006540844.1, XP_006540841.1, XP_006540845.1, XP_011249145.1, XP_006540843.1, XP_006540849.1, XP_036008785.1, XP_006540848.1, XP_006540846.1, XP_036008788.1, XP_036008787.1, XP_036008786.1, AAH13769.1, NP_001157046.1, AAI38029.1
OG0001282	XP_033176053.1, XP_033176055.1, XP_033176052.1, XP_033176050.1, XP_033176051.1, XP_033176054.1, XP_033176056.1	EDL41913.1, AAF61707.1, AAX33774.1, NP_083876.3, BAE28953.1, sp|B2RX12.2|MRP3_MOUSE, AAQ10531.1, NP_001350118.1, AAI50789.1, AAQ10530.1, AAQ10532.1, EDL15920.1, BAE33375.1, NP_001350116.1, AAX39010.1, AAH48825.1, AAH90617.1, AAB80938.1, sp|O35379.1|MRP1_MOUSE, EDK97393.1, NP_032602.1, BAC26654.1, XP_006521902.2
OG0001283	XP_012236833.1, XP_024220974.1, XP_003486784.1, XP_012236834.1, XP_024220973.1, XP_033174855.1	EDL15570.1, AAG15426.1, XP_006532711.1, AAH13493.1, XP_006532708.1, EDL15571.1, XP_006532710.1, XP_006532712.1, NP_071856.1, sp|Q9ES88.1|S13A2_MOUSE, NP_001004148.1, BAE20664.1, AAR14317.1, sp|Q67BT3.1|S13A5_MOUSE, XP_017170015.1, XP_017170017.1, EDL01127.1, BAE20640.1, NP_001359331.1, NP_001359332.1, XP_017170016.1, XP_036012551.1
OG0001284	XP_024228274.1, XP_024228272.1, XP_012249618.1, XP_024228368.2, XP_024228367.1	BAC33881.1, AAH10585.1, AAF65928.1, EDL07904.1, XP_030101407.1, AAF22430.1, XP_036012212.1, NP_057916.1, EDL07901.1, sp|Q9QYE3.1|BC11A_MOUSE, AAF63682.1, XP_011241961.1, BAE24527.1, XP_006514570.1, XP_036012207.1, XP_006514567.1, XP_036012211.1, XP_036012208.1, NP_001229863.1, XP_036012210.1, XP_036012209.1, XP_030101403.1, XP_030101405.1, XP_011241962.1
OG0001285	XP_024227908.1, XP_012248953.1	XP_030097918.1, XP_036008518.1, NP_001389651.1, AAH60306.1, NP_001389650.1, NP_001316718.1, AAB07595.1, AAH80759.1, NP_001389644.1, NP_001389645.1, NP_001139783.1, XP_036008514.1, sp|Q61124.2|CLN3_MOUSE, NP_034037.3, XP_036008513.1, AAC52957.1, AAH58753.1, AAB69983.1, EDL17397.1, XP_036008517.1, BAC37491.1, XP_036008515.1, XP_036008516.1, NP_001389646.1, EDL17393.1, AAH47120.1, EDL17395.1, EDL17391.1, EDL17398.1, EDL17396.1, EDL17394.1, EDL17389.1, EDL17390.1, NP_001389649.1, NP_001389648.1, NP_001389647.1
OG0001286	XP_024227067.1, XP_003493763.1	AAI45901.1, CAB96146.1, AAF17607.1, AAH49178.1, AAI45899.1, NP_059506.1, sp|Q9QXK3.1|COPG2_MOUSE, EDL13724.1, AAH24896.1, pdb|5NZR|K, pdb|5A1Y|V, pdb|5NZU|G, pdb|5NZR|G, pdb|5NZV|G, pdb|5NZT|K, pdb|5NZS|K, pdb|5NZT|G, pdb|5NZV|Q, pdb|5NZS|G, sp|Q9QZE5.1|COPG1_MOUSE, pdb|5NZV|K, pdb|5A1Y|M, pdb|5NZU|K, NP_059505.1, pdb|5A1V|M, pdb|5A1W|E, pdb|5A1X|M, pdb|5A1U|E, pdb|5A1Y|E, pdb|5A1V|E, pdb|5A1X|E, AAH24686.1, EDK99233.1, pdb|5A1V|V
OG0001287	XP_012246047.1, XP_024226344.1, XP_012246045.1, XP_012246042.1	AAH03298.1, NP_001389999.1, NP_001389997.1, NP_001389998.1, NP_001389996.1, XP_030110078.1, EDL19854.1, EDL19855.1, NP_035353.1, AAL71909.1, XP_006530270.1, BAE34151.1, NP_598676.2, AAL71910.1, sp|Q8VI36.1|PAXI_MOUSE, BAE29176.1, BAE39404.1, BAE28319.1, BAE42452.1, BAA32207.1, XP_030106548.1, XP_030106547.1, XP_030106549.1, NP_001348900.1, NP_598913.1, sp|Q99N69.2|LPXN_MOUSE, EDL41486.1, BAB40667.2, EDL41487.1, BAC22615.1, AAH26563.1
OG0001288	XP_012244751.1, XP_003491912.1	NP_031932.1, EDL07386.1, sp|P62631.1|EF1A2_MOUSE, AAH18235.1, AAA91870.1
OG0001288	XP_003492701.1, XP_024226287.1	AAH92276.1, BAE23278.1, AAH04067.1, AAI08392.1, BAE36918.1, AAH95965.1, BAE37870.1, AAH18485.1, BAE36848.1, BAE30679.1, BAE37633.1, sp|P10126.3|EF1A1_MOUSE, AAH92053.1, AAH83069.1, NP_034236.2, AAH18223.1, AAH05660.1, BAE29861.1, BAE39035.1, BAE22537.1, BAE38895.1, BAE36697.1, EDL26400.1, BAE37497.1, BAE31515.1
OG0001289	XP_012245361.1, XP_012245362.1, XP_024225935.1, XP_024225936.1, XP_012245356.1, XP_012245358.1, XP_012245357.1, XP_012245359.1	XP_006532094.1, BAE31455.1, BAE30991.1, BAE31505.1, BAC39639.1, AAB06232.1, AAK01550.1, XP_006532093.1, BAC34563.1, NP_001318043.1, AAK01551.1, AAH03797.1, NP_031463.2, sp|P47740.2|AL3A2_MOUSE, BAE41628.1, BAE24523.1, BAC37712.1, BAE40936.1, BAE37166.1, BAE34928.1, NP_080592.2, sp|Q80VQ0.1|AL3B1_MOUSE
OG0001290	XP_024225525.1	AAG29501.1, EDL14069.1, BAB16405.1, AAI32642.1, AAI37994.1, VDK10937.1, NP_085117.2, sp|Q9ESL8.2|FGF16_MOUSE, EDL35490.1, BAB16406.1, BAC34892.1, AAI25510.1, AAI32473.1, VDK10935.1, NP_085113.2, sp|Q9ESL9.2|FGF20_MOUSE, XP_006518617.1, AAD49222.1, AAC52529.1, VDK10936.1, NP_038546.2, AAH99874.1, EDL36153.1, AAH99872.1, AAH99873.1, sp|P54130.2|FGF9_MOUSE, AAI25238.1, BAE34661.1, BAA07410.1, pir||S66486, ADL60500.1, AAH99875.1
OG0001291	XP_012241733.1, XP_012241730.1, XP_012241732.1, XP_024223782.1, XP_012241734.1, XP_012241729.1	XP_036016029.1, NP_001277999.1, BAE34677.1, XP_006522655.1, sp|Q3TY86.1|AIFM3_MOUSE, AAH96476.1, XP_036016026.1, NP_780387.2, EDK97462.1, XP_006522658.1, XP_036016028.1, EDK97460.1, BAC33988.1, AAI20686.1, EDK97461.1, XP_006522657.1, XP_036016027.1, XP_006522653.1, XP_006522654.1, XP_006522656.1
OG0001292	XP_012238307.1, XP_012238310.1, XP_012238309.1, XP_024221845.1, XP_012238308.1	EDL38302.1, EDL38305.1, EDL38304.1, EDL38306.1, XP_006524952.1, XP_006524951.1, XP_030105906.1, XP_006524955.1, XP_006524954.1, XP_006524953.1, XP_030105905.1, NP_001107603.1, BAE38763.1, AAH29761.1, NP_666193.2, sp|Q8K2V1.2|PP4R1_MOUSE, XP_006524958.1, AAH26489.1, XP_030105907.1, EDL38300.1, EDL38307.1, XP_036016676.1, BAB29078.2, EDL38303.1, EDL06647.1
OG0001293	XP_024220784.1, XP_024220783.1, XP_024220785.1	NP_001396571.1, NP_001396570.1, NP_001396569.1, NP_001396573.1, NP_001396572.1, NP_001396574.1, NP_001396568.1, NP_001396565.1, NP_001396561.1, NP_038642.2, NP_001396557.1, NP_001396560.1, NP_001396556.1, sp|P00860.2|DCOR_MOUSE, NP_001396559.1, NP_001396553.1, NP_001396564.1, NP_001396562.1, NP_001396552.1, NP_001396558.1, AAH59826.1, NP_001396563.1, BAE24082.1, EDK98494.1, ACD81645.1, BAE38566.1, AAH83122.1, AAA39845.1, AAA39849.1, AAB27809.1, CAA30301.1, AAA51638.1
OG0001294	XP_003485825.1, XP_024228356.1	XP_036017566.1, XP_036017575.1, NP_001297642.1, BAC33736.1, XP_006496502.1, XP_006496501.1, XP_030105540.1, XP_006496503.1, XP_036017554.1, XP_030105512.1, XP_030105457.1, NP_001334006.1, XP_017172403.1, BAC26675.1, sp|Q8K2K6.2|AGFG1_MOUSE, NP_001355779.1, BAC33303.1, NP_034602.1, AAH31154.1, XP_006496497.1, XP_006496498.1, XP_006496495.1, XP_006496493.1, XP_006496494.1, XP_036017475.1
OG0001295	XP_003485409.1, XP_024227749.1	XP_036014643.1, BAE23956.1, XP_011243415.1, XP_006519301.1, NP_056635.2, sp|Q9QYK4.2|H6ST3_MOUSE, AAI18036.1, BAA89249.1, BAE39145.1, EDL14472.1, BAE38155.1, BAE39293.1, BAE34122.1, NP_056633.2, sp|Q9QYK5.4|H6ST1_MOUSE, BAA89248.1, AAH52316.1, BAE42608.1, XP_036017897.1, NP_056634.3, XP_036017898.1, AAH63327.1, AAH47151.1, XP_006541579.1, NP_001070670.1, sp|Q80UW0.3|H6ST2_MOUSE, NP_001277396.1, EDL29108.1, EDL29107.1, XP_006541581.1, NP_001277397.1, BAA89247.1, XP_006541582.1
OG0001296	XP_012249648.1	AAH26786.1, NP_001098087.1, AAH53417.1, pdb|2D2Q|B, pdb|2D2Q|A, BAC40263.2
OG0001296	XP_012249640.2	BAE29920.1, BAE21861.1, BAE31809.1, BAC40290.1, BAE26623.1, NP_034963.2, AAH47366.1, sp|P26041.3|MOES_MOUSE, BAE34156.1, NP_001098086.1, NP_033067.2, BAE36790.1, sp|P26043.3|RADI_MOUSE, NP_033536.2, sp|P26040.3|EZRI_MOUSE, AAH98502.1, AAH48181.2, EDL23821.1, BAE42954.1, BAE35312.1, BAE38621.1, BAE22456.1, BAE22499.1, BAE35404.1, BAE40663.1, CAA43087.1
OG0001297	XP_003484462.1, XP_012242341.1, XP_012242231.1, XP_012242391.1, XP_012242296.1, XP_012242508.1, XP_024226023.1, XP_012242458.1, XP_003484463.1	NP_033133.1, AAA40082.1, EDL39178.1, CAA46964.1, AAH58401.1, sp|P28705.2|RXRG_MOUSE, XP_030108186.1, NP_001153203.1, AAB36778.1, NP_001277410.1, AAB36777.1, XP_030104727.1, NP_001277411.1, XP_006497868.1, CAA46962.1, NP_035435.1, AAI38801.1, AAA40080.1, sp|P28700.1|RXRA_MOUSE, AAI38803.1, EDL08372.1, BAE26004.1, NP_001192145.1, BAA04859.1, CAA46963.1
OG0001298	XP_003489772.1, XP_012241415.1, XP_012241416.1	AAD53049.1, BAE33367.1, XP_006528836.1, CAA82759.1, NP_001390004.1, NP_001390000.1, XP_030107134.1, BAC97906.1, AAP86294.1, AAP86295.1, AAP86297.1, AAP86300.1, AAP86312.1, AAP86306.1, AAP86307.1, AAP86309.1, AAA62384.1, XP_006528834.1, AAH43096.1, NP_001390002.1, AAH54550.1, NP_001390001.1, NP_001390003.1, sp|P41230.4|KDM5C_MOUSE, NP_038696.2, NP_001390005.1, sp|Q3UXZ9.2|KDM5A_MOUSE, NP_666109.2, EDK99635.1
OG0001299	XP_003489284.1, XP_012240780.1	XP_006539312.1, XP_006539317.1, XP_036020422.1, NP_001356094.1, NP_001356090.1, NP_001356095.1, XP_030109743.1, XP_036020424.1, XP_006539318.1, XP_011248655.1, BAC25227.1, EDL15022.1, NP_001243036.1, XP_036020423.1, NP_001356093.1, sp|Q8R516.2|MIB2_MOUSE, AAX84652.1, XP_030109742.1, AAI41134.1, XP_030109741.1, NP_001356091.1, NP_001356092.1, NP_660106.2, EDL15023.1, BAB86856.1, NP_001243037.2, XP_030109740.1, XP_030109739.1, XP_006539314.1, XP_006539310.1, NP_001356097.1, NP_001356096.1, XP_017175926.1
OG0001300	XP_012238233.1, XP_003487708.1	NP_062658.1, EDL29881.1, AAI20884.1, AAI20885.1, XP_006528235.1, CAG38685.1, AAD02248.1, AAD02247.1, sp|Q9Z0G2.1|SRPK3_MOUSE
OG0001301	XP_012249278.1	BAE28897.1, BAE37202.1, BAB23638.1, BAE41807.1, pdb|3T59|C, pdb|3T59|D, pdb|3T59|A, pdb|3T58|D, pdb|3T58|A, pdb|3T58|B, pdb|3T58|C, pdb|3T59|B, AAH34131.1, NP_001020116.1, sp|Q8BND5.1|QSOX1_MOUSE, AAH76590.1, BAE39061.1, BAC39073.1, EDL39401.1, BAE41429.1, EDL39400.1, NP_075757.1, BAB21936.1, BAE41459.1, pdb|6HF1|D, pdb|6HF1|A, pdb|5D8I|A, pdb|5D8I|B, pdb|5D93|A, pdb|5D96|D, pdb|5D93|D, pdb|5D96|A
OG0001302	XP_003490881.1	pdb|6XAU|A, XP_011247966.1, XP_011247964.1, XP_011247965.1, AAI39763.1, NP_031989.2, BAC28336.1, CAA08971.1, NP_067417.1, XP_036018781.1, XP_011247961.1, XP_011247962.1, sp|P14404.2|MECOM_MOUSE, NP_001357698.1, NP_001357697.1, NP_001347963.1, XP_011247958.1, XP_036018782.1, XP_006535456.1, EDL34954.1, AFG17061.1, XP_036018784.1, AAA40581.1, XP_030108276.1, EDL34957.1, XP_006535457.1, XP_011247963.1, XP_036018783.1, XP_036018785.1, CAA04777.1, BAC35007.2, XP_017174943.1, EDL34955.1
OG0001303	XP_003488264.1	CAA29277.1, pir||JQ1974, CAA39515.1, XP_036015680.1, AAH27431.1, NP_001344075.1, AAH38486.1, EDK97508.1, NP_001074468.1, sp|Q8BNV1.2|TRM2A_MOUSE, EDK97507.1, BAE31584.1, BAE31790.1, BAE27134.1, BAE31672.1, BAE21880.1, BAE31303.1, BAE30293.1, BAE31153.1, BAE30683.1, BAE29598.1, EDK97510.1, AAH46976.1, EDK97509.1, NP_001182134.1, BAC37838.1, BAE30643.1, BAE22119.1, BAE30387.1, BAE31030.1, BAE30911.1, NP_001074469.1, EDK97511.1, XP_030104841.1, XP_030104840.1, XP_006521868.1
OG0001304	XP_003488191.1	XP_006499849.1, XP_036018224.1, NP_001001986.2, NP_001395171.1, NP_001395172.1, XP_036018226.1, NP_001395170.1, BAE34240.1, NP_001395163.1, NP_001395162.1, XP_006499851.1, AAH94234.1, EDL06026.1, AAH79552.1, XP_011237936.2, sp|Q6DIB4.1|NOL4L_MOUSE, AAH75648.1, XP_006499847.1, XP_006499846.1, NP_001395165.1, XP_006499844.1, XP_006499843.1, NP_001127772.1, BAE27972.1, BAE24020.1, XP_011237938.1, XP_011237935.1, NP_001395169.1, NP_001395167.1, NP_001395168.1, XP_011237933.1, NP_001395166.1, XP_011237934.1, XP_011237931.1
OG0001305	XP_003485455.1	NP_001397061.1, NP_001397060.1, NP_001397059.1, EDK99451.1, sp|O08760.2|OGG1_MOUSE, AAI38737.1, BAE27493.1, EDK99450.1, CAB65240.1, CAA72117.1, CAA73883.1, AAB68616.1, AAB61289.1, AAB63151.1, NP_035087.3, AAB94512.1, AAI38734.1, AAB81133.1, pdb|7AZ0|BBB, pdb|7AYZ|BBB, pdb|7AZ0|CCC, pdb|7AZ0|AAA, pdb|6G40|C, pdb|7AYZ|AAA, pdb|7AYZ|CCC, pdb|6G3X|C, pdb|6G3X|B, pdb|6G3Y|A, pdb|6G3X|A, pdb|6G3Y|B, pdb|6G3Y|C, pdb|6G40|B, pdb|6G40|A
OG0001343	XP_012248685.1, XP_012248684.1, XP_024227779.1, XP_033180308.1	BAC35921.1, BAE31863.1, BAB29025.1, CBX85047.1, BAE32780.1, BAB22717.1, BAE35053.1, AAH04677.1, CBX85064.1, sp|Q9CQ74.1|LERL1_MOUSE, NP_080885.1, BAE29444.1, EDL35435.1, BAB26366.1, NP_778201.1, BAE35795.1, BAE38395.1, AAH04744.1, XP_030109282.1, CBX85032.1, EDL02010.1, sp|O89013.1|OBRG_MOUSE, CAA09693.1, CBX85066.1, CBX85045.1, BAE40464.1, CBX85046.1, EDL30867.1, AAH10289.1, EDL30868.1, BAE35124.1
OG0001345	XP_033180252.1, XP_003494391.1	EDL05688.1, NP_058087.2, BAE38320.1, XP_030109532.1, BAE29811.1, BAE35165.1, BAE34989.1, XP_036020130.1, BAE29746.1, AAC27646.1, BAE31671.1, BAE40990.1, BAE26889.1, BAE29466.1, BAE35280.1, BAE39588.1, XP_006538147.1, XP_036020129.1, AAH19400.1, BAE39992.1, sp|O08992.1|SDCB1_MOUSE, BAE30879.1, BAE41305.1, BAE29713.1, BAE31306.1, BAE40613.1, BAE29864.1, BAC25946.1, BAE29799.1, BAC28275.1, NP_001091697.1, BAE29434.1, BAE42284.1, BAE31216.1, BAE41161.1
OG0001346	XP_012248428.1, XP_012248427.1, XP_033180175.1, XP_024227617.1	prf||2205280A, EDK99428.1, AAH24383.1, prf||2201362A, AAC52352.1, sp|P51637.1|CAV3_MOUSE, AAG02565.1, NP_031643.1, EDL13883.1, sp|P49817.1|CAV1_MOUSE, AAH38280.1, EDL13887.1, AAH52859.1, AAR16290.1, BAA89461.1, AAA85784.1, AAR99702.1, BAC26091.1, BAB22817.1, NP_031642.1, NP_001396487.1, NP_001229993.1, BAC41079.1, NP_001396492.1, EDL13885.1, NP_001396489.1, BAA89462.1, NP_001396491.1, NP_001396490.1, EDL13884.1, NP_001396488.1
OG0001347	XP_033180162.1	XP_006515529.1, XP_006515530.1
OG0001347	XP_033180098.1	BAC65538.1
OG0001349	XP_003492810.1, XP_003492811.1, XP_033179086.1, XP_024226364.1, XP_003492017.1, XP_033174564.1, XP_033174568.1	XP_036010485.1, NP_001276713.1, XP_030099896.1, EDL25758.1, sp|P23927.2|CRYAB_MOUSE, NP_001276711.1, EDL25757.1, EDL25759.1, AAH94033.1, AAH10768.1, AAA37472.1, BAE40798.1, AAA67045.1, BAE27257.1, CAJ18549.1, NP_034094.1, NP_001276714.1, NP_001265499.1, BAE25387.1, AAH85172.1, NP_038529.1, sp|P24622.1|CRYAA_MOUSE, AAA37471.1, AAH92385.1, EDL40341.1
OG0001350	XP_033179031.1, XP_012245941.1, XP_033179032.1, XP_012245938.1, XP_012245935.1, XP_012245937.1, XP_012245936.1, XP_012245934.1, XP_033179030.1	BAC36148.1, NP_034111.1, sp|P49586.1|PCY1A_MOUSE, AAH18313.1, CBF65898.1, BAC36497.1, AAB63446.1, CAA78172.1, CBU90769.1, EDK97791.1, NP_001156631.1, NP_001156632.1, EDK97792.1, AAA53526.1, BAC27658.1, NP_808214.1, BAC35435.1, AAO39005.1, BAE28801.1, XP_006528048.1
OG0001351	XP_033177911.1	BAE20621.1, BAB30683.1, AAD52101.1, XP_036016253.1, XP_036016254.1, XP_036016255.1, XP_030105402.1, XP_036016252.1, XP_030105401.1, XP_036016251.1, AAD52100.1, XP_036016245.1, XP_006523841.1, NP_001139687.1, NP_038628.2, AAL14462.1, XP_036016248.1, XP_036016247.1, XP_036016244.1, sp|Q9QUM7.1|MSH5_MOUSE, EDL26688.1, AAF07881.1, AAD52102.1, XP_036016246.1, AAC84154.1, XP_036016249.1, AAI41114.1, EDL26687.1, AAL14454.1, XP_006523833.1, XP_036016243.1, XP_030105392.1, XP_006523843.1, XP_030105399.1, XP_036016250.1
