Orthogroup	bombus	finch	fly	mouse
OG0033834				NP_001393287.1
OG0033835				NP_001393074.1
OG0033836				NP_001393070.1
OG0033837				NP_001393112.1
OG0033838				NP_001393065.1
OG0033839				NP_001393068.1
OG0033840				NP_001393048.1
OG0033841				NP_001393110.1
OG0033842				NP_001393067.1
OG0033843				NP_001393049.1
OG0033844				NP_001393019.1
OG0033845				NP_001393051.1
OG0033846				NP_001393060.1
OG0033847				NP_001393046.1
OG0033848				NP_001393113.1
OG0033849				NP_001393072.1
OG0033850				NP_001393073.1
OG0033851				NP_001393058.1
OG0033852				NP_001393063.1
OG0033853				NP_001393052.1
OG0033854				NP_001393054.1
OG0033855				NP_001393050.1
OG0033856				NP_001393069.1
OG0033857				NP_001393111.1
OG0033858				NP_001393108.1
OG0033859				NP_001393022.1
OG0033860				NP_001393057.1
OG0033861				NP_001393071.1
OG0033862				NP_001393053.1
OG0033863				NP_001393062.1
OG0033864				NP_001393061.1
OG0033865				NP_001393109.1
OG0033866				NP_001393064.1
OG0033867				NP_001393075.1
OG0033868				NP_001392935.1
OG0033869				NP_001392828.1
OG0033870				NP_001392829.1
OG0033871				NP_001392700.1
OG0033872				NP_001392397.1
OG0033873				NP_001392420.1
OG0033874				NP_001392401.1
OG0033875				NP_001392400.1
OG0033876				NP_001392402.1
OG0033877				NP_001392394.1
OG0033878				NP_001392329.1
OG0033879				NP_001392323.1
OG0033880				NP_001392322.1
OG0033881				NP_001392331.1
OG0033882				NP_001392330.1
OG0033883				NP_001392321.1
OG0033884				NP_001392332.1
OG0033885				NP_001392194.1
OG0033886				NP_001392192.1
OG0033887				NP_001392181.1
OG0033888				NP_001392182.1
OG0033889				NP_001392187.1
OG0033890				NP_001392191.1
OG0033891				NP_001392193.1
OG0033892				NP_001392201.1
OG0033893				NP_001392183.1
OG0033894				NP_001392203.1
OG0033895				NP_001392190.1
OG0033896				NP_001392188.1
OG0033897				NP_001392189.1
OG0033898				NP_001392185.1
OG0033899				NP_001392204.1
OG0033900				NP_001392202.1
OG0033901				NP_001392186.1
OG0033902				NP_001391951.1
OG0033903				NP_001391809.1
OG0033904				NP_001391810.1
OG0033905				NP_001391808.1
OG0033906				NP_001391723.1
OG0033907				NP_001391811.1
OG0033908				NP_001391733.1
OG0033909				NP_001391722.1
OG0033910				NP_001391807.1
OG0033911				NP_001391720.1
OG0033912				NP_001391725.1
OG0033913				NP_001391515.1
OG0033914				NP_001391411.1
OG0033915				NP_001391415.1
OG0033916				NP_001391418.1
OG0033917				NP_001391404.1
OG0033918				NP_001391413.1
OG0033919				NP_001391417.1
OG0033920				NP_001391416.1
OG0033921				NP_001391408.1
OG0033922				NP_001391410.1
OG0033923				NP_001391407.1
OG0033924				NP_001391412.1
OG0033925				NP_001391409.1
OG0033926				NP_001391050.1
OG0033927				NP_001391057.1
OG0033928				NP_001171140.2
OG0033929				NP_001391044.1
OG0033930				NP_001391045.1
OG0033931				NP_001390654.1
OG0033932				NP_001390653.1
OG0033933				NP_001390687.1
OG0033934				NP_001390685.1
OG0033935				NP_001390658.1
OG0033936				NP_001390686.1
OG0033937				NP_001390660.1
OG0033938				NP_001390661.1
OG0033939				NP_001390684.1
OG0033940				NP_001390652.1
OG0033941				NP_001390659.1
OG0033942				NP_001390514.1
OG0033943				NP_001390489.1
OG0033944				NP_932109.2
OG0033945				NP_001390458.1
OG0033946				NP_001390490.1
OG0033947				NP_001390488.1
OG0033948				NP_001390350.1
OG0033949				NP_001390172.1
OG0033950				NP_001390173.1
OG0033951				NP_001390174.1
OG0033952				NP_001389949.1
OG0033953				NP_001389946.1
OG0033954				NP_001389948.1
OG0033955				NP_001389941.1
OG0033956				NP_001389943.1
OG0033957				NP_001389942.1
OG0033958				NP_001389944.1
OG0033959				NP_001389756.1
OG0033960				NP_001389752.1
OG0033961				NP_001389750.1
OG0033962				NP_001389775.1
OG0033963				NP_001389754.1
OG0033964				NP_001389753.1
OG0033965				NP_001389748.1
OG0033966				NP_001389724.1
OG0033967				NP_001389725.1
OG0033968				NP_001389683.1
OG0033969				NP_001388587.1
OG0033970				NP_001388065.1
OG0033971				NP_001387974.1
OG0033972				NP_001387973.1
OG0033973				NP_001382559.1
OG0033974				NP_001156406.3
OG0033975				NP_001276600.2
OG0033976				NP_001276601.2
OG0033977				NP_001380452.1
OG0033978				NP_077768.3
OG0033979				NP_705721.3
OG0033980				NP_001371077.1
OG0033981				NP_001369528.1
OG0033982				NP_001369530.1
OG0033983				NP_001369532.1
OG0033984				NP_001369430.1
OG0033985				NP_001369304.1
OG0033986				NP_001369307.1
OG0033987				NP_001368821.1
OG0033988				NP_001368824.1
OG0033989				NP_001368822.1
OG0033990				NP_001368823.1
OG0033991				NP_001368820.1
OG0033992				NP_001368825.1
OG0033993				NP_001366462.1
OG0033994				NP_001366427.1
OG0033995				NP_001366426.1
OG0033996				NP_001366428.1
OG0033997				NP_001366350.1
OG0033998				NP_001366352.1
OG0033999				NP_001366177.1
OG0034000				NP_001366107.1
OG0034001				NP_001366106.1
OG0034002				NP_001366025.1
OG0034003				NP_001365994.1
OG0034004				NP_001365995.1
OG0034005				NP_001365992.1
OG0034006				NP_001365993.1
OG0034007				NP_001365884.1
OG0034008				NP_001365883.1
OG0034009				NP_001365880.1
OG0034010				NP_001365870.1
OG0034011				NP_001365882.1
OG0034012				NP_001365881.1
OG0034013				NP_001365796.1
OG0034014				NP_001365795.1
OG0034015				NP_001365800.1
OG0034016				NP_001365801.1
OG0034017				NP_001365746.1
OG0034018				NP_001365744.1
OG0034019				NP_001365747.1
OG0034020				NP_001365745.1
OG0034021				NP_001364049.1
OG0034022				NP_001364021.1
OG0034023				NP_001363950.1
OG0034024				NP_001363951.1
OG0034025				NP_001363952.1
OG0034026				NP_001363878.1
OG0034027				NP_001363876.1
OG0034028				NP_001363877.1
OG0034029				NP_001361650.1
OG0034030				NP_001361547.1
OG0034031				NP_001360880.1
OG0034032				NP_001360881.1
OG0034033				NP_001359493.1
OG0034034				NP_001359358.1
OG0034035				NP_001359359.1
OG0034036				NP_001359364.1
OG0034037				NP_001359357.1
OG0034038				NP_001359362.1
OG0034039				NP_001359361.1
OG0034040				NP_001359360.1
OG0034041				NP_001359363.1
OG0034042				NP_001359356.1
OG0034043				NP_001359336.1
OG0034044				NP_001357686.1
OG0034045				NP_001357603.1
OG0034046				NP_001356241.1
OG0034047				NP_001356238.1
OG0034048				NP_001356064.1
OG0034049				NP_082235.2
OG0034050				NP_001355608.1
OG0034051				NP_001355575.1
OG0034052				NP_001355572.1
OG0034053				NP_001355574.1
OG0034054				NP_001355576.1
OG0034055				NP_001355571.1
OG0034056				NP_001355573.1
OG0034057				NP_001355299.1
OG0034058				NP_001355275.1
OG0034059				NP_001355273.1
OG0034060				NP_001355274.1
OG0034061				NP_001351422.1
OG0034062				NP_001351409.1
OG0034063				NP_001351406.1
OG0034064				NP_001351423.1
OG0034065				NP_001351364.1
OG0034066				NP_001351136.1
OG0034067				NP_001351140.1
OG0034068				NP_001351141.1
OG0034069				NP_001351142.1
OG0034070				NP_001351133.1
OG0034071				NP_001351139.1
OG0034072				NP_001351137.1
OG0034073				NP_001351138.1
OG0034074				NP_001351146.1
OG0034075				NP_001351061.1
OG0034076				NP_001350960.1
OG0034077				NP_001350743.1
OG0034078				NP_001350686.1
OG0034079				NP_001350637.1
OG0034080				NP_001350374.1
OG0034081				NP_001350359.1
OG0034082				NP_001350373.1
OG0034083				NP_001350372.1
OG0034084				NP_001350358.1
OG0034085				NP_001350289.1
OG0034086				NP_001350288.1
OG0034087				NP_001350291.1
OG0034088				NP_001350290.1
OG0034089				NP_001350246.1
OG0034090				NP_001350282.1
OG0034091				NP_001350284.1
OG0034092				NP_001349823.1
OG0034093				NP_001349798.1
OG0034094				NP_001349692.1
OG0034095				NP_001349633.1
OG0034096				NP_001349568.1
OG0034097				NP_001349569.1
OG0034098				NP_001349441.1
OG0034099				NP_001349428.1
OG0034100				NP_001349429.1
OG0034101				NP_001349436.1
OG0034102				NP_001349440.1
OG0034103				NP_001349442.1
OG0034104				NP_001349425.1
OG0034105				NP_001349375.1
OG0034106				NP_001349336.1
OG0034107				NP_001349301.1
OG0034108				NP_001348897.1
OG0034109				NP_001348898.1
OG0034110				NP_001348590.1
OG0034111				NP_001348490.1
OG0034112				NP_001348315.1
OG0034113				NP_001347813.1
OG0034114				NP_001347746.1
OG0034115				NP_001347783.1
OG0034116				NP_001347745.1
OG0034117				NP_001347681.1
OG0034118				NP_001347683.1
OG0034119				NP_001347682.1
OG0034120				NP_001347623.1
OG0034121				NP_001347531.1
OG0034122				NP_001347478.1
OG0034123				NP_001347235.1
OG0034124				NP_001347256.1
OG0034125				NP_001347103.1
OG0034126				NP_001347115.1
OG0034127				NP_001347070.1
OG0034128				NP_001347028.1
OG0034129				NP_001346939.1
OG0034130				NP_001346938.1
OG0034131				NP_001346936.1
OG0034132				NP_001346849.1
OG0034133				NP_001346850.1
OG0034134				NP_001346751.1
OG0034135				NP_001346747.1
OG0034136				NP_001346746.1
OG0034137				NP_001346691.1
OG0034138				NP_001346397.1
OG0034139				NP_001346492.1
OG0034140				NP_001346340.1
OG0034141				NP_001346342.1
OG0034142				NP_001346341.1
OG0034143				NP_001346191.1
OG0034144				NP_001346142.1
OG0034145				NP_001346141.1
OG0034146				NP_001346101.1
OG0034147				NP_001346104.1
OG0034148				NP_001346053.1
OG0034149				NP_001346050.1
OG0034150				NP_001346000.1
OG0034151				NP_001345951.1
OG0034152				NP_001345766.1
OG0034153				NP_001345765.1
OG0034154				NP_001345581.1
OG0034155				NP_001345583.1
OG0034156				NP_001345582.1
OG0034157				NP_001345586.1
OG0034158				NP_001345472.1
OG0034159				NP_001345327.1
OG0034160				NP_001345042.1
OG0034161				NP_001344819.1
OG0034162				NP_001344886.1
OG0034163				NP_001344804.1
OG0034164				NP_001344749.1
OG0034165				NP_001344681.1
OG0034166				NP_001344682.1
OG0034167				NP_001344677.1
OG0034168				NP_001344578.1
OG0034169				NP_001344547.1
OG0034170				NP_001344598.1
OG0034171				NP_001344551.1
OG0034172				NP_001344405.1
OG0034173				NP_001344307.1
OG0034174				NP_001344234.1
OG0034175				NP_001344233.1
OG0034176				NP_001344110.1
OG0034177				NP_001344097.1
OG0034178				NP_001344111.1
OG0034179				NP_001344109.1
OG0034180				NP_001344003.1
OG0034181				NP_001343993.1
OG0034182				NP_001343493.1
OG0034183				NP_001343280.1
OG0034184				NP_001342682.1
OG0034185				NP_001342436.1
OG0034186				NP_001342085.1
OG0034187				NP_001342077.1
OG0034188				NP_001341994.1
OG0034189				NP_001334555.1
OG0034190				NP_001334556.1
OG0034191				NP_001334509.1
OG0034192				NP_001334508.1
OG0034193				NP_001334425.1
OG0034194				NP_001334388.1
OG0034195				NP_001334343.1
OG0034196				NP_001334138.1
OG0034197				NP_001334048.1
OG0034198				NP_001334013.1
OG0034199				NP_001333638.1
OG0034200				NP_001332888.1
OG0034201				NP_001332887.1
OG0034202				NP_001332886.1
OG0034203				NP_001332885.1
OG0034204				NP_001332884.1
OG0034205				NP_001318151.1
OG0034206				NP_001318012.1
OG0034207				NP_001318011.1
OG0034208				NP_001318013.1
OG0034209				NP_001318044.1
OG0034210				NP_001316628.1
OG0034211				NP_001316456.1
OG0034212				NP_001311449.1
OG0034213				NP_001311448.1
OG0034214				NP_001304314.1
OG0034215				NP_001303668.1
OG0034216				NP_001303662.1
OG0034217				NP_001303669.1
OG0034218				NP_001303661.1
OG0034219				NP_001303666.1
OG0034220				NP_001303251.1
OG0034221				NP_001300912.1
OG0034222				NP_001300892.1
OG0034223				NP_001300863.1
OG0034224				NP_001300633.1
OG0034225				NP_001300687.1
OG0034226				NP_001300651.1
OG0034227				NP_001300631.1
OG0034228				NP_001300653.1
OG0034229				NP_001300652.1
OG0034230				NP_001300640.1
OG0034231				NP_001298050.1
OG0034232				NP_001298018.1
OG0034233				NP_001298019.1
OG0034234				NP_001297639.1
OG0034235				NP_001297611.1
OG0034236				NP_001297560.1
OG0034237				NP_001297541.1
OG0034238				NP_001297395.1
OG0034239				NP_001297013.1
OG0034240				NP_001296999.1
OG0034241				NP_001296448.1
OG0034242				NP_001295315.1
OG0034243				NP_001295314.1
OG0034244				NP_001295214.1
OG0034245				NP_001291932.1
OG0034246				NP_001291879.1
OG0034247				NP_001291884.1
OG0034248				NP_001289880.1
OG0034249				NP_001289879.1
OG0034250				NP_001289571.1
OG0034251				NP_001288788.1
OG0034252				NP_001288286.1
OG0034253				NP_001288262.1
OG0034254				NP_001278745.1
OG0034255				NP_001278411.1
OG0034256				NP_001278130.1
OG0034257				NP_001277929.1
OG0034258				NP_001277659.1
OG0034259				NP_001277573.1
OG0034260				NP_001277479.1
OG0034261				NP_001277405.1
OG0034262				NP_001277297.1
OG0034263				NP_001276828.1
OG0034264				NP_001276408.1
OG0034265				NP_001273613.1
OG0034266				NP_001273313.1
OG0034267				NP_001272963.1
OG0034268				NP_001272441.1
OG0034269				NP_001272400.1
OG0034270				NP_001271436.1
OG0034271				NP_001272366.1
OG0034272				NP_001272365.1
OG0034273				NP_001271258.1
OG0034274				NP_001271156.1
OG0034275				NP_001269942.1
OG0034276				NP_001268969.1
OG0034277				NP_001268898.1
OG0034278				NP_001268776.1
OG0034279				NP_001264805.1
OG0034280				NP_001264804.1
OG0034281				NP_001264009.1
OG0034282				NP_001264008.1
OG0034283				NP_001263270.1
OG0034284				NP_001263269.1
OG0034285				NP_001258623.1
OG0034286				NP_001258621.1
OG0034287				NP_001258619.1
OG0034288				NP_001258616.1
OG0034289				NP_001258592.1
OG0034290				NP_001258511.1
OG0034291				NP_001258472.1
OG0034292				NP_001258289.1
OG0034293				NP_001258287.1
OG0034294				NP_001258276.1
OG0034295				NP_081603.1
OG0034296				NP_001116290.2
OG0034297				NP_001038209.2
OG0034298				NP_032123.3
OG0034299				NP_001240812.1
OG0034300				NP_001240773.1
OG0034301				NP_001240736.1
OG0034302				NP_001240609.1
OG0034303				NP_001240608.1
OG0034304				NP_001239554.1
OG0034305				NP_001239462.1
OG0034306				NP_001239410.1
OG0034307				NP_001239379.1
OG0034308				NP_001239222.1
OG0034309				NP_001230691.1
OG0034310				NP_001229978.1
OG0034311				NP_001192144.1
OG0034312				NP_001186203.1
OG0034313				NP_001186178.1
OG0034314				NP_001185806.1
OG0034315				NP_001185801.1
OG0034316				NP_001184251.1
OG0034317				NP_001182468.1
OG0034318				NP_001180232.1
OG0034319				NP_001177715.1
OG0034320				NP_001177729.1
OG0034321				NP_001177273.1
OG0034322				NP_001177272.1
OG0034323				NP_001171231.1
OG0034324				NP_663345.2
OG0034325				NP_001171275.1
OG0034326				NP_001171044.1
OG0034327				NP_001164473.1
OG0034328				NP_001164455.1
OG0034329				NP_001164454.1
OG0034330				NP_001164257.1
OG0034331				NP_001164256.1
OG0034332				NP_758512.3
OG0034333				NP_001163047.1
OG0034334				NP_001162043.1
OG0034335				NP_001162041.1
OG0034336				NP_001162040.1
OG0034337				NP_937807.2
OG0034338				NP_001161776.1
OG0034339				NP_001161768.1
OG0034340				NP_001161411.1
OG0034341				NP_001159930.1
OG0034342				NP_001159928.1
OG0034343				NP_835185.2
OG0034344				NP_001157944.1
OG0034345				NP_001157955.1
OG0034346				NP_001157832.1
OG0034347				NP_001157831.1
OG0034348				NP_083832.2
OG0034349				NP_001157727.1
OG0034350				NP_001157726.1
OG0034351				NP_001157723.1
OG0034352				NP_001157722.1
OG0034353				NP_001157721.1
OG0034354				NP_001157720.1
OG0034355				NP_001157664.1
OG0034356				NP_001157513.1
OG0034357				NP_001157308.1
OG0034358				NP_062704.2
OG0034359				NP_001157185.1
OG0034360				NP_666203.3
OG0034361				NP_001156977.1
OG0034362				NP_001028436.2
OG0034363				NP_075699.3
OG0034364				NP_001156987.1
OG0034365				NP_001156413.1
OG0034366				NP_081186.1
OG0034367				NP_001155247.1
OG0034368				NP_081802.1
OG0034369				NP_083074.2
OG0034370				NP_001155184.1
OG0034371				NP_001155289.1
OG0034372				NP_001154928.1
OG0034373				NP_001153764.1
OG0034374				NP_001153322.1
OG0034375				NP_077246.2
OG0034376				NP_001153074.1
OG0034377				NP_035161.2
OG0034378				NP_001152823.1
OG0034379				NP_001020081.2
OG0034380				NP_001020457.2
OG0034381				NP_780615.2
OG0034382				NP_001139419.1
OG0034383				NP_001139299.1
OG0034384				NP_663490.2
OG0034385				NP_001139231.1
OG0034386				NP_001138905.1
OG0034387				NP_082358.2
OG0034388				NP_001129732.1
OG0034389				NP_796328.2
OG0034390				NP_001129694.1
OG0034391				NP_082099.1
OG0034392				NP_001124340.1
OG0034393				NP_033569.2
OG0034394				NP_766577.1
OG0034395				NP_001116315.1
OG0034396				NP_663365.3
OG0034397				NP_081591.3
OG0034398				NP_033722.1
OG0034399				NP_001107806.1
OG0034400				NP_065612.2
OG0034401				NP_001106860.1
OG0034402				NP_001106826.1
OG0034403				NP_038960.2
OG0034404				NP_032163.3
OG0034405				NP_001103702.1
OG0034406				NP_001103701.1
OG0034407				NP_001103699.1
OG0034408				NP_001103681.1
OG0034409				NP_038679.3
OG0034410				NP_082564.3
OG0034411				NP_001103600.1
OG0034412				NP_001103154.1
OG0034413				NP_001103127.1
OG0034414				NP_032114.2
OG0034415				NP_035172.2
OG0034416				NP_001096636.1
OG0034417				NP_780295.2
OG0034418				NP_032728.3
OG0034419				NP_035693.3
OG0034420				NP_001087222.1
OG0034421				NP_001074564.1
OG0034422				NP_001074543.1
OG0034423				NP_766045.2
OG0034424				NP_963895.2
OG0034425				NP_001070257.1
OG0034426				NP_079727.1
OG0034427				NP_080948.2
OG0034428				NP_032302.2
OG0034429				NP_035535.2
OG0034430				NP_038739.2
OG0034431				NP_038584.2
OG0034432				NP_065605.2
OG0034433				NP_001025478.1
OG0034434				NP_001035023.1
OG0034435				NP_001034573.1
OG0034436				NP_001034443.1
OG0034437				NP_034993.2
OG0034438				NP_001028395.1
OG0034439				NP_001028363.1
OG0034440				NP_001020102.2
OG0034441				NP_001034146.1
OG0034442				NP_080424.2
OG0034443				NP_001030323.1
OG0034444				NP_001030322.1
OG0034445				NP_001030321.1
OG0034446				NP_001028347.1
OG0034447				NP_796343.2
OG0034448				NP_001020731.1
OG0034449				NP_036191.2
OG0034450				NP_694722.2
OG0034451				NP_033297.2
OG0034452				NP_835586.2
OG0034453				NP_001020082.1
OG0034454				NP_034985.2
OG0034455				NP_857633.2
OG0034456				NP_035994.2
OG0034457				NP_001009935.1
OG0034458				NP_033017.2
OG0034459				NP_694708.2
OG0034460				NP_075770.1
OG0034461				NP_064389.2
OG0034462				NP_001004147.1
OG0034463				NP_034423.2
OG0034464				NP_997610.1
OG0034465				NP_997593.1
OG0034466				NP_997600.1
OG0034467				NP_997598.1
OG0034468				NP_997114.1
OG0034469				NP_035288.2
OG0034470				NP_081163.2
OG0034471				NP_951061.1
OG0034472				NP_951013.1
OG0034473				NP_149156.1
OG0034474				NP_937811.1
OG0034475				NP_919428.1
OG0034476				NP_034173.1
OG0034477				NP_032610.1
OG0034478				NP_035831.2
OG0034479				NP_031407.2
OG0034480				NP_032017.2
OG0034481				NP_776100.2
OG0034482				NP_033477.2
OG0034483				NP_034428.2
OG0034484				NP_035328.2
OG0034485				NP_033756.2
OG0034486				NP_034884.2
OG0034487				NP_075627.2
OG0034488				NP_077745.2
OG0034489				NP_598847.2
OG0034490				NP_796312.2
OG0034491				NP_083182.2
OG0034492				NP_031415.2
OG0034493				NP_851839.1
OG0034494				NP_780558.1
OG0034495				NP_776142.1
OG0034496				NP_848467.1
OG0034497				NP_598677.1
OG0034498				NP_081734.1
OG0034499				NP_075605.1
OG0034500				NP_808400.1
OG0034501				NP_795907.1
OG0034502				NP_780408.1
OG0034503				NP_766335.1
OG0034504				NP_766234.1
OG0034505				NP_081740.2
OG0034506				NP_080084.2
OG0034507				NP_758486.1
OG0034508				NP_733789.1
OG0034509				NP_031916.1
OG0034510				NP_705815.1
OG0034511				NP_705725.1
OG0034512				NP_683728.1
OG0034513				NP_663404.1
OG0034514				NP_660256.1
OG0034515				NP_081880.2
OG0034516				NP_659539.1
OG0034517				NP_659088.1
OG0034518				NP_079802.1
OG0034519				NP_077146.1
OG0034520				NP_083911.1
OG0034521				NP_083055.1
OG0034522				NP_038577.1
OG0034523				NP_598716.1
OG0034524				NP_598658.1
OG0034525				NP_598924.1
OG0034526				NP_598789.1
OG0034527				NP_598763.1
OG0034528				NP_035595.2
OG0034529				NP_084056.1
OG0034530				NP_291088.1
OG0034531				NP_079949.1
OG0034532				NP_075764.1
OG0034533				NP_084358.1
OG0034534				NP_083992.1
OG0034535				NP_080443.1
OG0034536				NP_080111.1
OG0034537				NP_062369.1
OG0034538				NP_061246.1
OG0034539				NP_061207.1
OG0034540				NP_056644.1
OG0034541				NP_038702.1
OG0034542				NP_038692.1
OG0034543				NP_034405.1
OG0034544				NP_036051.1
OG0034545				NP_035548.1
OG0034546				NP_036107.1
OG0034547				NP_035520.1
OG0034548				NP_034947.1
OG0034549				NP_034455.1
OG0034550				NP_034239.1
OG0034551				NP_034097.1
OG0034552				NP_034011.1
OG0034553				NP_031617.1
OG0034554				NP_032768.1
OG0034555				NP_033337.1
OG0034556				NP_033199.1
OG0034557				NP_031652.1
OG0034558				NP_001397563.1
OG0034559				NP_001397544.1
OG0034560				NP_001397543.1
OG0034561				NP_001397548.1
OG0034562				NP_001397547.1
OG0034563				NP_001397541.1
OG0034564				NP_001397542.1
OG0034565				NP_001366056.1
OG0034566				NP_001365990.1
OG0034567				NP_001365991.1
OG0034568				NP_001365722.1
OG0034569				NP_001365717.1
OG0034570				NP_001365716.1
OG0034571				NP_001364050.1
OG0034572				NP_001359337.1
OG0034573				NP_001359338.1
OG0034574				NP_001359340.1
OG0034575				NP_001359335.1
OG0034576				NP_001357685.1
OG0034577				NP_001356237.1
OG0034578				NP_001356239.1
OG0034579				NP_001356240.1
OG0034580				NP_001351393.1
OG0034581				NP_001349890.1
OG0034582				NP_001349638.1
OG0034583				NP_001349663.1
OG0034584				NP_001349694.1
OG0034585				NP_001349639.1
OG0034586				NP_001349577.1
OG0034587				NP_001349297.1
OG0034588				NP_001349142.1
OG0034589				NP_001349032.1
OG0034590				NP_001349034.1
OG0034591				NP_001348534.1
OG0034592				NP_001347862.1
OG0034593				NP_001347738.1
OG0034594				NP_001347712.1
OG0034595				NP_001347522.1
OG0034596				NP_001347521.1
OG0034597				NP_001347544.1
OG0034598				NP_001347520.1
OG0034599				NP_001347479.1
OG0034600				NP_001347257.1
OG0034601				NP_001347110.1
OG0034602				NP_001347113.1
OG0034603				NP_001347104.1
OG0034604				NP_001347109.1
OG0034605				NP_001347111.1
OG0034606				NP_001347112.1
OG0034607				NP_001346653.1
OG0034608				NP_001346155.1
OG0034609				NP_001346133.1
OG0034610				NP_001346132.1
OG0034611				NP_001346081.1
OG0034612				NP_001346030.1
OG0034613				NP_001344975.1
OG0034614				NP_001344459.1
OG0034615				NP_001344321.1
OG0034616				NP_001344320.1
OG0034617				NP_001344040.1
OG0034618				NP_001344090.1
OG0034619				NP_001344042.1
OG0034620				NP_001344089.1
OG0034621				NP_001344041.1
OG0034622				NP_001343527.1
OG0034623				NP_001343494.1
OG0034624				NP_001343484.1
OG0034625				NP_001343410.1
OG0034626				NP_001343304.1
OG0034627				NP_001343261.1
OG0034628				NP_001343263.1
OG0034629				NP_001342632.1
OG0034630				NP_001342608.1
OG0034631				NP_001342621.1
OG0034632				NP_001342592.1
OG0034633				NP_001342434.1
OG0034634				NP_001342496.1
OG0034635				NP_001342433.1
OG0034636				NP_001342435.1
OG0034637				NP_001342367.1
OG0034638				NP_001342310.1
OG0034639				NP_001342078.1
OG0034640				NP_001341995.1
OG0034641				NP_001341996.1
OG0034642				NP_001340072.1
OG0034643				NP_001334459.1
OG0034644				NP_001334292.1
OG0034645				NP_001334306.1
OG0034646				NP_001334274.1
OG0034647				NP_001334258.1
OG0034648				NP_001334102.1
OG0034649				NP_001333594.1
OG0034650				NP_001333441.1
OG0034651				NP_001333442.1
OG0034652				NP_001318152.1
OG0034653				NP_001318148.1
OG0034654				NP_001318037.1
OG0034655				NP_001318014.1
OG0034656				NP_001318038.1
OG0034657				NP_001317996.1
OG0034658				NP_001317295.1
OG0034659				NP_001316789.1
OG0034660				NP_001316457.1
OG0034661				NP_001307160.1
OG0034662				NP_001300852.1
OG0034663				NP_001299798.1
OG0034664				NP_001298075.1
OG0034665				NP_001298077.1
OG0034666				NP_001298060.1
OG0034667				NP_001298029.1
OG0034668				NP_001298028.1
OG0034669				NP_001297598.1
OG0034670				NP_001297622.1
OG0034671				NP_001297548.1
OG0034672				NP_001297547.1
OG0034673				NP_001297433.1
OG0034674				NP_671708.1
OG0034675				NP_001297399.1
OG0034676				NP_001297376.1
OG0034677				NP_001297086.1
OG0034678				NP_001295215.1
OG0034679				NP_001292354.1
OG0034680				NP_001292202.1
OG0034681				NP_001288787.1
OG0034682				NP_001278081.1
OG0034683				NP_001278043.1
OG0034684				NP_001278044.1
OG0034685				NP_001277982.1
OG0034686				NP_001277663.1
OG0034687				NP_001277641.1
OG0034688				NP_001277298.1
OG0034689				NP_001276704.1
OG0034690				NP_001276670.1
OG0034691				NP_001276648.1
OG0034692				NP_001276649.1
OG0034693				NP_001276540.1
OG0034694				NP_001273576.1
OG0034695				NP_001273269.1
OG0034696				NP_001272442.1
OG0034697				NP_001264255.1
OG0034698				NP_001264030.1
OG0034699				NP_001263332.1
OG0034700				NP_001258512.1
OG0034701				NP_001258288.1
OG0034702				NP_001243360.1
OG0034703				NP_001240765.1
OG0034704				NP_001240760.1
OG0034705				NP_001240686.1
OG0034706				NP_001239406.1
OG0034707				NP_001239262.1
OG0034708				NP_001239221.1
OG0034709				NP_001239130.1
OG0034710				NP_001164471.2
OG0034711				NP_067389.5
OG0034712				NP_001230092.1
OG0034713				NP_001107031.2
OG0034714				NP_001188498.1
OG0034715				NP_001186177.1
OG0034716				NP_001186176.1
OG0034717				NP_001185807.1
OG0034718				NP_001185804.1
OG0034719				NP_001185802.1
OG0034720				NP_001182427.1
OG0034721				NP_001177663.1
OG0034722				NP_001177662.1
OG0034723				NP_766254.2
OG0034724				NP_001171327.1
OG0034725				NP_001167544.1
OG0034726				NP_001164472.1
OG0034727				NP_001164319.1
OG0034728				NP_619621.2
OG0034729				NP_001164449.1
OG0034730				NP_001164023.1
OG0034731				NP_001164215.1
OG0034732				NP_001163957.1
OG0034733				NP_001163956.1
OG0034734				NP_001163048.1
OG0034735				NP_082627.3
OG0034736				NP_598795.2
OG0034737				NP_001159862.1
OG0034738				NP_663477.3
OG0034739				NP_001157740.1
OG0034740				NP_001157514.1
OG0034741				NP_001157020.1
OG0034742				NP_035312.3
OG0034743				NP_001156986.1
OG0034744				NP_067363.3
OG0034745				NP_001156917.1
OG0034746				NP_081244.2
OG0034747				NP_001156481.1
OG0034748				NP_001156479.1
OG0034749				NP_001153686.1
OG0034750				NP_001153440.1
OG0034751				NP_001153190.1
OG0034752				NP_001153186.1
OG0034753				NP_081604.3
OG0034754				NP_001153077.1
OG0034755				NP_608301.3
OG0034756				NP_001139498.1
OG0034757				NP_001139497.1
OG0034758				NP_036025.2
OG0034759				NP_001128473.1
OG0034760				NP_001135404.1
OG0034761				NP_001123659.1
OG0034762				NP_114084.2
OG0034763				NP_666178.2
OG0034764				NP_081988.3
OG0034765				NP_084527.2
OG0034766				NP_032590.2
OG0034767				NP_659189.2
OG0034768				NP_036186.2
OG0034769				NP_032803.2
OG0034770				NP_598819.2
OG0034771				NP_001106854.1
OG0034772				NP_064311.2
OG0034773				NP_001104801.1
OG0034774				NP_001104760.1
OG0034775				NP_032417.3
OG0034776				NP_038528.3
OG0034777				NP_001104301.1
