Orthogroup	finch	fly
OG0002161	XP_032606709.2, XP_030132775.3, XP_030132776.3, XP_030126595.3, XP_030126596.3, XP_030126597.3, XP_030126594.3	tr|Q9VN23|Q9VN23_DROME
OG0002162	NP_001232416.1, ACH43890.1, XP_030119634.1, XP_012424321.2, XP_030119635.1, XP_002194992.2	tr|Q9W068|Q9W068_DROME
OG0002163	XP_030120454.1, XP_030120456.1, XP_041570329.1, XP_004176760.2, XP_041573317.1	tr|Q9VKD2|Q9VKD2_DROME
OG0002164	XP_030122396.1, XP_041570948.1, XP_030125915.3, XP_030125912.3, XP_012428292.3	sp|Q9V7N5|VATC_DROME
OG0002165	ACH44198.1, ACH44197.1, NP_001232728.1, ACH44196.1, XP_032606850.1, XP_030140207.3	tr|Q8IPU3|Q8IPU3_DROME
OG0002166	XP_030138354.3, XP_041574537.1	sp|Q9VTT9|DEFI8_DROME
OG0002167	XP_012425268.1, XP_030128698.1, XP_030128646.1, XP_030128681.1, XP_030128703.1, XP_030128667.1, XP_041572086.1, XP_032604206.2, XP_030135732.1, XP_030135730.1	sp|P91891|MO25_DROME
OG0002168	XP_041573947.1, XP_041573946.1, XP_030136721.3, XP_030136724.3, ACH46108.1, NP_001232225.1, XP_030121287.3	sp|Q9NKV0|MLF_DROME
OG0002169	XP_030144674.1, XP_030144672.1	tr|Q9VZP2|Q9VZP2_DROME
OG0002170	XP_030135531.3, XP_030135532.3, XP_030135533.3, XP_041573814.1	tr|A1Z6G6|A1Z6G6_DROME
OG0002171	XP_030144727.1, XP_030144726.1	sp|Q7KPA5|SPO11_DROME
OG0002173	XP_041570803.1	tr|Q9VXQ8|Q9VXQ8_DROME
OG0002174	XP_030129856.1, XP_030129859.1, XP_030129860.1, XP_002199150.2	sp|Q8IQG1|MOB2_DROME
OG0002175	XP_041568104.1, XP_030136197.2, XP_041574125.1, XP_030136199.1, XP_030145134.3	tr|Q8IMZ4|Q8IMZ4_DROME
OG0002176	XP_041567745.1, XP_041567744.1, XP_030114837.1, XP_002195859.1, XP_030114840.1, XP_041566986.1, XP_004177216.1, XP_032600508.1	tr|A0A0B4K653|A0A0B4K653_DROME
OG0002177	XP_002190724.5, XP_030135020.3, XP_030135022.3	tr|Q9W3Y1|Q9W3Y1_DROME, tr|Q9VJ90|Q9VJ90_DROME
OG0002178	NP_001232558.1, ACH43931.1, ACH43932.1, ACH43930.1	sp|O16130|RL39_DROME
OG0002179	XP_030120868.3	tr|Q9XZ53|Q9XZ53_DROME
OG0002179	XP_032608584.1, XP_041576840.1, XP_030146557.1, XP_030146559.1	tr|Q9VRE0|Q9VRE0_DROME
OG0002180	XP_030135808.3, XP_030135807.3, XP_030135809.3	tr|Q8IRJ7|Q8IRJ7_DROME
OG0002181	XP_012433198.1, XP_012433197.1, XP_002192030.1, XP_030114929.1	sp|Q9U6A0|NCKX_DROME
OG0002182	ACH44721.1, NP_001232369.1, XP_030111750.3, XP_030115409.3	sp|Q9VH95|YC17_DROME
OG0002183	XP_030143277.1, XP_030140432.1, XP_041575163.1	tr|M9PF47|M9PF47_DROME
OG0002184	NP_001232124.1, ACH45878.1, XP_030144199.1, ACH45879.1, XP_030144200.1, XP_002197689.1	sp|P20232|TFS2_DROME, tr|Q9VXS6|Q9VXS6_DROME
OG0002186	XP_041568324.1	sp|Q9U1H0|CIC_DROME
OG0002187	XP_030134543.1	tr|Q9W230|Q9W230_DROME
OG0002188	ACH46407.1, ACH44131.1, NP_001232401.1, ACH44130.1	sp|Q9VMA0|NSE1_DROME
OG0002189	XP_002188382.4, XP_004176408.1	tr|A1Z7S3|A1Z7S3_DROME
OG0002190	XP_041568306.1, XP_030118040.1, XP_041568305.1	sp|P36179|2AAA_DROME
OG0002191	XP_030112394.1, XP_002187101.1, XP_032600616.1	sp|P23625|GNAQ_DROME, tr|Q0E9A7|Q0E9A7_DROME, tr|Q8MQV5|Q8MQV5_DROME, sp|Q05337|GNAF_DROME
OG0002192	XP_030138794.1, XP_030138778.1, XP_030138786.1, XP_030138752.1, XP_030138813.1, XP_030138806.1, XP_030138757.1, XP_030138743.1, XP_030138768.1, XP_030138800.1	sp|Q24210|CSKP_DROME
OG0002193	XP_030128338.3, XP_030128337.3	tr|Q9V4E1|Q9V4E1_DROME
OG0002194	XP_041567229.1	sp|Q9V6K3|ROR2_DROME
OG0002195	XP_041568957.1, XP_041575737.1, XP_030143462.1, XP_030143465.1, XP_041575738.1, XP_030118900.3, XP_030118901.1, XP_002199122.2, XP_004175716.1, XP_030140883.2	tr|Q0E8N2|Q0E8N2_DROME
OG0002196	XP_002190480.2	tr|Q9VIT5|Q9VIT5_DROME, tr|Q9VIT6|Q9VIT6_DROME, tr|Q9VIU6|Q9VIU6_DROME
OG0002197	NP_001335490.1	tr|Q8IRD3|Q8IRD3_DROME, tr|Q4V6H2|Q4V6H2_DROME
OG0002198	XP_030136298.3, XP_002190442.3	tr|Q9VNX0|Q9VNX0_DROME
OG0002199	ACH46349.1, ACH44467.1, ACH44468.1, NP_001232329.1	sp|Q8T3U2|RS23_DROME
OG0002200	XP_030120616.3, XP_030120617.1, XP_012430427.1	sp|Q9VNE2|PKRA_DROME
OG0002201	XP_030147780.3, XP_004177162.4, XP_002194611.1	tr|Q9VF68|Q9VF68_DROME, sp|Q9VM65|FGOP2_DROME
OG0002202	XP_030140320.1, XP_002198398.1	sp|O16797|RL3_DROME
OG0002203	NP_001185510.1, sp|B5FZS9.1|RS3A_TAEGU, ACH44540.1, ACH44541.1	sp|P55830|RS3A_DROME
OG0002204	XP_041567560.1, XP_041567559.1	tr|Q9VLH1|Q9VLH1_DROME, tr|Q9VID1|Q9VID1_DROME
OG0002205	XP_030120300.1, XP_041570314.1, XP_030120303.1, XP_030120304.1, XP_030120305.1, XP_030120301.3, XP_030120306.1, XP_030120307.1	tr|A1Z8G0|A1Z8G0_DROME
OG0002206	XP_030125532.3, XP_030125541.3, XP_030125521.3, XP_002198307.3, XP_030146339.1	tr|Q6IGZ9|Q6IGZ9_DROME, tr|Q9VSW7|Q9VSW7_DROME
OG0002207	XP_030145698.3, XP_030145697.3, XP_041576546.1	tr|Q9VAL2|Q9VAL2_DROME
OG0002208	XP_041568704.1, XP_041568705.1	sp|Q9VFE4|RS5B_DROME, sp|Q24186|RS5A_DROME
OG0002209	XP_002194868.1, XP_030136169.1	tr|E1JIV5|E1JIV5_DROME
OG0002210	XP_030141522.3, XP_030141523.3, XP_030141520.3, XP_030141521.3	tr|E1JIR1|E1JIR1_DROME
OG0002211	XP_002196468.3, XP_030121155.2, XP_041573573.1, XP_041573574.1	sp|P04412|EGFR_DROME
OG0002212	XP_012433464.1	tr|Q9V9W3|Q9V9W3_DROME
OG0002214	XP_030140594.3	sp|P31009|RS2_DROME
OG0002215	XP_032602485.2, XP_030133283.1, XP_030133284.1, XP_030133281.3, XP_012430272.1	tr|A0A126GUV7|A0A126GUV7_DROME
OG0002216	ACH44958.1, ACH44961.1, ACH44959.1, ACH44965.1, NP_001232449.1, ACH46448.1, ACH44960.1, ACH44966.1, ACH44964.1, ACH44962.1, ACH44963.1	tr|Q7K1C0|Q7K1C0_DROME
OG0002217	XP_030130465.3, XP_030130464.3, XP_030130466.3, XP_030130468.3, XP_030130467.3, XP_030124312.3, XP_030124313.3, XP_030124309.3, XP_030124310.3, XP_030124311.3	tr|D3DML3|D3DML3_DROME
OG0002218	XP_032599542.2, XP_002194938.3	sp|P09090|ZEN2_DROME
OG0002219	XP_012428656.1, XP_012428655.1, XP_012428657.1, XP_030128822.1	sp|P51123|TAF1_DROME
OG0002220	XP_032606840.1, XP_032606839.1	tr|Q9VBL2|Q9VBL2_DROME
OG0002221	XP_030133443.1, XP_030133444.1	sp|Q9VJ87|CWC22_DROME
OG0002222	XP_002197541.4, XP_030126852.1, XP_030139759.3, XP_030139758.3	tr|Q9VK46|Q9VK46_DROME
OG0002223	NP_001070162.1, ABG72745.1, XP_030137224.2, XP_030137225.1, XP_002195695.1, XP_030147423.3	tr|Q9VXV6|Q9VXV6_DROME
OG0002224	XP_041566868.1, XP_030112606.1, XP_030112605.1	sp|P48809|RB27C_DROME
OG0002225	XP_030135134.1, XP_012425027.1, XP_030135142.1, XP_030135157.1, XP_030135164.1, XP_041573727.1, XP_030135160.1, XP_030135149.1, XP_002197598.3, XP_041574195.1, XP_041574194.1, XP_030135852.3	tr|Q8INQ9|Q8INQ9_DROME
OG0002226	XP_030124958.1, XP_030130570.1	sp|Q9XZS8|ATF3_DROME
OG0002227	XP_030125446.3, XP_030125445.3, XP_030125442.3, XP_030125440.3, XP_030125441.3, XP_030125444.3	sp|Q7KTX7|PRKN_DROME
OG0002228	XP_002200608.2, XP_032603272.2	sp|P02828|HSP83_DROME
OG0002229	ACH45044.1, NP_001232540.1, ACH45042.1	sp|P22769|PSA71_DROME, sp|Q24178|PSA72_DROME, sp|Q27575|PSA73_DROME
OG0002230	ACH44201.1, NP_001232735.1	tr|Q9VTB4|Q9VTB4_DROME
OG0002231	XP_030135629.1, XP_041573766.1, XP_002192249.1	tr|Q9VCQ7|Q9VCQ7_DROME
OG0002232	NP_001232046.1, ACH44242.1, ACH44241.1, XP_030119839.1	tr|Q9VJ19|Q9VJ19_DROME
OG0002233	XP_041575572.1, XP_030142321.3, XP_030142320.3, XP_041575571.1, XP_041575574.1	sp|Q9V719|SIN1_DROME
OG0002234	XP_030127556.3, XP_030127553.3, XP_030127552.3, XP_030127551.3, XP_030127557.1, XP_030127554.1, XP_030127555.1	sp|A1Z6S7|GDS1_DROME
OG0002235	NP_001232341.1, ACH44633.1, ACH44634.1, ACH44635.1	tr|Q9W199|Q9W199_DROME
OG0002236	ACH45340.1, ACH45338.1, ACH45339.1, ACH45345.1, ACH45342.1, ACH45341.1, ACH45344.1, NP_001232373.1, ACH46382.1, ACH45343.1, ACH45337.1	sp|P17917|PCNA_DROME, sp|Q9VIT0|PCNA2_DROME
OG0002237	XP_030125872.3, XP_030125868.3, XP_030125875.3, XP_030125869.3, XP_030125871.3, XP_030125870.3, XP_030125874.3	tr|Q9VCB8|Q9VCB8_DROME
OG0002238	XP_030119255.1, XP_030119254.1, XP_030119253.1, XP_030119252.1, XP_030119257.1, XP_030119256.1, XP_030119260.1, XP_041569768.1, XP_030129279.1	tr|Q9VDS1|Q9VDS1_DROME, sp|A1ZAI5|FACR1_DROME
OG0002239	NP_001232736.1, ACH45077.1, XP_012427184.1, XP_030119823.3, ACH43610.1, NP_001232715.1, XP_030123195.3	sp|Q9W1K0|TM14_DROME
OG0002240	XP_041572021.1, XP_030145832.2	sp|P31409|VATB_DROME
OG0002241	XP_030113950.3, XP_030113953.3, XP_030113951.3	tr|A0A6M3Q835|A0A6M3Q835_DROME
OG0002243	XP_030135830.3, XP_030135831.1	tr|Q9VJE7|Q9VJE7_DROME
OG0002254	XP_030124622.3, XP_041571284.1, XP_002196768.3	sp|Q9VPK7|PUS10_DROME
OG0002264	XP_002197370.5, XP_030140768.1, XP_002194726.1, XP_030140769.1	sp|Q9VVA0|Y9705_DROME
OG0002265	XP_041575954.1, XP_041575951.1, XP_041575952.1, XP_041575953.1	sp|Q9VNG1|GGNB2_DROME
OG0002266	XP_030143655.3, XP_030143656.3, XP_030143654.3	tr|A1Z971|A1Z971_DROME
OG0002268	XP_041575517.1, XP_041575519.1, XP_041575518.1, XP_002196251.2	tr|Q9V3S7|Q9V3S7_DROME
OG0002272	XP_030140272.3, XP_030140279.3, XP_002188626.4, XP_030140298.3, XP_030140288.3	tr|Q7KVB0|Q7KVB0_DROME
OG0002276	XP_030126583.1, XP_030126581.1, XP_030126573.1, XP_030126576.1, XP_030126575.1, XP_030126577.1, XP_032603903.1	tr|A0A0B4JDD0|A0A0B4JDD0_DROME
OG0002336	XP_030147020.1	tr|Q9W0B8|Q9W0B8_DROME
OG0002337	XP_041572591.1, XP_012429729.1	tr|Q9VF98|Q9VF98_DROME
OG0002339	XP_030136772.3, XP_030136771.3, XP_030136770.3, XP_030136769.3, XP_030136768.3, XP_030136773.3	tr|Q9VLL1|Q9VLL1_DROME
OG0002340	ACB88453.1, XP_030124645.3, XP_032603282.2, XP_030131118.3, XP_030131120.3, ACB88454.1	sp|P07713|DECA_DROME
OG0002341	XP_030131551.3, XP_002195179.4, XP_030131553.1, XP_030131550.3, XP_030131549.3, XP_030131552.3	tr|Q7JW66|Q7JW66_DROME
OG0002342	XP_012424344.4, XP_030147903.3	tr|O76896|O76896_DROME
OG0002343	ACH43625.1, NP_001232761.1, XP_041567797.1, XP_032600517.1, XP_041567794.1, XP_041567799.1, XP_041567796.1, XP_041567798.1, XP_032600518.1	tr|G2J5Z0|G2J5Z0_DROME
OG0002344	XP_012433826.2, XP_030142575.1, XP_041573758.1	tr|M9PD53|M9PD53_DROME
OG0002345	XP_030124404.1	tr|Q960F7|Q960F7_DROME
OG0002347	XP_030114876.3, XP_030114879.3, XP_041567400.1	sp|Q9V6L0|KDM4B_DROME, sp|Q9V333|KDM4A_DROME
OG0002348	XP_002196901.2, XP_002196106.1	tr|M9PCG2|M9PCG2_DROME
OG0002349	ACH44944.1, NP_001232488.1	sp|P41092|RL27A_DROME
OG0002350	XP_041574265.1, XP_041574264.1, XP_030137723.3, XP_030137725.3, XP_041574263.1, XP_041574261.1, XP_041574262.1	tr|Q9VUE8|Q9VUE8_DROME
OG0002351	XP_030127458.3, XP_030127457.3, XP_030127459.3, XP_030127460.3, XP_012431348.3	tr|A1Z813|A1Z813_DROME
OG0002352	XP_041571558.1, XP_002187356.4	tr|Q9VHC5|Q9VHC5_DROME
OG0002354	XP_012428970.3, XP_030126882.3, XP_032603941.2, XP_032603940.2, XP_030126880.3, XP_032603942.2	sp|P08630|BTKL_DROME
OG0002355	XP_030113184.1, XP_030113183.1, XP_030135622.3, XP_030135620.3	tr|Q7K4Q9|Q7K4Q9_DROME
OG0002356	XP_030144714.1, XP_041576188.1, XP_012425605.1, XP_002192236.1	tr|Q9VM49|Q9VM49_DROME
OG0002357	XP_002194235.1	tr|Q9VMJ6|Q9VMJ6_DROME
OG0002358	XP_030140845.3, XP_012424658.2, XP_012424659.1	sp|Q7JYV2|SNG_DROME
OG0002359	XP_012427511.2, XP_012427513.2, XP_012427514.2, XP_012427515.2, XP_032602848.1	tr|Q9VW22|Q9VW22_DROME
OG0002360	ACH46326.1, ACH44538.1, ACH44536.1, NP_001232284.1, ACH44537.1, ACH44535.1	sp|Q7KSC4|MPC1_DROME
OG0002362	XP_041576446.1, XP_041576447.1	sp|Q9VUV9|U520_DROME
OG0002362	XP_002196630.3	tr|Q9VF56|Q9VF56_DROME
OG0002363	XP_030119828.1, XP_030119827.1, NP_001232212.1, ACH43698.1, XP_030119826.1, XP_030133079.1, XP_041573613.1, XP_030133083.1, XP_030133082.1	sp|P48555|RALA_DROME
OG0002364	XP_002189378.3, XP_032608021.2, XP_030145127.3, XP_041576334.1, XP_041576333.1	tr|A1Z9M0|A1Z9M0_DROME, tr|A1Z9L9|A1Z9L9_DROME, tr|Q7JZE8|Q7JZE8_DROME
OG0002365	XP_012433128.2, XP_032600602.1, XP_032600601.1, XP_030113473.1, XP_041567324.1	tr|Q9VL71|Q9VL71_DROME
OG0002366	XP_030142381.1, XP_030142382.1, XP_030142383.1, XP_041575565.1, XP_030135633.1, XP_030135634.1	tr|R9PY37|R9PY37_DROME, tr|Q59DZ7|Q59DZ7_DROME
OG0002367	XP_030112985.1, XP_041567156.1, XP_041567153.1, XP_030112936.2, XP_030112948.1, XP_030112959.1	tr|Q9VWS0|Q9VWS0_DROME
OG0002368	XP_002200511.4, XP_030130326.3, XP_030130324.3, XP_030130319.3, XP_030130330.3, XP_030130325.3, XP_041572599.1, XP_030130323.3, XP_030130320.3, XP_030130329.3, XP_030130328.3	sp|Q9VGN7|EXD2_DROME
OG0002369	XP_041576557.1, XP_041576558.1, XP_012429520.3, XP_012429515.3, NP_001230762.1, XP_012429511.3, XP_002189224.4, BAG71111.1, BAG71110.1, XP_030126606.3	sp|P41596|DOPR1_DROME
OG0002370	XP_041574668.1, XP_041574669.1, XP_030138826.3, XP_030138830.3	tr|Q7JY94|Q7JY94_DROME
OG0002371	XP_030142756.3	tr|Q9W3X3|Q9W3X3_DROME
OG0002372	XP_030138235.3, XP_041569872.1, XP_030122209.3, XP_030122208.3	sp|P28167|ZFH2_DROME
OG0002373	XP_030133996.3, XP_002198616.4, XP_041573603.1	tr|Q9W102|Q9W102_DROME
OG0002374	XP_032604909.1, XP_030131434.1, XP_030131433.1, XP_030127585.3, XP_030127584.3	tr|E8NHA2|E8NHA2_DROME
OG0002375	XP_030147264.1, XP_030147265.1, XP_041577078.1	tr|Q8I0J3|Q8I0J3_DROME
OG0002376	XP_030115161.1, XP_041567450.1, XP_030115162.1	sp|A1Z7K9|PAN2_DROME
OG0002377	NP_001232730.1, ACH45015.1, ACH45016.1	sp|P40301|PSA2_DROME
OG0002378	XP_030147869.1, XP_002190132.1, XP_030147871.1, XP_030147870.1, XP_030147868.1	sp|Q6J5K9|ARMI_DROME
OG0002379	XP_030114453.3, XP_030114450.3, XP_030114454.1, XP_030114451.1, XP_030137656.1, XP_030137657.1, XP_030137658.1	tr|Q9W4K1|Q9W4K1_DROME
OG0002380	ACH46107.1, ACH46101.1, NP_001232129.1, ACH46103.1, ACH46100.1, ACH46099.1, ACH46102.1, ACH46104.1, ACH46097.1, ACH46106.1, ACH46098.1, ACH46105.1	tr|Q9VEN6|Q9VEN6_DROME
OG0002381	XP_030141499.1, XP_030141498.1	tr|Q9VGH0|Q9VGH0_DROME
OG0002382	XP_030145159.3, XP_041576281.1, XP_041576280.1, XP_041576282.1, XP_041576283.1, XP_041576278.1, XP_041576279.1	tr|Q7KTJ2|Q7KTJ2_DROME, tr|Q9VLR2|Q9VLR2_DROME, tr|Q9VLR3|Q9VLR3_DROME
OG0002383	XP_030128182.1, XP_030136783.1, XP_030136786.1, XP_030136785.1	tr|Q9VT33|Q9VT33_DROME
OG0002385	XP_030138124.1, XP_030138123.1, XP_030122685.2, XP_030144826.1, XP_030144823.1, XP_030144824.1, XP_030144825.1	tr|Q9VXH3|Q9VXH3_DROME
OG0002386	XP_030116045.1, XP_030116055.1	tr|Q7KW25|Q7KW25_DROME, tr|Q9W1G7|Q9W1G7_DROME
OG0002387	XP_030147409.3	tr|Q9W253|Q9W253_DROME
OG0002389	XP_002188422.5, XP_002198825.1, XP_030144791.1	sp|Q03751|DNJC5_DROME
OG0002390	XP_030139460.3, XP_041574766.1, XP_012424964.4, XP_032606501.2, XP_030139463.3, XP_030139468.3, XP_041574773.1, XP_041574776.1, XP_030146781.3, XP_041576854.1, XP_041576857.1, XP_041576853.1, XP_030146780.3, XP_041576855.1	tr|Q8MLW5|Q8MLW5_DROME
OG0002391	XP_012430306.1, XP_030133223.1, XP_002196240.1	tr|Q8SXU3|Q8SXU3_DROME
OG0002392	XP_041571720.1, XP_041571719.1	sp|Q9V3S0|CP4G1_DROME, sp|Q9VYY4|C4G15_DROME, sp|Q9V4T5|CP4E1_DROME, sp|Q27606|CP4E2_DROME, sp|Q9VL92|CP4E3_DROME, sp|Q9V4T3|C4AD1_DROME, sp|Q9VS79|CP4D8_DROME, sp|Q9VS78|CP316_DROME, sp|O46051|C4D14_DROME, sp|Q27589|CP4D2_DROME, sp|Q9W011|C4D20_DROME, sp|Q9VLZ7|C4D21_DROME, sp|O46054|C4AE1_DROME, sp|Q9VYQ7|CP311_DROME, sp|P33269|CP4D1_DROME, sp|Q9VVN6|CP312_DROME, sp|Q9VXY0|CP4S3_DROME, sp|Q9VA27|CP4C3_DROME
OG0002393	XP_030144297.1, XP_030144296.1, XP_030124745.3	sp|Q9VP61|ACSA_DROME
OG0002394	XP_030146037.3, XP_030146036.3, XP_030131557.1	sp|Q9XZ56|4EBP_DROME
OG0002395	XP_030123832.3, XP_030123830.3, XP_041571113.1, XP_030123831.3	sp|Q9W074|HBS1_DROME
OG0002396	XP_041575981.1, XP_030143783.1, XP_041575980.1, XP_030143782.1, XP_041575415.1, XP_041575414.1, XP_030141788.1, XP_030141789.1, XP_030141791.1	sp|Q0KHQ5|TAO_DROME
OG0002397	XP_030123807.1, XP_002191710.3	sp|P80455|RS12_DROME
OG0002398	XP_030131534.3, XP_041573105.1, XP_012429854.3, XP_041573106.1, XP_041573107.1, XP_030131537.3, XP_041573108.1, XP_030131538.3	tr|Q9VCT5|Q9VCT5_DROME, sp|A2VEI2|MICU1_DROME
OG0002399	XP_041568941.1, XP_030143325.1, XP_030143324.1, XP_030143323.1, XP_030143322.1, XP_030140863.1, XP_030140864.1	sp|P13677|KPC2_DROME, sp|P05130|KPC1_DROME
OG0002402	XP_041567456.1	tr|Q9VJW5|Q9VJW5_DROME
OG0002402	XP_012427426.1, XP_030122289.1, XP_041569905.1, XP_030122287.1, XP_030122288.1	tr|Q9VUV7|Q9VUV7_DROME
OG0002403	XP_030128463.3, XP_012425081.1, XP_030135314.1, XP_032605545.1	tr|Q9W1H3|Q9W1H3_DROME
OG0002404	XP_030113018.3, XP_032600421.1, XP_032600420.1, XP_032600418.1	tr|Q9VC06|Q9VC06_DROME
OG0002405	XP_030128508.3, XP_002197719.3, XP_030128509.3	tr|Q7JRB2|Q7JRB2_DROME
OG0002406	XP_002191653.1, ACH44055.1, ACH44054.1, NP_001232594.1, NP_001232591.1, ACH44053.1	sp|Q26365|ADT_DROME, tr|O62526|O62526_DROME
OG0002407	XP_012432981.4	sp|Q8MSG8|APTX_DROME
OG0002408	XP_030126033.3, XP_030126044.3, XP_012425189.4, XP_030126056.3	tr|Q9W232|Q9W232_DROME
OG0002409	XP_041569873.1, XP_012427555.4, XP_041569874.1	tr|Q9VSH8|Q9VSH8_DROME
OG0002410	NP_001232604.1, ACH44127.1	tr|A1Z6X6|A1Z6X6_DROME
OG0002411	XP_030136649.3, XP_030136644.3, XP_030136657.3, XP_030136635.3, XP_030136629.3, XP_012425085.3, XP_030128628.1, XP_030128627.1	tr|H9XVN1|H9XVN1_DROME
OG0002412	XP_041567949.1	tr|Q9VNW4|Q9VNW4_DROME, sp|P12646|G6PD_DROME
OG0002413	XP_041575172.1, XP_030140951.1, XP_030140952.1	sp|Q8I8U7|TRA1_DROME
OG0002415	XP_002197460.2	tr|Q9VSL6|Q9VSL6_DROME, tr|Q9VSL2|Q9VSL2_DROME, sp|Q9VSL3|SEPIA_DROME, tr|Q9VSL5|Q9VSL5_DROME
OG0002416	XP_030142977.3, XP_030140621.3	sp|P54399|PDI_DROME
OG0002417	XP_030125086.1, XP_030125085.1, XP_030125087.1	tr|Q9VUX9|Q9VUX9_DROME
OG0002418	XP_030138254.3, XP_041574464.1, XP_030138258.3, XP_030138253.3, XP_002193842.4, XP_030138251.3, XP_041574465.1, XP_032606323.2, XP_041574463.1, XP_030138252.3, XP_032606322.2, XP_030138247.3	sp|Q9V3R6|ADAT1_DROME
OG0002419	XP_030127149.1, XP_002189873.2, XP_030136153.1	tr|Q9VEF5|Q9VEF5_DROME
OG0002420	XP_002191210.1, XP_002193291.2	sp|Q9W2N0|CAPZA_DROME
OG0002421	XP_002196045.1, XP_002186752.1, XP_041572617.1	tr|Q7KUZ5|Q7KUZ5_DROME
OG0002422	XP_012424299.1, XP_030146792.1, XP_012428959.1, XP_012428955.3	tr|Q9VIJ3|Q9VIJ3_DROME
OG0002423	XP_041574503.1, XP_041574504.1	tr|Q9VN21|Q9VN21_DROME
OG0002424	NP_001192036.1, NP_001232724.1, ACH44195.1, XP_012427341.1	tr|Q9VRL1|Q9VRL1_DROME
OG0002425	XP_030115385.3, XP_030115384.3	sp|Q9VSH3|BI1_DROME
OG0002426	NP_001232556.1, ACH44023.1	sp|P29327|RS6_DROME
OG0002428	ACH45457.1, NP_001232729.1, ACH45458.1	sp|Q9VES1|AR6P1_DROME
OG0002429	XP_041575355.1, XP_041575353.1, XP_041575351.1, XP_041575352.1, XP_041575354.1, XP_030141715.3	tr|Q9VCN4|Q9VCN4_DROME, tr|Q9VES4|Q9VES4_DROME
OG0002430	ACH43661.1, sp|B5FXA0.1|ETFR1_TAEGU, NP_001232130.1, XP_012424707.1	tr|Q9VJG4|Q9VJG4_DROME
OG0002431	XP_002188451.1, ACH45424.1, NP_001232795.1, NP_001232698.1, ACH45425.1, XP_041572033.1	tr|M9PGG8|M9PGG8_DROME, tr|Q8T415|Q8T415_DROME
OG0002433	ABD62286.1, ABD95535.1, ABD95496.1, YP_514824.1, ABD95509.1, ABD95522.1	sp|P00850|ATP6_DROME
OG0002447	XP_030125486.3, XP_030125485.3, XP_032603496.2, XP_030125479.3, XP_030125480.3, XP_030125482.3, XP_030125481.3	tr|Q9VF13|Q9VF13_DROME
OG0002452	XP_002190128.4, XP_030117894.3, XP_030117873.3, XP_030117881.3, XP_041569425.1, XP_032602148.2, XP_041569424.1, XP_032602147.2, XP_041569423.1, XP_032602149.1	tr|Q7KLI1|Q7KLI1_DROME
OG0002460	XP_030114795.1, XP_030114796.1, XP_030114794.1, XP_030114792.1, XP_030114793.1, XP_012432891.1, XP_030114789.1, XP_002190031.5	sp|Q95RN0|F172A_DROME
OG0002513	XP_004174525.5, XP_030130622.3, XP_041572755.1, XP_030130624.3, XP_041572756.1	sp|Q9VHD3|MAAI1_DROME, sp|Q9VHD2|MAAI2_DROME
OG0002514	ACH43748.1, ACH43750.1, ACH43747.1, NP_001232297.1, ACH43749.1	tr|Q9VJZ6|Q9VJZ6_DROME
OG0002515	XP_032604982.2, XP_041573022.1, XP_041573002.1, XP_041573016.1, XP_030132564.3, XP_030132547.3, XP_041572994.1, XP_030132556.3, XP_030132577.1, XP_030132591.1, XP_030132587.1	tr|A8JUW5|A8JUW5_DROME
OG0002517	NP_001232160.1, ACH43676.1	sp|P41094|RS18_DROME
OG0002518	XP_030138040.3, XP_032602889.1, XP_030122207.3, XP_002190881.3, XP_030144541.1	sp|P49866|HNF4_DROME
OG0002519	XP_041576553.1, XP_041576550.1, XP_030138812.1, XP_002188184.1	sp|Q07152|IMDH_DROME
OG0002520	XP_030132372.3, XP_030132373.3, XP_041573061.1, XP_030132374.3	tr|Q9W448|Q9W448_DROME
OG0002521	XP_030147316.1, XP_030121924.1	tr|A0A0B4KEN4|A0A0B4KEN4_DROME
OG0002522	XP_041574711.1, XP_030138997.1, XP_030138991.1, XP_030138990.1, XP_030138993.1, XP_030138989.1, XP_030138988.1, XP_041574712.1, XP_030138980.1, XP_030138982.1, XP_030138985.1, XP_030138984.1, XP_030138983.1	tr|Q9VC36|Q9VC36_DROME
OG0002523	XP_030124226.1, XP_030124209.1, XP_012425347.2, XP_030124217.1, XP_030124196.3	tr|Q9W2J7|Q9W2J7_DROME
OG0002524	XP_032603025.2, XP_030122835.3	tr|B7YZM8|B7YZM8_DROME
OG0002525	XP_041575487.1, XP_041575485.1, XP_041575486.1, XP_041575488.1, XP_041575484.1, XP_041575490.1, XP_041575491.1, XP_041575493.1, XP_041575492.1, XP_041575482.1, XP_041575481.1, XP_041575483.1, XP_041575489.1, XP_041575494.1	tr|Q7K3V6|Q7K3V6_DROME, tr|A1Z9E3|A1Z9E3_DROME
OG0002526	XP_002195781.1, XP_002188040.1	tr|Q7JMZ0|Q7JMZ0_DROME
OG0002527	XP_030144352.1, XP_002199047.1, XP_030144350.1, XP_004177117.1	tr|Q9VR90|Q9VR90_DROME
OG0002528	XP_030139267.1	sp|Q8IRJ8|THOC7_DROME
OG0002529	XP_030130645.3, XP_030130644.3, XP_012429611.4, XP_041572766.1, XP_030130643.3, XP_041572767.1, XP_030130647.3	sp|Q24211|STNA_DROME, sp|Q24212|STNB_DROME
OG0002530	XP_002198595.5	tr|Q9W0K2|Q9W0K2_DROME
OG0002530	XP_030119045.1	sp|P17276|PH4H_DROME
