Orthogroup	finch	bombus
OG0000720	XP_030112360.3, XP_041573206.1, XP_041573207.1, XP_030133241.3, XP_030133243.3, XP_030133240.3, XP_030133242.3, XP_030122756.3	XP_024223633.1, XP_024223651.1, XP_024223640.1, XP_024223627.1, XP_012241833.1, XP_024223646.1, XP_024223653.1, XP_024223654.1
OG0000721	XP_012428303.4, XP_030138633.3, XP_030138632.3, XP_041574592.1, XP_030115108.3, XP_030115116.3, XP_041568091.1, XP_030115100.3, XP_041568099.1, XP_012424498.3, XP_012424499.3, XP_030115020.3, XP_030115057.3, XP_030115027.3, XP_041568033.1, XP_030115048.3, XP_041568002.1, XP_030115083.3, XP_030115073.3, XP_030115038.3, XP_012424497.3, XP_030115012.3, XP_030115006.3, XP_030115134.3, XP_030115090.3	XP_003493880.1
OG0000722	XP_041576965.1, ACH44591.1, XP_041571394.1, NP_001232326.1, XP_030126204.1, ACH44590.1, XP_030125946.1, XP_030126127.1, XP_012425513.1, ACH44589.1, ACH44586.1, ACH44588.1, NP_001232791.1, XP_030125993.1, ACH44587.1, XP_030146536.1, ACH43684.1, NP_001232181.1	XP_012240136.1, XP_012244616.1, XP_003489884.1, XP_003489885.1
OG0000724	XP_030145101.3, XP_030145104.3, XP_030145102.3, XP_030145103.3, XP_032607992.2	XP_003489720.1
OG0000740	XP_012433564.1, XP_032607130.1, XP_002198798.1, XP_041575304.1, XP_030141473.1, XP_030141474.1, XP_030136315.1	XP_003493686.1
OG0000740	XP_012433559.2, XP_002198750.2, XP_030141471.1, XP_030141470.1, XP_012433561.1	XP_003493421.1, XP_012246897.1, XP_012246896.1, XP_033179446.1, XP_033179445.1, XP_012246893.1
OG0000741	XP_030139922.1, XP_032606758.1, XP_030139923.1	XP_012246173.2, XP_033179130.1
OG0000742	XP_030129231.1, XP_030129234.1, XP_030129233.1, XP_030129232.1, XP_030129235.1, XP_030129238.1, XP_030129237.1, XP_030129236.1, XP_030129239.1, XP_030129230.1, XP_030129220.1, XP_030129218.1, XP_030129216.1, XP_030129219.1, XP_030129224.1, XP_030129225.1, XP_030129222.1, XP_030129229.1, XP_030129228.1, XP_030129226.1, XP_030129227.1	XP_033177170.1, XP_003490400.1, XP_033177169.1, XP_033177171.1
OG0000743	XP_030142268.1, XP_012433775.2, XP_030142265.1, XP_030142266.1, XP_030142267.1, XP_041573863.1, XP_041573864.1, XP_041573855.1, XP_041573856.1, XP_041573858.1, XP_041573851.1, XP_041573857.1, XP_041573854.1, XP_041573852.1, XP_041573853.1, XP_041573861.1, XP_041573862.1, XP_030135392.1, XP_041573859.1, XP_041573860.1	XP_012241123.1, XP_033176632.1, XP_012241124.1
OG0000744	ACH45966.1, ACH45958.1, ACH45941.1, ACH45950.1, ACH45949.1, ACH45961.1, ACH45963.1, ACH45948.1, ACH45968.1, ACH45951.1, ACH45957.1, ACH45953.1, ACH45947.1, ACH45967.1, NP_001232158.1, ACH45965.1, ACH45942.1, ACH45944.1, ACH45946.1, ACH45952.1, ACH46294.1, ACH45964.1, ACH45955.1, ACH45959.1, ACH45962.1, ACH45960.1, ACH45954.1, ACH45943.1, ACH45945.1, ACH45956.1, XP_030115452.3	XP_012239678.1, XP_033176047.1, XP_012239679.1
OG0000745	XP_041571949.1, XP_030127898.3, XP_030127897.3, XP_032604152.2, XP_032604151.2, XP_030127907.3, XP_041571948.1, XP_030139674.3, XP_030132665.1, XP_030132667.1, XP_030132664.1, XP_012429981.1, XP_030132666.1, XP_002193301.1	XP_033174289.1, XP_024228474.1, XP_003486033.1
OG0000746	XP_002197829.1, XP_004174919.1, XP_030127448.1, XP_002187978.1, XP_004175459.1	XP_033180656.1
OG0000747	XP_030144782.1, XP_030144779.1, XP_030144789.1, XP_030144784.1, XP_030144787.1, XP_030144788.1, XP_030144783.1, XP_030144781.1, XP_004177107.1, XP_030144785.1, XP_030144780.1, XP_030144777.1, XP_030144778.1, XP_012425728.1, XP_004177105.1	XP_024222450.1, XP_003488451.1, XP_003488452.1, XP_012239393.1
OG0000748	XP_030141364.1, XP_041572466.1, XP_030141363.1, XP_030143796.1, XP_030143798.1, XP_030143797.1, XP_030143793.1, XP_030143795.1	XP_012247646.1, XP_012247643.1, XP_012247645.1, XP_003493864.1, XP_012247648.1, XP_012247644.1, XP_012247647.1
OG0000749	XP_030143420.1, XP_030143422.1, XP_030143418.1, XP_030143417.1, XP_030143419.1, XP_030143421.1, XP_030143423.1, XP_030143425.1, XP_030143426.1	XP_012237480.1, XP_012237479.1, XP_003487218.1, XP_003487216.1
OG0000750	ACH45096.1, ACH45095.1, ACH45088.1, ACH45104.1, ACH45107.1, ACH45098.1, ACH45112.1, ACH45094.1, ACH45089.1, ACH45102.1, NP_001232864.1, ACH45113.1, ACH45109.1, ACH45103.1, ACH45101.1, ACH45093.1, ACH45099.1, NP_001184190.1, ACH45110.1, ACH45092.1, ACH45108.1, ACH45105.1, ACH45106.1, ACH45111.1, ACH45097.1, ACH45090.1, ACH45091.1, ACH45100.1	XP_003488270.1
OG0000770	XP_030143717.1, XP_002186732.1	XP_012248141.1, XP_012248140.1, XP_033180061.1
OG0000771	XP_030138598.1, XP_030138599.1, XP_030138597.1, NP_001232551.1, ACH45076.1, XP_030147880.1, XP_030147879.1, XP_030147877.1, XP_002191351.3, XP_041577167.1	XP_012245035.1, XP_012245039.1, XP_012245037.1, XP_024225696.1, XP_012245040.1, XP_012245038.1, XP_012245033.1, XP_024225695.1, XP_033178546.1
OG0000772	XP_030142597.1, XP_030142596.1, XP_030142598.1, XP_012433786.1, XP_012433787.1, XP_030142595.3, XP_030142594.3, XP_002195432.1	XP_012244344.1, XP_012244345.1, XP_024225330.1, XP_033178220.1, XP_024225332.1, XP_024225333.1, XP_024225331.1
OG0000773	XP_030132773.3, XP_030132774.3, XP_030145535.1, XP_030145534.1, XP_030139906.1, XP_030139908.1, XP_030139907.1, XP_030126558.1, XP_012429095.1, XP_030126561.1, XP_030126559.1, XP_002196674.1	XP_003490537.1, XP_033177344.1, XP_033177343.1, XP_012242520.1, XP_033177342.1, XP_012242519.1, XP_024224234.1, XP_012242521.1, XP_012242517.1, XP_024224232.1
OG0000774	XP_030142786.3, XP_030142787.3, XP_030142783.3, XP_030142784.3, XP_030142785.3, XP_030142788.3	XP_012237972.1, XP_033175362.1, XP_024221679.1, XP_003487596.1
OG0000775	XP_030133856.3, XP_030133860.3, XP_030133861.3, XP_030133859.3, XP_030133854.3, XP_030133853.3, XP_030133850.3, XP_030133851.3, XP_030133852.3, XP_030133855.3, XP_041573568.1, XP_030133857.3, XP_030133858.3	XP_033175000.1, XP_033174999.1, XP_033174998.1
OG0000776	XP_030111746.3, XP_030111756.3, XP_030111751.3, XP_030111760.3, XP_030111770.3, XP_041577275.1, XP_041577277.1, XP_041577276.1, XP_041577278.1, XP_030138683.3, XP_012427714.4, XP_030138682.3	XP_024223953.1
OG0000777	XP_004176406.1, XP_030124116.1, XP_030124115.1, NP_001232331.1, ACH46351.1, XP_041566929.1, XP_041566928.1	XP_024223433.1
OG0000778	XP_030146376.3, XP_041576765.1, XP_030146385.3, XP_041576763.1, XP_030146377.3, XP_041576764.1, XP_030146387.3, XP_030121371.3, XP_041570522.1, XP_032602756.2, XP_030121372.3	XP_003488328.1, XP_012239362.1, XP_024222358.1, XP_012239363.1, XP_012239364.1
OG0000779	XP_041568351.1, XP_041568352.1, ACH45222.1, ACH45232.1, ACH45224.1, ACH45220.1, ACH45233.1, ACH45230.1, ACH45227.1, ACH45219.1, ACH45225.1, ACH46331.1, XP_041568350.1, ACH45229.1, ACH45228.1, ACH45218.1, ACH45226.1, ACH45223.1, ACH45221.1, ACH46436.1, ACH45231.1	XP_012240249.1, XP_012240250.1
OG0000780	XP_030114940.3, XP_030114939.3, XP_030114938.3, XP_012433188.3, XP_030114936.3, XP_030134398.3, XP_030134399.3, XP_030134410.3, XP_030134400.3, XP_030134402.3, XP_012430775.3, XP_030134401.3, XP_030134403.3, XP_030134412.3, XP_030134404.3, XP_030134407.3, XP_030134408.3, XP_030134405.3	XP_003491795.1
OG0000781	XP_030131390.2, XP_030131382.2, XP_030131380.2, XP_032604372.1, XP_030131374.2, XP_041572331.1, XP_030131379.2, XP_032604371.1, XP_030131376.2, XP_030131388.2, XP_030131386.2, XP_032604376.1, XP_030131392.2, XP_032604374.1, XP_030131391.2, XP_030131393.2, XP_032604377.1, XP_030131387.2	XP_003485467.1
OG0000802	XP_030127237.1, XP_004176220.1, XP_030127238.1, XP_030127240.1, XP_041571774.1, XP_030128648.1, XP_030128649.1, XP_012428595.2, XP_030128647.1, XP_012425075.3, XP_030136519.3, XP_030136536.3	XP_024226736.1, XP_003493337.1, XP_033179461.1, XP_012246824.1, XP_012246823.1
OG0000803	XP_030145935.1, XP_030145936.1, XP_030145934.1, XP_030145941.1, XP_030145937.1, XP_030145939.1, XP_030145940.1, XP_030145942.1, XP_032608329.1, XP_030145938.1, XP_030131697.1, XP_030131696.1	XP_012245462.1, XP_024226011.1, XP_012245456.1, XP_024226007.1, XP_003492401.1, XP_024226010.1, XP_012245458.1, XP_024226009.1, XP_033178742.1
OG0000804	XP_030141530.3, XP_041575905.1, XP_041575902.1, XP_041575906.1, XP_041575904.1, XP_041575903.1, XP_041575907.1, XP_041575908.1	XP_012247173.1, XP_024226946.1, XP_024226945.1, XP_024226944.1, XP_024226943.1, XP_012247167.1, XP_012247170.1, XP_012247169.1, XP_024226947.1, XP_012247172.1, XP_024226948.1
OG0000805	XP_030145052.3, XP_030145054.3, XP_030145053.3, XP_030145051.3, XP_030136066.1, XP_041574016.1, XP_041574015.1, XP_030136065.1	XP_024226180.1, XP_024226184.1, XP_024226185.1, XP_024226181.1, XP_024226182.1, XP_003492648.1
OG0000806	XP_030131251.3, XP_030131252.3, XP_030141802.3, XP_030141798.3, XP_030141797.3, XP_030141799.3, XP_030141800.3, XP_030141801.3, XP_012433438.4, XP_012433440.4, XP_030141803.3	XP_024223324.1, XP_012240899.1, XP_024223321.1, XP_024223320.1, XP_024223323.1, XP_012240902.1, XP_012240903.1, XP_012240900.1, XP_012240901.1, XP_024223326.1, XP_024223329.1, XP_024223328.1
OG0000807	XP_030143189.3, XP_030143188.3	XP_012249165.1, XP_003494926.1
OG0000808	XP_030124991.1, XP_030124989.1, XP_030124990.1, XP_041571367.1, XP_030124986.1, XP_041572746.1, XP_030130600.3	XP_012243856.1, XP_012243857.1, XP_012243858.1, XP_012243859.1, XP_003491364.1
OG0000809	XP_030131834.1, XP_030131836.1, XP_041572833.1	XP_012236927.1, XP_003486805.1
OG0000827	XP_030111644.1, XP_041577144.1, XP_030111646.1, XP_030111641.1, XP_030111643.1, XP_041577143.1, XP_030129647.1, XP_002197308.3, XP_030129646.1, XP_030148015.3, XP_030148014.3, XP_030148016.3	XP_012246831.1, XP_012246832.1, XP_003493395.1, XP_033179497.1, XP_024226760.1, XP_024226762.1, XP_024226763.1, XP_003493396.1, XP_012246833.1, XP_033179494.1, XP_033179495.1, XP_003493397.1, XP_033179496.1
OG0000828	XP_030137446.1, XP_030137447.1, XP_030137445.1, XP_030137443.1, XP_012433052.3, XP_041567284.1	XP_033179379.1, XP_033179377.1, XP_033179381.1, XP_024226673.1, XP_024226675.1, XP_024226674.1, XP_033179380.1, XP_033179378.1, XP_033179382.1
OG0000829	NP_001296353.1, ACH45565.1, ACH45560.1, ACH45561.1	XP_033177703.1, XP_012245646.3
OG0000829	ACH45547.1	XP_003494613.2
OG0000830	XP_030127096.1, XP_041571747.1	XP_012240154.2
OG0000832	NP_001232748.1, ACH45138.1, XP_030120825.1, XP_002196933.1, XP_030120826.1, XP_030115425.3, XP_030115424.3, XP_041567478.1	XP_003486219.1, XP_012250443.1, XP_012250444.1, XP_012250446.1, XP_012250442.1, XP_012250445.1
OG0000833	XP_030140582.3, XP_030140572.3	XP_003488576.1
OG0000834	XP_041576504.1, XP_041576505.1, XP_041576506.1, XP_041576507.1, XP_030131903.1, XP_030131899.3, XP_030131902.3, XP_041572834.1, XP_030131897.3, XP_030131901.3, XP_030131898.3	XP_003487366.1
OG0000855	XP_032608294.1, XP_032608296.1, XP_032608293.1, XP_041573101.1, XP_030132395.1, XP_030132396.1	XP_033178869.1, XP_003492759.1
OG0000856	XP_041568543.1, XP_041568544.1, XP_041568545.1, XP_030131249.3, XP_032604878.2, XP_002199683.1, XP_030124558.1, XP_032603511.1, XP_041571258.1, XP_030124560.1, XP_030124555.1, XP_032603509.1, XP_030124557.1, XP_030124559.1, XP_032603512.1, XP_030124554.1, XP_032603510.1	XP_012245334.1, XP_033178682.1, XP_003492331.1, XP_024225942.1, XP_024225943.1, XP_024225944.1, XP_012245333.1, XP_003492332.1
OG0000857	XP_004186217.2, XP_002198603.1, XP_030140402.1, XP_041574941.1, XP_041574944.1, XP_030125785.3	XP_012239575.1, XP_033176008.1
OG0000858	XP_030147304.3, XP_030147305.3, XP_030113828.1, XP_041574305.1, XP_002198211.1, XP_041567242.1, XP_030113827.1, XP_030113826.1	XP_012250302.1, XP_012250304.1, XP_012250307.1, XP_003486246.1, XP_012250306.1, XP_012250303.1, XP_012250309.1, XP_012250308.1, XP_033174499.1, XP_012250310.1, XP_012250311.1, XP_012250313.1
OG0000859	XP_030120695.1, XP_012427121.1, XP_030120694.1, XP_002192791.2, XP_012427120.1, XP_012431003.1, XP_002195659.1	XP_003485504.1, XP_012249279.1, XP_033180597.1
OG0000860	XP_030145010.1, XP_030145013.1, XP_012425870.1, XP_012425867.1, XP_030145005.1, XP_030145007.1, XP_030145002.1, XP_012425868.1, XP_030145003.1, XP_041576286.1, XP_030145006.1, XP_030145014.1, XP_012425869.1, XP_012425865.1, XP_041576287.1, XP_030145012.1, XP_041570619.1, XP_030145001.1, XP_030136413.1, XP_041574167.1, XP_041574166.1	XP_024223967.1, XP_003485017.1, XP_033177318.1
OG0000861	XP_030120073.3, XP_030120074.3	XP_012247519.1, XP_012247516.1, XP_012247518.1, XP_012247520.1, XP_024227112.1, XP_003493721.1, XP_012247517.1
OG0000861	XP_004175462.3, XP_030139797.1	XP_012239635.1
OG0000862	XP_041569502.1, XP_030118961.1, XP_030118952.3, XP_030118946.3, XP_041569503.1, XP_030118950.3, XP_041569495.1, XP_030118941.3, XP_030118958.1, XP_041569499.1, XP_030118951.1, XP_030118943.1, XP_041569497.1, XP_041569496.1, XP_041569501.1, XP_041569498.1, XP_030118947.3, XP_030118949.1, XP_030118948.1	XP_024223397.1
OG0000863	XP_032603380.2, XP_030125149.3, XP_030125147.3, XP_030125148.3, XP_030125150.3, XP_030130288.3, XP_030130287.3, XP_030130285.3, XP_004174506.4, XP_030130286.3, XP_041568409.1, XP_041568408.1, XP_041568407.1, XP_041568406.1	XP_003494782.1
OG0000864	XP_030136688.3, XP_030136691.3, XP_030136689.3, XP_041574063.1, XP_030136690.3, XP_030136694.3, XP_030136693.3	XP_003491859.1, XP_012244601.1
OG0000865	XP_041566924.1, XP_030112830.1, XP_032599755.1, XP_030112829.1, XP_032600239.1, XP_030114079.1, XP_030114081.1, XP_032600237.1, XP_032600238.1, XP_030114080.1	XP_003487959.2, XP_012238588.1
OG0000866	XP_012425042.3, XP_030135021.3, XP_030135030.3, NP_001232415.1, ACH46417.1, XP_030127428.3, XP_002197659.5	XP_003490534.1
OG0000867	ACH45491.1, ACH45495.1, ACH45503.1, ACH45493.1, ACH45506.1, NP_001233186.1, ACH45497.1, ACH45490.1, ACH45494.1, ACH45486.1, ACH45485.1, ACH45500.1, ACH45489.1, ACH45501.1, ACH45502.1, ACH45505.1, ACH45498.1, ACH45487.1, ACH45504.1, ACH45496.1, ACH45492.1, ACH45488.1, ACH45499.1	XP_003487333.1
OG0000894	XP_002195079.2, XP_030123693.1, XP_012428180.1, XP_012428179.1, XP_012428183.1, XP_030127416.1, XP_030127417.1, XP_032604050.1, XP_030127413.1, XP_030127415.1, XP_030127410.1, XP_030127409.1, XP_030127408.1, XP_030127419.1, XP_030127412.1, XP_030127420.1, XP_030127411.1	XP_024228013.1, XP_033180512.1
OG0000896	XP_002194143.3, XP_030145144.3, XP_030136406.3, XP_002197317.4	XP_033177265.1, XP_033177264.1, XP_003490453.1, XP_033177263.1, XP_024224152.1, XP_024224149.1
OG0000897	XP_041570738.1, XP_030125458.1, XP_030125457.1, XP_030125454.1, XP_030125447.1, XP_030125450.1, XP_030125448.1, XP_030125449.1, XP_030125452.1, XP_030125460.1, XP_030125461.1, XP_030125451.1, XP_041570737.1, XP_030125455.1, XP_032603461.1	XP_012241455.1, XP_033176775.1, XP_033176774.1, XP_003489798.1, XP_024223636.1
OG0000898	XP_041569146.1, XP_041567929.1, XP_041567927.1, XP_041567928.1, XP_041567925.1, XP_041567931.1, XP_041567930.1	XP_033175777.1, XP_033175778.1, XP_012238909.1
OG0000899	BAI67123.1, NP_001185656.1, XP_012433830.2, XP_030142716.1	XP_024221362.1, XP_033175115.1, XP_024221360.1, XP_024221358.1
OG0000900	XP_030126466.1, XP_030126469.1, XP_030126470.1, XP_030126463.1, XP_041571576.1, XP_032603877.1, XP_030126462.1, XP_004176661.3, XP_030126464.1, XP_032603879.1, XP_030126465.1, XP_030126471.1, XP_041571577.1, XP_030126472.1, XP_030126474.1	XP_024221206.1, XP_024221205.1, XP_024221207.1, XP_024221204.1, XP_033174918.1
OG0000901	XP_030146408.1, XP_041576661.1, XP_002196896.2, XP_041570942.1, XP_012428334.1, XP_041570941.1, XP_012427580.1, XP_012427578.1, XP_030122560.1, XP_030122559.1, XP_041570004.1, XP_030122561.1, XP_041570005.1	XP_003485061.1, XP_024224412.1, XP_012242957.1, XP_033177458.1, XP_012242973.1
OG0000902	XP_041571938.1, XP_030127858.3, XP_030127852.3, XP_030127855.3, XP_030127854.3, XP_030127853.3, XP_030127857.3, XP_030127856.3, XP_030127860.3	XP_012248029.1, XP_012248027.1, XP_024227424.1, XP_024227416.1, XP_024227415.1
OG0000903	XP_030122181.1, XP_030122179.1, XP_030122180.1	XP_024225536.1
OG0000904	XP_030127560.3, XP_030127561.3, XP_030131500.3, XP_030131502.3, XP_030139668.1, XP_030139666.3, XP_030139667.3, XP_012430510.4	XP_024222988.1, XP_012240516.1, XP_024222990.1, XP_024222989.1
OG0000905	XP_041575987.1, XP_041575989.1, XP_030143822.3, XP_041575986.1	XP_024220636.1, XP_003486459.1
OG0000906	XP_041567878.1, XP_041567883.1, XP_041567884.1, XP_041567881.1, XP_041567882.1, XP_041567880.1, XP_041567879.1	XP_003491709.1, XP_012244214.1
OG0000907	XP_030129644.3, XP_030129640.3, XP_030129639.3, XP_041572661.1, XP_030129641.3, XP_030129643.3, XP_030129645.3, XP_041576671.1, XP_041576667.1, XP_041576666.1, XP_041576662.1, XP_041576672.1, XP_041576669.1	XP_012242847.1, XP_003490773.1, XP_012242849.1
OG0000908	ACH44801.1, ACH44797.1, ACH44799.1, NP_001184228.1, ACH44800.1, ACH44798.1, XP_030126031.1, ACH45288.1, ACH45280.1, ACH45281.1, ACH45283.1, ACH45284.1, ACH45287.1, ACH45285.1, NP_001232784.1, ACH45286.1, ACH45282.1	XP_003484532.1
OG0000925	XP_041574544.1, XP_030138390.3, XP_030138387.3, XP_041574543.1, XP_041574542.1, XP_030138396.3, XP_030138395.3	XP_012247400.1, XP_033179726.1, XP_012247392.1, XP_012247396.1, XP_012247393.1, XP_033179725.1, XP_012247399.1, XP_012247397.1
OG0000926	XP_030130756.3, XP_030130754.3, XP_030130753.3, XP_041572808.1, XP_030130750.3, XP_030130757.3, XP_030130751.3, XP_030130758.3, XP_030130748.3, XP_030130752.3, XP_041572809.1, XP_030130747.3	XP_033177850.1
OG0000927	XP_032605298.2	XP_033177037.1, XP_033177039.1, XP_033177034.1, XP_033177031.1, XP_033177033.1, XP_033177036.1, XP_033177038.1, XP_033177032.1, XP_033177028.1, XP_033177030.1, XP_033177029.1, XP_033177026.1, XP_033177023.1, XP_033177021.1, XP_033177022.1, XP_033177027.1, XP_033177025.1, XP_033177014.1, XP_012241764.1, XP_012241761.1, XP_033177017.1, XP_033177018.1, XP_033177000.1, XP_033177010.1, XP_033177016.1
OG0000928	XP_041569849.1, XP_041569848.1	XP_033176247.1
OG0000929	ACH44765.1, ACH44770.1, ACH44772.1, ACH44767.1, XP_030123106.1, ACH44773.1, XP_004175255.1, ACH44775.1, ACH44769.1, ACH44771.1, ACH44768.1, ACH46348.1, NP_001232691.1, ACH44774.1, XP_004175257.1, XP_012425533.1, XP_012425534.1, ACH44766.1, NP_001233185.1	XP_003485985.1, XP_033174279.1
OG0000930	XP_030130974.3, XP_030130983.3, XP_030130964.3, XP_030130989.3, XP_030126850.1, XP_002186579.1, XP_002186612.1	XP_024220492.1, XP_024220495.1, XP_033174625.1, XP_012250323.1, XP_012250331.1, XP_024220515.1, XP_024220523.1, XP_024220527.1, XP_024220526.1, XP_024220507.1, XP_024220512.1, XP_024220529.1, XP_033174614.1, XP_024220532.1, XP_024220542.1, XP_024220539.1, XP_033174619.1, XP_033174629.1
OG0000931	XP_030118871.1, XP_030118872.1, XP_002197513.1, XP_004177016.1	XP_024221301.1, XP_024221302.1, XP_024221297.1, XP_024221300.1, XP_012237283.1, XP_024221298.1, XP_012237282.1, XP_024221299.1, XP_012237280.1, XP_012237281.1
OG0000932	XP_032602503.1, XP_032602501.1, XP_032602500.1	XP_012249589.1, XP_024228240.1
OG0000933	XP_030131626.3, XP_030131627.3, XP_002188169.4, XP_030126315.3, XP_030126316.3, XP_030145892.3, XP_030145893.3	XP_003484740.1, XP_024222226.1, XP_012240225.1, XP_024222224.1, XP_012240233.1
OG0000934	XP_002189866.3, NP_001266194.1, ACX32473.1, XP_002198943.3, AAF63465.1, NP_001070170.1, NP_001070172.1, AAF63463.1, AAF63464.1, NP_001070165.1, AAF63462.1, NP_001070164.1, AAF63461.1, NP_001070163.1, XP_032606440.2	XP_003484424.1, XP_024224895.1
OG0000935	XP_002190629.4, XP_002192994.1, XP_002194969.1, XP_012424546.1, XP_012424542.1, XP_002192965.1, XP_002193193.1, XP_030111834.1, XP_030111820.1, XP_012424417.1, XP_030111807.1, XP_041566900.1, XP_041566903.1, XP_002193403.1, XP_002195299.1	XP_012241566.1, XP_012244891.1, XP_003488496.1, XP_003491637.1
OG0000936	XP_030125492.1, XP_030128538.2, XP_012428576.2, XP_012428575.2, XP_030128534.2, XP_030128533.2, XP_032604268.1, XP_030128535.2, XP_030128537.2, XP_030128536.2, XP_012428577.1, XP_002198163.1, XP_030128539.1, XP_041572117.1	XP_003490907.1, XP_012242926.1, XP_012242929.1, XP_012242928.1, XP_012242930.1
OG0000937	XP_012429064.4, XP_030126511.3, XP_041571582.1, XP_030126513.3, XP_030126512.3	XP_003485741.1, XP_012249636.1, XP_012249637.1, XP_012249635.1
OG0000938	NP_001232503.1, ACH43660.1, XP_012430703.1, XP_032600591.1, XP_032600590.2, XP_032600587.1, XP_032600588.1, XP_032600589.1, ACH43680.1, NP_001232169.1	XP_003492436.1
OG0000965	XP_002196279.4	XP_003492892.2
OG0000965	XP_002199949.1, XP_041567196.1, XP_002191253.3, XP_032606070.1, sp|Q9I8W8.1|AL1A2_TAEGU, NP_001070153.1, AAF80471.1	XP_033180024.1, XP_003494137.1
OG0000966	XP_030132028.3, XP_030132037.3	XP_033179667.1
OG0000967	XP_032608286.2, XP_032608295.2, XP_041567911.1, XP_041567910.1, XP_012428163.3, XP_030139333.3, XP_012428166.3	XP_024226199.1, XP_024226200.1, XP_033178952.1, XP_033178951.1, XP_024226195.1, XP_033178950.1
OG0000968	ACH45823.1, ACH45828.1, ACH45829.1, NP_001232391.1, ACH46378.1, ACH45831.1, ACH45830.1, ACH45824.1, ACH45825.1, ACH45827.1, ACH45826.1, ACH46386.1, ACH45832.1, ACH46395.1	XP_024221718.1, XP_033175397.1, XP_012245664.1
OG0000969	XP_030122522.3, XP_030122520.3, XP_030122519.3, XP_030122518.3, XP_030122516.3, XP_030122517.3	XP_033175114.1
OG0000969	XP_041570871.1, XP_041570870.1, XP_041570869.1, XP_041570867.1, XP_041570865.1, XP_041570862.1, XP_041570861.1, XP_041570864.1, XP_041570863.1, XP_041570868.1, XP_041570866.1	XP_012243412.1, XP_003491130.1, XP_024224759.1
OG0000970	XP_030128847.1, XP_041572206.1, XP_030128848.1, XP_030128849.1	XP_012250433.1, XP_033174496.1, XP_033174495.1, XP_033174494.1, XP_033174493.1, XP_024220340.1, XP_003486305.1
OG0000971	XP_030128486.1, XP_012428570.1, XP_030128485.1, XP_041572104.1, XP_030128487.1, XP_041574208.1, XP_030136708.1	XP_033180593.1, XP_012249235.1, XP_012249232.1, XP_024228059.1
OG0000972	XP_030126861.1, XP_002193341.1, XP_030126859.1, XP_041572012.1, XP_032603938.1, XP_041572159.1, XP_030128786.1, XP_030128784.1, XP_030128785.1	XP_003485706.1, XP_012246808.2
OG0000973	XP_041568643.1, XP_041568640.1, XP_032602102.2, XP_041568646.1, XP_041568644.1, XP_041568642.1, XP_041568639.1, XP_041568641.1, XP_041568645.1, XP_041568638.1	XP_012247776.1
OG0000973	XP_002195343.3	XP_003486410.1
OG0000973	XP_030138236.3	XP_024226384.1
OG0000973	XP_030144386.1, XP_002189780.1	XP_012241878.1, XP_024223909.1
OG0000973	XP_030126716.1	XP_012239636.1
OG0000974	XP_041576110.1, XP_041576109.1, XP_030144340.2, XP_041576111.1, XP_041576112.1, XP_002199845.3, XP_012427505.3, XP_030122250.3, XP_041574527.1, XP_030138409.3, XP_030138408.3	XP_012248081.1, XP_003494115.1
OG0000975	ACH44822.1, ACH44821.1, ACH44818.1, ACH44819.1, NP_001232772.1, ACH44817.1, ACH44823.1, ACH44820.1	XP_012241033.1, XP_012241032.1
OG0000977	XP_030129393.3, XP_030129392.3, XP_030129391.3, XP_030129396.3, XP_030129394.3, XP_030129395.3	XP_003490681.1
OG0000978	ACH43736.1, NP_001232283.1, XP_030112064.3, XP_002199191.1	XP_003489341.1
OG0000979	XP_030120094.1, XP_030120093.1, XP_041570277.1, XP_041570278.1, XP_012426836.2, XP_030120092.3, XP_030120095.1, XP_030134198.3, XP_030134199.3, XP_032605471.2, XP_030115351.1	XP_003485721.1
OG0001006	XP_030122823.3, XP_030122821.3, XP_030122822.3	XP_033180288.1, XP_033180287.1, XP_024227677.1, XP_012248598.1, XP_033180290.1, XP_012248601.1, XP_012248599.1, XP_024227669.1, XP_024227676.1, XP_012248596.1, XP_033180292.1, XP_033180291.1, XP_024227671.1, XP_033180289.1
OG0001007	XP_002193596.3, XP_041570286.1, XP_030120170.3, XP_012426850.3, XP_002193566.3, XP_030120172.3, XP_041567467.1, XP_030135968.1	XP_033179547.1, XP_012247039.1, XP_033179544.1, XP_033179543.1, XP_033179545.1, XP_033179546.1, XP_033179548.1
OG0001008	XP_041572157.1, XP_041572158.1, XP_032606762.1, XP_030139996.1, XP_032606761.1, XP_030139994.1, XP_030139995.1, XP_030139993.1, XP_030126863.3, XP_032603939.2, XP_030126865.3, XP_030126862.3	XP_033179499.1, XP_033179498.1, XP_033179500.1, XP_012246882.1
OG0001010	XP_030124259.1, XP_030124256.1, XP_030124257.1, XP_002188343.1, XP_030128294.1, XP_030128293.1, XP_030128295.1, XP_030137809.1, XP_030137818.1, XP_002196551.3, XP_030146449.1, XP_030146450.1, XP_030146448.1, XP_030146447.1	XP_033177946.1, XP_003491387.1, XP_024224957.1
OG0001011	XP_032600550.1, XP_032600551.1, XP_032600546.1, XP_032600548.1, XP_032600544.1, XP_032600549.1, XP_032600547.1, XP_032600543.1, XP_032600545.1, XP_030114117.1, XP_030114118.1, XP_030114115.1, XP_030114114.1	XP_033177907.1, XP_033177908.1, XP_033177909.1, XP_033177910.1
